test/episode,test/ag_g_dist,train/episode,stats_o/std,stats_o/mean,train/critic_loss,test/mean_Q,test/success_rate,stats_g/std,stats_g/mean,train/success_rate,epoch
20.0,1.0192629,100.0,0.73861235,0.19830744,0.04141167,-2.1412754,0.0,0.22407593,0.3860024,0.0,0
40.0,0.9626829,200.0,0.7383359,0.20244996,0.037839342,-4.2792325,0.008333333333333333,0.2245568,0.38925454,0.0,1
60.0,1.026573,300.0,0.7382838,0.20340328,0.03435708,-6.415713,0.008333333333333333,0.22494616,0.39016405,0.0016666666666666668,2
80.0,0.99842876,400.0,0.7391305,0.20345752,0.035655066,-8.2082405,0.016666666666666666,0.22552781,0.39029804,0.005,3
100.0,0.967961,500.0,0.7402789,0.20259134,0.041226987,-10.182158,0.008333333333333333,0.22631206,0.3877925,0.005,4
120.0,0.98356265,600.0,0.74285173,0.20165712,0.04090181,-12.004246,0.008333333333333333,0.22647263,0.38712612,0.005,5
140.0,0.9421734,700.0,0.74617404,0.20128404,0.051787537,-13.571218,0.0,0.22704148,0.38627705,0.006666666666666667,6
160.0,0.8993438,800.0,0.7494077,0.20103711,0.053212274,-14.893245,0.025000000000000005,0.22785433,0.38577458,0.005,7
180.0,0.99728495,900.0,0.7535351,0.20062141,0.05331275,-16.594301,0.016666666666666666,0.22804458,0.38511667,0.01,8
200.0,0.9936102,1000.0,0.7577948,0.20040266,0.05515166,-18.050728,0.03333333333333333,0.22861437,0.3842291,0.011666666666666667,9
220.0,1.0135413,1100.0,0.7618539,0.20028763,0.06606817,-20.13123,0.008333333333333333,0.22925751,0.38429365,0.008333333333333333,10
240.0,0.96526057,1200.0,0.76641065,0.20013912,0.069191374,-20.011906,0.016666666666666666,0.22898044,0.38484606,0.016666666666666666,11
260.0,1.0037478,1300.0,0.7712283,0.19991899,0.06885057,-22.48163,0.03333333333333333,0.22898273,0.3848662,0.011666666666666667,12
280.0,0.8957488,1400.0,0.77640265,0.19980961,0.06728374,-21.387995,0.03333333333333333,0.22959809,0.38458028,0.018333333333333337,13
300.0,0.9146302,1500.0,0.7807986,0.1999721,0.081714965,-23.019571,0.08333333333333333,0.23026405,0.38434267,0.024999999999999998,14
320.0,0.8969705,1600.0,0.7852028,0.19988815,0.07937633,-23.470896,0.08333333333333333,0.23068748,0.38444284,0.03,15
340.0,0.92429,1700.0,0.7900993,0.19957002,0.08527424,-24.682365,0.075,0.23115568,0.38410804,0.03833333333333333,16
360.0,1.0366915,1800.0,0.7941502,0.19931866,0.07434713,-27.614042,0.03333333333333333,0.23161124,0.38420582,0.034999999999999996,17
380.0,0.9132223,1900.0,0.7987433,0.1990426,0.08275559,-27.409517,0.06666666666666667,0.23191227,0.38409853,0.04666666666666667,18
400.0,0.82677174,2000.0,0.8031488,0.19900052,0.09164063,-25.042166,0.05833333333333334,0.23216511,0.3842795,0.051666666666666666,19
420.0,0.8525732,2100.0,0.8076298,0.19900863,0.101946086,-25.940811,0.05833333333333334,0.2321995,0.38418052,0.03166666666666667,20
440.0,0.84280044,2200.0,0.81234866,0.19903617,0.111151,-26.247581,0.10833333333333334,0.23244445,0.38392797,0.05000000000000001,21
460.0,0.90220803,2300.0,0.8168948,0.19890778,0.11684388,-29.606056,0.05833333333333333,0.23260756,0.38386872,0.036666666666666674,22
480.0,0.7823469,2400.0,0.8212835,0.19858746,0.09695659,-25.671457,0.09166666666666667,0.23245512,0.38387623,0.05000000000000001,23
500.0,0.74444646,2500.0,0.8261952,0.19835101,0.123236656,-24.782822,0.075,0.23206699,0.38402858,0.051666666666666666,24
520.0,0.7152109,2600.0,0.83108264,0.19809021,0.10996729,-25.102655,0.15,0.23179798,0.38431355,0.05333333333333334,25
540.0,0.73561627,2700.0,0.8352707,0.19800793,0.11047747,-25.66691,0.1416666666666667,0.23164089,0.38459754,0.07,26
560.0,0.70804286,2800.0,0.8394616,0.19795565,0.12760599,-25.807657,0.11666666666666665,0.23150964,0.38490656,0.060000000000000005,27
580.0,0.87695074,2900.0,0.8436858,0.19774859,0.122489266,-30.289286,0.09166666666666667,0.23118152,0.38490692,0.065,28
600.0,0.662647,3000.0,0.8475049,0.19746424,0.13188536,-25.742018,0.09999999999999999,0.23098959,0.3851719,0.06833333333333334,29
620.0,0.7840295,3100.0,0.851082,0.19727202,0.13647538,-29.496422,0.06666666666666667,0.23066844,0.38551453,0.07166666666666667,30
640.0,0.7023406,3200.0,0.854381,0.19708593,0.13844335,-27.869476,0.11666666666666665,0.23053496,0.385746,0.06666666666666667,31
660.0,0.73662966,3300.0,0.85773945,0.19683962,0.13542432,-28.371529,0.06666666666666667,0.23026897,0.38589385,0.051666666666666666,32
680.0,0.61434513,3400.0,0.8607591,0.19661425,0.15194304,-24.113726,0.20000000000000004,0.23008843,0.38606176,0.07833333333333334,33
700.0,0.6809004,3500.0,0.8638399,0.196407,0.1439071,-25.647825,0.18333333333333335,0.22978322,0.38630345,0.06666666666666667,34
720.0,0.63698083,3600.0,0.8664401,0.19628592,0.15234612,-26.459518,0.18333333333333335,0.22957186,0.38661787,0.07,35
740.0,0.62786704,3700.0,0.8689542,0.19607191,0.15600978,-25.11484,0.24166666666666667,0.22930746,0.38677755,0.06833333333333334,36
760.0,0.6773548,3800.0,0.87154204,0.1959136,0.15716733,-28.141634,0.15,0.2289574,0.38720736,0.11,37
780.0,0.7086571,3900.0,0.8739403,0.19595653,0.13901244,-28.999117,0.17500000000000002,0.22876604,0.38752404,0.08333333333333333,38
800.0,0.68468744,4000.0,0.8763225,0.19578786,0.14441003,-27.505537,0.15,0.22851658,0.38759175,0.06999999999999999,39
820.0,0.56229013,4100.0,0.8790638,0.19550459,0.15055637,-24.302727,0.16666666666666666,0.22830535,0.38790718,0.07833333333333335,40
840.0,0.5949668,4200.0,0.88117975,0.19526194,0.15338536,-26.713614,0.21666666666666667,0.22812562,0.38810006,0.09333333333333334,41
860.0,0.6161558,4300.0,0.8831663,0.19514573,0.14496513,-27.282644,0.15833333333333333,0.22789906,0.38838616,0.09333333333333334,42
880.0,0.48318437,4400.0,0.88528603,0.19507389,0.15568323,-24.626831,0.225,0.22760145,0.38873944,0.10333333333333333,43
900.0,0.61411995,4500.0,0.8874934,0.19500266,0.1641421,-28.262207,0.20000000000000004,0.2273431,0.38895002,0.105,44
920.0,0.59144384,4600.0,0.8895555,0.1948015,0.1557978,-27.279572,0.16666666666666666,0.2271459,0.38917956,0.11166666666666668,45
940.0,0.6657774,4700.0,0.8915685,0.19460325,0.1597702,-30.607439,0.19166666666666665,0.22711878,0.3893555,0.08833333333333333,46
960.0,0.55295014,4800.0,0.8933402,0.19446339,0.17170548,-25.889465,0.225,0.22694077,0.38969067,0.09166666666666667,47
980.0,0.63371724,4900.0,0.8951588,0.19423646,0.1445389,-29.762558,0.19999999999999998,0.22689109,0.38988653,0.09333333333333334,48
1000.0,0.55464184,5000.0,0.8970601,0.19401813,0.16460456,-27.59065,0.20833333333333334,0.22673468,0.39016977,0.11,49
