train/episode,epoch,stats_o/mean,test/success_rate,test/mean_Q,stats_g/mean,stats_o/std,train/success_rate,test/ag_g_dist,test/episode,train/critic_loss,stats_g/std
100.0,0,0.19970037,0.008333333333333333,-2.70947,0.38436517,0.7468936,0.0,1.033433,20.0,0.019458117,0.22420116
200.0,1,0.1983496,0.0,-4.830853,0.38847956,0.75007725,0.0,0.97308356,40.0,0.024584329,0.22462173
300.0,2,0.1967874,0.0,-7.041435,0.3890009,0.7523467,0.0,1.0272166,60.0,0.035623778,0.225928
400.0,3,0.19659893,0.008333333333333333,-8.839497,0.3891553,0.75262445,0.0,1.00393,80.0,0.054753065,0.22678618
500.0,4,0.19592883,0.0,-10.751748,0.38630298,0.7539034,0.0033333333333333335,0.982687,100.0,0.060923796,0.22783037
600.0,5,0.19574197,0.0,-12.402183,0.38556996,0.7577257,0.005,0.9804738,120.0,0.07030044,0.22818087
700.0,6,0.19552791,0.0,-14.18229,0.38490602,0.7633913,0.005,0.9420271,140.0,0.07053032,0.22925176
800.0,7,0.19544743,0.008333333333333333,-15.663338,0.38413945,0.7670117,0.006666666666666667,0.91463035,160.0,0.081435286,0.23014784
900.0,8,0.19516629,0.0,-16.921028,0.38309518,0.7729692,0.0033333333333333335,0.9774249,180.0,0.08613663,0.23107727
1000.0,9,0.1950355,0.0,-18.400877,0.38231692,0.7777514,0.006666666666666667,0.97308797,200.0,0.11567801,0.23212542
1100.0,10,0.1950141,0.008333333333333333,-20.08113,0.3825657,0.78254443,0.0033333333333333335,1.0023357,220.0,0.120110504,0.23262902
1200.0,11,0.19512053,0.025000000000000005,-20.67443,0.38321522,0.7880623,0.015000000000000001,0.9325974,240.0,0.1257483,0.23266058
1300.0,12,0.19491152,0.016666666666666666,-21.45703,0.383315,0.79361385,0.008333333333333333,0.95025826,260.0,0.122466005,0.23275082
1400.0,13,0.1948164,0.03333333333333333,-21.08825,0.38327947,0.79948455,0.011666666666666667,0.830004,280.0,0.16138248,0.23300616
1500.0,14,0.19507052,0.025000000000000005,-22.985748,0.38331458,0.8044827,0.013333333333333334,0.9085787,300.0,0.17284004,0.23325002
1600.0,15,0.1950144,0.008333333333333333,-24.151083,0.38345233,0.80930954,0.011666666666666667,0.89847904,320.0,0.166936,0.23367296
1700.0,16,0.1949765,0.08333333333333333,-21.764399,0.38303995,0.8147395,0.015,0.8056908,340.0,0.16014694,0.2339481
1800.0,17,0.1950212,0.03333333333333333,-25.362099,0.3830634,0.8199125,0.02,0.9179266,360.0,0.18262513,0.23408084
1900.0,18,0.19487073,0.05833333333333334,-25.410757,0.38287506,0.8260997,0.018333333333333333,0.85854864,380.0,0.19852583,0.23417191
2000.0,19,0.19505572,0.08333333333333333,-23.19465,0.38287374,0.83183914,0.028333333333333335,0.74883515,400.0,0.1776378,0.23424445
2100.0,20,0.19491099,0.06666666666666667,-24.334131,0.3827521,0.8382352,0.013333333333333334,0.7900668,420.0,0.21114095,0.23409979
2200.0,21,0.19480796,0.08333333333333333,-23.48477,0.3827075,0.84450036,0.02,0.75688654,440.0,0.22679003,0.23400943
2300.0,22,0.19466563,0.05000000000000001,-25.428274,0.3825055,0.85027474,0.02,0.76826495,460.0,0.20737636,0.23399313
2400.0,23,0.19429266,0.05000000000000001,-24.039244,0.38219094,0.856098,0.013333333333333334,0.73584443,480.0,0.23865563,0.2337945
2500.0,24,0.19414717,0.09166666666666667,-19.476355,0.3820654,0.8622187,0.034999999999999996,0.58511764,500.0,0.2199819,0.23340876
2600.0,25,0.1940371,0.05833333333333333,-22.381277,0.3820885,0.86786693,0.03166666666666667,0.6676063,520.0,0.21046329,0.2331466
2700.0,26,0.19405979,0.08333333333333333,-20.877504,0.38224158,0.8732005,0.03666666666666667,0.61598104,540.0,0.25555044,0.2327419
2800.0,27,0.19393222,0.06666666666666667,-22.751535,0.38234636,0.8784719,0.03333333333333333,0.61531705,560.0,0.247755,0.23254438
2900.0,28,0.19386892,0.09166666666666667,-25.111938,0.38213,0.88369584,0.03,0.70628405,580.0,0.2470705,0.23225288
3000.0,29,0.19368927,0.05833333333333334,-18.709349,0.3820438,0.88849854,0.04,0.51026845,600.0,0.27887896,0.23201238
3100.0,30,0.19359855,0.10833333333333334,-22.21845,0.38210654,0.89356446,0.03833333333333334,0.61762244,620.0,0.25449705,0.23163366
3200.0,31,0.19341154,0.10833333333333334,-21.165857,0.38205805,0.8978937,0.036666666666666674,0.58229584,640.0,0.25263798,0.2315625
3300.0,32,0.1931904,0.05833333333333333,-20.087278,0.38207266,0.9022457,0.03,0.58891094,660.0,0.25300443,0.23131905
3400.0,33,0.19302242,0.10000000000000002,-21.372187,0.38185975,0.9059654,0.03333333333333333,0.57694554,680.0,0.30709562,0.23118748
3500.0,34,0.19296186,0.13333333333333333,-20.400381,0.3818154,0.9098842,0.03833333333333334,0.5579877,700.0,0.22886021,0.23094778
3600.0,35,0.1928833,0.08333333333333333,-21.59967,0.381905,0.9135361,0.04833333333333333,0.5339355,720.0,0.259436,0.23082323
3700.0,36,0.19266225,0.13333333333333333,-20.575346,0.38191333,0.9172487,0.049999999999999996,0.56358165,740.0,0.35339764,0.23059689
3800.0,37,0.19248475,0.1416666666666667,-19.469727,0.38211772,0.9208786,0.05833333333333333,0.53685343,760.0,0.28092697,0.23038088
3900.0,38,0.19237964,0.125,-19.483488,0.38220692,0.9242794,0.04833333333333333,0.54876643,780.0,0.25910982,0.2303013
4000.0,39,0.19227754,0.10833333333333334,-18.706396,0.38214925,0.92760044,0.03833333333333334,0.52369976,800.0,0.28254247,0.23013377
4100.0,40,0.19210981,0.10833333333333334,-18.106827,0.3823385,0.9309233,0.04833333333333334,0.5206707,820.0,0.2726232,0.22991078
4200.0,41,0.19195615,0.15,-17.235003,0.38239098,0.93388325,0.05833333333333333,0.47683993,840.0,0.28718093,0.22968625
4300.0,42,0.19181538,0.15,-16.850988,0.38245615,0.93673164,0.055,0.45617828,860.0,0.30438146,0.22942884
4400.0,43,0.19164635,0.15833333333333333,-13.450734,0.3825731,0.9395415,0.05833333333333333,0.37694445,880.0,0.3396411,0.22922568
4500.0,44,0.19154184,0.09999999999999999,-16.71628,0.3826193,0.9422795,0.05333333333333334,0.4598899,900.0,0.29495683,0.22905163
4600.0,45,0.19134901,0.16666666666666666,-13.641838,0.38279298,0.94496757,0.06166666666666667,0.42506322,920.0,0.3206329,0.22885235
4700.0,46,0.19134878,0.16666666666666666,-19.112795,0.3828015,0.9475219,0.05666666666666667,0.54089755,940.0,0.28938314,0.22872363
4800.0,47,0.19125696,0.21666666666666667,-18.069777,0.38294074,0.94990605,0.055,0.51099193,960.0,0.35545087,0.22853823
4900.0,48,0.19114883,0.15833333333333333,-15.172328,0.3829874,0.9521446,0.06166666666666667,0.43726146,980.0,0.32462013,0.22843345
5000.0,49,0.19107811,0.20833333333333334,-18.408297,0.38312826,0.9544464,0.05833333333333334,0.48765668,1000.0,0.3712161,0.22826421
