stats_o/mean,test/ag_g_dist,test/mean_Q,test/success_rate,stats_g/std,train/episode,train/success_rate,train/critic_loss,stats_g/mean,stats_o/std,test/episode,epoch
0.19729681,0.9513771,-2.8124497,0.0,0.23417974,100.0,0.0,0.05144189,0.37608835,0.75676197,20.0,0
0.1979521,1.034227,-4.834248,0.0,0.23599036,200.0,0.0,0.05935661,0.37458834,0.7496994,40.0,1
0.19789666,1.0521337,-7.058328,0.0,0.23740812,300.0,0.0,0.069767006,0.37417623,0.7471344,60.0,2
0.1981849,0.9742196,-9.076369,0.0,0.2372797,400.0,0.0,0.078772254,0.3773164,0.7461944,80.0,3
0.1979974,0.95980906,-11.192136,0.0,0.2369075,500.0,0.0,0.089074254,0.37820598,0.74564075,100.0,4
0.1976244,1.065718,-13.182079,0.0,0.23732196,600.0,0.0,0.083108984,0.37883124,0.744747,120.0,5
0.19762987,1.047074,-14.7899475,0.0,0.23778228,700.0,0.0,0.087849855,0.37962684,0.74491006,140.0,6
0.19759052,1.0088371,-16.346972,0.0,0.23804261,800.0,0.0,0.11326591,0.38033715,0.74722457,160.0,7
0.19738156,1.0014988,-18.158287,0.0,0.23891783,900.0,0.0,0.109260835,0.38056207,0.748758,180.0,8
0.19732185,0.9920736,-19.000523,0.0,0.23961806,1000.0,0.0016666666666666668,0.11589166,0.38001248,0.7509149,200.0,9
0.19730984,0.9596383,-20.401701,0.0,0.24032085,1100.0,0.0,0.11490417,0.37991574,0.75430727,220.0,10
0.19728093,0.8956626,-20.103815,0.008333333333333333,0.24078007,1200.0,0.0,0.13237561,0.38014483,0.75798696,240.0,11
0.19711399,0.9337036,-22.352457,0.008333333333333333,0.24086411,1300.0,0.0,0.14579059,0.38028285,0.7624647,260.0,12
0.19686542,0.95295906,-23.46404,0.0,0.24115764,1400.0,0.0016666666666666668,0.16407183,0.38041958,0.76634806,280.0,13
0.19692715,0.93886703,-25.164896,0.0,0.24144082,1500.0,0.0,0.16774493,0.38057098,0.7709295,300.0,14
0.1968009,0.8399475,-25.213327,0.008333333333333333,0.24142432,1600.0,0.0033333333333333335,0.17868407,0.38097462,0.7758964,320.0,15
0.19658907,0.88307047,-26.488031,0.016666666666666666,0.2416035,1700.0,0.0016666666666666668,0.19108053,0.38128504,0.78138405,340.0,16
0.19630058,0.843077,-26.333961,0.008333333333333333,0.24155156,1800.0,0.0,0.23599982,0.38137832,0.7863315,360.0,17
0.19618565,0.79950523,-26.62082,0.016666666666666666,0.2414731,1900.0,0.005,0.23364602,0.381771,0.79100674,380.0,18
0.19602586,0.7277117,-25.28765,0.008333333333333333,0.24113835,2000.0,0.0033333333333333335,0.2492928,0.38216224,0.79660326,400.0,19
0.19595219,0.7609976,-26.556883,0.025000000000000005,0.24100673,2100.0,0.005,0.24759738,0.3824025,0.8015662,420.0,20
0.19597416,0.8111703,-28.10375,0.03333333333333333,0.24091034,2200.0,0.0033333333333333335,0.29295242,0.3830476,0.8063359,440.0,21
0.19598083,0.6904848,-26.895971,0.05000000000000001,0.24056612,2300.0,0.006666666666666667,0.28790018,0.3836399,0.8113336,460.0,22
0.19594824,0.70552343,-28.070707,0.008333333333333333,0.24026024,2400.0,0.008333333333333333,0.30868748,0.38412657,0.8154629,480.0,23
0.19580816,0.7619217,-29.895498,0.03333333333333333,0.23989399,2500.0,0.0033333333333333335,0.30966213,0.38466474,0.81964475,500.0,24
0.195821,0.75227076,-29.972824,0.016666666666666666,0.23954906,2600.0,0.005,0.3483177,0.38530627,0.8237128,520.0,25
0.19572854,0.6561912,-30.44113,0.016666666666666666,0.23917185,2700.0,0.006666666666666667,0.49527058,0.38573006,0.82734364,540.0,26
0.19572051,0.6196738,-28.799513,0.025000000000000005,0.23884802,2800.0,0.006666666666666667,0.36914968,0.38641855,0.8311575,560.0,27
0.19585729,0.7183563,-31.444132,0.041666666666666664,0.2384419,2900.0,0.008333333333333333,0.39384142,0.38687977,0.83476406,580.0,28
0.19592245,0.6631299,-31.409842,0.025000000000000005,0.23819079,3000.0,0.01,0.3727499,0.38697585,0.8376699,600.0,29
0.1960653,0.672142,-32.6167,0.025000000000000005,0.23790725,3100.0,0.005,0.32944188,0.38751212,0.8409267,620.0,30
0.19617052,0.6060259,-30.273964,0.041666666666666664,0.23760812,3200.0,0.006666666666666667,0.3406686,0.38783503,0.84375834,640.0,31
0.19623001,0.6222403,-31.920874,0.016666666666666666,0.23731251,3300.0,0.006666666666666667,0.43598592,0.38801894,0.8466223,660.0,32
0.19627447,0.6993665,-33.859768,0.016666666666666666,0.2369589,3400.0,0.006666666666666667,0.36701837,0.38849887,0.84967726,680.0,33
0.19641344,0.7144014,-33.952805,0.008333333333333333,0.2366186,3500.0,0.013333333333333334,0.36294416,0.3889309,0.85214275,700.0,34
0.19647317,0.6344703,-32.57391,0.008333333333333333,0.23638736,3600.0,0.005,0.35625824,0.38923803,0.85448146,720.0,35
