stats_g/std,train/success_rate,test/episode,train/critic_loss,epoch,stats_o/mean,stats_o/std,stats_g/mean,test/success_rate,test/mean_Q,test/ag_g_dist,train/episode
0.23599012,0.0,20.0,0.06490042,0,0.19799286,0.75057954,0.3753436,0.0,-2.946906,0.9589629,100.0
0.23770995,0.0,40.0,0.06825105,1,0.1945682,0.7479744,0.3732498,0.0,-4.930416,1.0357889,200.0
0.23934837,0.0,60.0,0.07687911,2,0.19327901,0.74518967,0.37390414,0.0,-7.1533055,1.0443338,300.0
0.23889966,0.0,80.0,0.080173574,3,0.19372813,0.7454211,0.3765905,0.0,-9.143722,0.97803324,400.0
0.23890877,0.0,100.0,0.08920314,4,0.19363742,0.7473071,0.37721035,0.0,-11.15198,0.9720998,500.0
0.23992567,0.0,120.0,0.09836149,5,0.19347508,0.7480034,0.37753615,0.0,-13.183072,1.0633546,600.0
0.24047284,0.0016666666666666668,140.0,0.091126464,6,0.19362469,0.7505023,0.37839118,0.0,-14.633301,1.0436693,700.0
0.24076605,0.0,160.0,0.10677106,7,0.1937204,0.75372005,0.37932876,0.0,-16.681707,1.0460669,800.0
0.241008,0.0,180.0,0.12133368,8,0.19353354,0.7568067,0.37966648,0.0,-17.975086,0.98732275,900.0
0.24164782,0.0,200.0,0.12506968,9,0.1930217,0.76052356,0.37923434,0.0,-19.027876,0.984551,1000.0
0.24195735,0.0016666666666666668,220.0,0.13524185,10,0.19269843,0.7655818,0.37906602,0.0,-21.108622,0.98692656,1100.0
0.24262758,0.0016666666666666668,240.0,0.118677534,11,0.1925263,0.77093095,0.37874874,0.008333333333333333,-20.233103,0.9120715,1200.0
0.24315155,0.0016666666666666668,260.0,0.15111504,12,0.19231826,0.7772891,0.37826923,0.0,-22.347631,0.944442,1300.0
0.24346901,0.0,280.0,0.14982478,13,0.19222969,0.7826605,0.37822676,0.0,-23.113274,0.96486694,1400.0
0.24353595,0.0,300.0,0.1644135,14,0.19201095,0.78883475,0.37794885,0.0,-24.480944,0.9549362,1500.0
0.24350774,0.0033333333333333335,320.0,0.20611863,15,0.19170962,0.7949665,0.37784752,0.0,-23.850225,0.8583867,1600.0
0.24370103,0.0016666666666666668,340.0,0.1952674,16,0.19140494,0.80181295,0.37772515,0.0,-25.717056,0.8785085,1700.0
0.24382548,0.0016666666666666668,360.0,0.22705632,17,0.19096309,0.8087206,0.37725154,0.008333333333333333,-26.240591,0.8827035,1800.0
0.24402197,0.0016666666666666668,380.0,0.20357569,18,0.1906675,0.8156883,0.37706146,0.016666666666666666,-26.492361,0.8519337,1900.0
0.24410546,0.0033333333333333335,400.0,0.23388046,19,0.1904733,0.8222948,0.37686214,0.008333333333333333,-24.027674,0.79921037,2000.0
0.24411647,0.0,420.0,0.22150274,20,0.1902485,0.82901794,0.37652227,0.008333333333333333,-25.84765,0.8171385,2100.0
0.24405114,0.0016666666666666668,440.0,0.29517314,21,0.18998374,0.8353639,0.37627283,0.0,-27.501368,0.8333929,2200.0
0.24387455,0.006666666666666667,460.0,0.24194312,22,0.18969493,0.8420561,0.37607113,0.008333333333333333,-27.740395,0.81444377,2300.0
0.2438312,0.0033333333333333335,480.0,0.3518432,23,0.18924765,0.8484958,0.37575504,0.0,-25.778215,0.7296818,2400.0
