epoch,test/mean_Q,stats_o/mean,test/success_rate,stats_g/std,test/episode,stats_g/mean,train/success_rate,train/episode,stats_o/std,train/critic_loss,test/ag_g_dist
0,-2.2604485,0.19529526,0.0,0.23406482,20.0,0.37669882,0.0,100.0,0.74575883,0.017008847,0.95447946
1,-4.2986455,0.1975683,0.0,0.23528533,40.0,0.37412095,0.0,200.0,0.7440951,0.020519262,1.041694
2,-6.566191,0.19761272,0.0,0.23722844,60.0,0.3733581,0.0,300.0,0.74265486,0.02243437,1.055478
3,-8.397082,0.19820173,0.0,0.23730028,80.0,0.37585428,0.0,400.0,0.7425719,0.024716297,0.9683934
4,-10.614695,0.19824862,0.0,0.23736866,100.0,0.3768003,0.0,500.0,0.7428525,0.027907962,0.97019404
5,-12.627556,0.19778048,0.0,0.23819156,120.0,0.37748885,0.0,600.0,0.74267143,0.028784422,1.0656722
6,-14.510943,0.19773583,0.0,0.23903583,140.0,0.3781418,0.0,700.0,0.74360484,0.031369638,1.0478075
7,-15.993871,0.1975893,0.008333333333333333,0.23940845,160.0,0.3784941,0.0,800.0,0.74550897,0.034579147,1.0278264
8,-17.300104,0.19742857,0.0,0.24020971,180.0,0.3787031,0.0,900.0,0.74754614,0.03572147,0.97022295
9,-18.485209,0.19724457,0.0,0.24065562,200.0,0.37862346,0.0,1000.0,0.750133,0.041990787,0.9696049
10,-20.326252,0.1969685,0.0,0.24083199,220.0,0.37903133,0.0,1100.0,0.7543197,0.039659027,0.9553625
11,-19.618113,0.1969233,0.0,0.24107485,240.0,0.37964097,0.0,1200.0,0.7581001,0.04348896,0.8809274
12,-21.737299,0.19678171,0.0,0.24107401,260.0,0.38018128,0.0016666666666666668,1300.0,0.76328856,0.05683632,0.8691321
13,-22.262259,0.19670673,0.0,0.24110042,280.0,0.3807278,0.0016666666666666668,1400.0,0.7683076,0.057246257,0.8739044
14,-24.508093,0.19669692,0.0,0.2411731,300.0,0.38097402,0.0016666666666666668,1500.0,0.77381045,0.060927078,0.9206777
15,-24.453888,0.19654651,0.0,0.24093147,320.0,0.3814539,0.0033333333333333335,1600.0,0.7796891,0.060111087,0.78850394
16,-24.644842,0.19649506,0.008333333333333333,0.24076341,340.0,0.38214853,0.0033333333333333335,1700.0,0.7849466,0.07238241,0.8197153
17,-26.94393,0.19644052,0.008333333333333333,0.24044526,360.0,0.38267383,0.006666666666666667,1800.0,0.79002064,0.073546566,0.86593324
18,-27.839235,0.1962931,0.008333333333333333,0.24029939,380.0,0.38309553,0.0033333333333333335,1900.0,0.79513025,0.078077756,0.86055106
19,-24.911753,0.19617833,0.025000000000000005,0.24005754,400.0,0.38332438,0.005,2000.0,0.8006069,0.07862932,0.712962
20,-26.241867,0.19627763,0.025000000000000005,0.23970883,420.0,0.38371873,0.005,2100.0,0.80542475,0.085062526,0.7103252
21,-28.349058,0.19632371,0.0,0.23950629,440.0,0.3841127,0.0033333333333333335,2200.0,0.81036764,0.083198994,0.7915583
22,-27.607819,0.1963747,0.03333333333333333,0.23906888,460.0,0.38451663,0.0016666666666666668,2300.0,0.81559324,0.08495498,0.6993365
23,-27.248499,0.19638248,0.025000000000000005,0.23875897,480.0,0.3848599,0.008333333333333333,2400.0,0.8199808,0.0868566,0.6331997
24,-28.65845,0.19639336,0.06666666666666667,0.23845242,500.0,0.38526845,0.013333333333333334,2500.0,0.8244675,0.09024569,0.676137
25,-28.994333,0.19630043,0.05000000000000001,0.23807724,520.0,0.38577595,0.008333333333333333,2600.0,0.82852894,0.094432615,0.6600726
