epoch,test/success_rate,test/mean_Q,stats_o/mean,stats_g/mean,test/ag_g_dist,train/episode,train/success_rate,stats_o/std,test/episode,train/critic_loss,stats_g/std
0,0.0,-2.7860634,0.1967289,0.3783362,0.9609237,100.0,0.0,0.75053245,20.0,0.014501232,0.23484771
1,0.0,-4.747915,0.1957574,0.37605682,1.0462818,200.0,0.0,0.74687344,40.0,0.023060396,0.23722847
2,0.0,-6.8122487,0.19462515,0.3751111,1.059703,300.0,0.0,0.7493189,60.0,0.03265656,0.23929887
3,0.0,-8.703658,0.1939613,0.37740564,0.9810073,400.0,0.0,0.7529451,80.0,0.046429027,0.2396047
4,0.0,-10.673218,0.19338538,0.3773276,0.9866683,500.0,0.0,0.7540495,100.0,0.05680312,0.24050249
5,0.0,-12.8543625,0.19354181,0.37696877,1.080984,600.0,0.0,0.75341624,120.0,0.053429823,0.24159479
6,0.0,-14.344521,0.19391297,0.37720916,1.0434288,700.0,0.0,0.75395876,140.0,0.06360125,0.24217735
7,0.0,-16.347237,0.19445838,0.3778101,1.039558,800.0,0.0,0.75654334,160.0,0.067498855,0.2421925
8,0.0,-17.52368,0.1946844,0.37782726,1.0162233,900.0,0.0,0.758816,180.0,0.092010945,0.24246831
9,0.0,-19.01065,0.19454937,0.37726727,0.9943671,1000.0,0.0,0.76204586,200.0,0.108237945,0.24293505
10,0.0,-20.182573,0.19419175,0.37706605,0.9512155,1100.0,0.0016666666666666668,0.7668523,220.0,0.084955394,0.24308519
11,0.008333333333333333,-20.556925,0.19414483,0.37667802,0.9328003,1200.0,0.0,0.7713451,240.0,0.1025003,0.24363737
12,0.008333333333333333,-21.816305,0.19393824,0.375855,0.9216369,1300.0,0.0,0.7763173,260.0,0.12467813,0.24397777
13,0.0,-24.108866,0.19366597,0.3755618,0.97574824,1400.0,0.0016666666666666668,0.78125983,280.0,0.11648613,0.24422921
14,0.0,-24.704803,0.19345313,0.37518463,0.95373493,1500.0,0.0016666666666666668,0.78710645,300.0,0.15643223,0.24449192
15,0.008333333333333333,-25.032629,0.19314389,0.3750755,0.892075,1600.0,0.0,0.79347736,320.0,0.15180276,0.24434535
16,0.0,-27.56102,0.19275193,0.37487078,0.9285204,1700.0,0.0,0.7994717,340.0,0.15275215,0.24456806
17,0.0,-26.050346,0.19245331,0.37465596,0.8788995,1800.0,0.0,0.8057296,360.0,0.220011,0.2445755
18,0.016666666666666666,-25.217173,0.19199069,0.37456843,0.83501935,1900.0,0.0,0.81285876,380.0,0.22316153,0.24460654
19,0.008333333333333333,-23.82502,0.19150794,0.3742776,0.774122,2000.0,0.0,0.8199911,400.0,0.17697029,0.24460255
20,0.0,-27.34379,0.19115603,0.37410203,0.8351914,2100.0,0.0016666666666666668,0.8264201,420.0,0.19043784,0.24452774
21,0.008333333333333333,-27.561172,0.19069795,0.3743383,0.8600478,2200.0,0.0033333333333333335,0.8329188,440.0,0.23017682,0.24450989
22,0.0,-27.27756,0.19032037,0.37438694,0.79620934,2300.0,0.0016666666666666668,0.83934647,460.0,0.37752926,0.24416287
23,0.0,-25.23469,0.18979056,0.37419322,0.7046146,2400.0,0.0016666666666666668,0.8455014,480.0,0.25590947,0.24405296
24,0.0,-26.61601,0.18933366,0.3742005,0.72055644,2500.0,0.0,0.85188746,500.0,0.26920983,0.24385281
25,0.008333333333333333,-28.541945,0.1889395,0.37423715,0.76529175,2600.0,0.005,0.85793275,520.0,0.263208,0.24368177
26,0.008333333333333333,-28.13855,0.18853515,0.37425956,0.77565527,2700.0,0.0016666666666666668,0.86343807,540.0,0.28682727,0.24349608
27,0.016666666666666666,-26.344793,0.18826766,0.37464544,0.6729622,2800.0,0.0033333333333333335,0.8688862,560.0,0.26711854,0.24325188
28,0.008333333333333333,-30.553024,0.18776645,0.37481537,0.8207342,2900.0,0.0,0.8743108,580.0,0.4041046,0.24299778
29,0.016666666666666666,-27.422112,0.18723293,0.37443438,0.70381784,3000.0,0.0,0.87922055,600.0,0.33371556,0.24298482
30,0.0,-27.38523,0.18687253,0.3744075,0.7118601,3100.0,0.0,0.8840068,620.0,0.5470076,0.24287884
31,0.025000000000000005,-26.087973,0.18653284,0.37403753,0.6546839,3200.0,0.0016666666666666668,0.8878315,640.0,0.35305008,0.24284719
32,0.008333333333333333,-27.136057,0.18621235,0.37378523,0.68731827,3300.0,0.0,0.89166945,660.0,0.41984606,0.24271564
33,0.0,-26.45484,0.18582211,0.37384787,0.68364805,3400.0,0.0016666666666666668,0.8955484,680.0,0.4278171,0.2424209
34,0.008333333333333333,-26.736595,0.18545868,0.3738028,0.6604081,3500.0,0.0016666666666666668,0.89914435,700.0,0.5003924,0.24224019
