stats_o/std,train/episode,test/mean_Q,epoch,test/episode,stats_o/mean,stats_g/mean,stats_g/std,test/success_rate,train/critic_loss,test/ag_g_dist,train/success_rate
0.72144675,100.0,-3.1421535,0,20.0,0.19589736,0.34108916,0.15516987,0.0,0.07720635,0.89487785,0.0
0.71166605,200.0,-5.1335206,1,40.0,0.1980593,0.34201184,0.15719667,0.0,0.06651184,0.9283908,0.0016666666666666668
0.7078888,300.0,-7.209762,2,60.0,0.19848253,0.34396598,0.15727936,0.0,0.069725,0.9294677,0.0
0.70707756,400.0,-9.166717,3,80.0,0.19807631,0.34369573,0.15683007,0.008333333333333333,0.09609201,0.91511106,0.0033333333333333335
0.7072843,500.0,-11.154552,4,100.0,0.19778974,0.3425618,0.15743347,0.008333333333333333,0.10584515,0.8917491,0.0016666666666666668
0.7080763,600.0,-13.295373,5,120.0,0.1980205,0.34276196,0.15742168,0.008333333333333333,0.10178331,0.9729643,0.0
0.70962316,700.0,-15.160718,6,140.0,0.19810902,0.34348583,0.15809928,0.0,0.08673242,1.0151533,0.0
0.7131222,800.0,-16.89106,7,160.0,0.19844143,0.3452684,0.15969884,0.0,0.08491817,0.9410179,0.0033333333333333335
0.71668106,900.0,-19.054708,8,180.0,0.19879667,0.34654763,0.16125603,0.0,0.1021522,1.034099,0.005
0.7215366,1000.0,-18.42523,9,200.0,0.1988982,0.34713426,0.16364907,0.016666666666666666,0.10303267,0.84238887,0.0033333333333333335
0.72715396,1100.0,-19.397202,10,220.0,0.19900624,0.34800908,0.1652399,0.0,0.102023266,0.9508062,0.0
0.7327506,1200.0,-19.506704,11,240.0,0.1986229,0.3484068,0.16640747,0.016666666666666666,0.11742925,0.9825151,0.0033333333333333335
0.73647803,1300.0,-21.436493,12,260.0,0.19830345,0.34901628,0.168103,0.016666666666666666,0.12624563,0.93266106,0.008333333333333333
0.74097234,1400.0,-23.13121,13,280.0,0.19804813,0.35014102,0.16987164,0.008333333333333333,0.11502393,0.9787099,0.006666666666666667
0.745773,1500.0,-22.53434,14,300.0,0.19804226,0.35093907,0.17158626,0.041666666666666664,0.10102266,0.88078064,0.0033333333333333335
