train/critic_loss,train/episode,stats_o/std,test/episode,test/success_rate,stats_g/mean,stats_g/std,test/ag_g_dist,epoch,test/mean_Q,stats_o/mean,train/success_rate
0.012137547,100.0,0.71922034,20.0,0.008333333333333333,0.3479732,0.15357623,0.8972034,0,-2.9341831,0.1978875,0.0016666666666666668
0.01636069,200.0,0.71368796,40.0,0.0,0.34541297,0.15702584,0.9172127,1,-5.180908,0.19930635,0.0
0.01594157,300.0,0.71088046,60.0,0.0,0.34592524,0.15777372,0.92426157,2,-7.2447476,0.19881384,0.0016666666666666668
0.020135447,400.0,0.7096855,80.0,0.0,0.3461878,0.15715894,0.90349966,3,-9.324719,0.19864754,0.0
0.029375637,500.0,0.709925,100.0,0.0,0.34680042,0.15791084,0.8867981,4,-11.168996,0.19853616,0.0
0.029998967,600.0,0.71252733,120.0,0.016666666666666666,0.34660554,0.15864737,0.8979301,5,-12.538521,0.19840676,0.0
0.03866936,700.0,0.7159807,140.0,0.025000000000000005,0.34694543,0.16003239,0.96199006,6,-14.23516,0.19870655,0.0016666666666666668
0.04398237,800.0,0.72081584,160.0,0.008333333333333333,0.34780517,0.16206305,0.8736765,7,-15.577171,0.19913459,0.0
0.056384962,900.0,0.7280181,180.0,0.0,0.34887838,0.16427183,0.96806365,8,-16.96189,0.20013487,0.005
0.06082963,1000.0,0.73576754,200.0,0.008333333333333333,0.34978876,0.16736412,0.81564856,9,-17.501701,0.20111237,0.0016666666666666668
0.06440908,1100.0,0.74283963,220.0,0.008333333333333333,0.35002097,0.16933377,0.9292486,10,-19.71006,0.20156474,0.0016666666666666668
0.12753448,1200.0,0.74831814,240.0,0.05833333333333333,0.35015273,0.17039104,0.85537887,11,-19.814716,0.20124833,0.0033333333333333335
0.11764008,1300.0,0.7526755,260.0,0.025000000000000005,0.35067353,0.1716754,0.8812671,12,-21.734306,0.20107228,0.005
0.10078507,1400.0,0.7586536,280.0,0.05833333333333333,0.3518897,0.17267887,0.9063265,13,-21.751581,0.2012539,0.005
0.13773382,1500.0,0.7635267,300.0,0.05000000000000001,0.35273758,0.17363234,0.7713377,14,-20.627596,0.20126788,0.005
0.11967293,1600.0,0.7674096,320.0,0.016666666666666666,0.35315356,0.17436714,0.89100677,15,-24.139639,0.20108287,0.008333333333333333
0.10549917,1700.0,0.7723176,340.0,0.016666666666666666,0.3539411,0.17526908,0.7706259,16,-22.724472,0.20100103,0.006666666666666667
0.13965096,1800.0,0.7768405,360.0,0.11666666666666665,0.35450938,0.17609136,0.81973267,17,-22.637606,0.20082575,0.0016666666666666668
0.14275347,1900.0,0.7810886,380.0,0.09166666666666667,0.35525623,0.17703731,0.7585283,18,-22.760368,0.20110409,0.0016666666666666668
0.1951859,2000.0,0.7851295,400.0,0.041666666666666664,0.35576954,0.17781518,0.75098664,19,-24.671844,0.20146348,0.006666666666666667
0.18161482,2100.0,0.7889349,420.0,0.016666666666666666,0.35638478,0.17850335,0.8031308,20,-26.358109,0.2017204,0.011666666666666667
0.31078908,2200.0,0.79261637,440.0,0.049999999999999996,0.3570191,0.17917807,0.84582347,21,-28.427887,0.20203896,0.006666666666666667
0.28015432,2300.0,0.795734,460.0,0.008333333333333333,0.35750005,0.17998195,0.74071735,22,-26.323708,0.20193525,0.0016666666666666668
0.21576257,2400.0,0.7992529,480.0,0.049999999999999996,0.3581166,0.1807052,0.7161996,23,-24.93221,0.20173776,0.005
0.28397787,2500.0,0.8026045,500.0,0.025000000000000005,0.35847807,0.1813968,0.72640055,24,-27.55365,0.20168276,0.0016666666666666668
0.28461203,2600.0,0.8056677,520.0,0.025000000000000005,0.35885146,0.18202953,0.8288408,25,-29.345428,0.20161004,0.0033333333333333335
