test/mean_Q,stats_g/std,train/critic_loss,test/episode,test/ag_g_dist,stats_o/std,epoch,test/success_rate,train/episode,stats_g/mean,train/success_rate,stats_o/mean
-2.7747574,0.019894032,0.0020974565,20.0,0.1408893,0.6828654,0,0.0,100.0,0.6781396,0.0,0.33069173
-4.367034,0.02246078,0.0011722172,40.0,0.21799856,0.6806033,1,0.0,200.0,0.68508834,0.0,0.3389109
-6.183928,0.023506276,0.0010518711,60.0,0.19548325,0.67915344,2,0.0,300.0,0.68947095,0.0,0.3393689
-8.194751,0.022756971,0.0006233607,80.0,0.16809224,0.6750674,3,0.0,400.0,0.69026035,0.0,0.337495
-9.9896965,0.02192828,0.00055730494,100.0,0.13643318,0.67154485,4,0.0,500.0,0.6894137,0.0,0.33584535
-10.77002,0.021729546,0.00077212416,120.0,0.15457557,0.6772824,5,0.0,600.0,0.68804866,0.0,0.3352699
-12.072703,0.02155014,0.00072906166,140.0,0.15321903,0.6843183,6,0.0,700.0,0.6869963,0.0,0.33607903
-13.768277,0.021191118,0.00082951575,160.0,0.13363816,0.68599606,7,0.0,800.0,0.6862758,0.0,0.3369232
-15.43797,0.020891607,0.00063434127,180.0,0.10094132,0.68401283,8,0.0,900.0,0.6856022,0.0,0.33670393
-16.804796,0.020886818,0.0010968545,200.0,0.096684515,0.6811169,9,0.0,1000.0,0.68478245,0.0,0.33521068
-17.990911,0.021351935,0.0017935517,220.0,0.11058081,0.6796418,10,0.0,1100.0,0.6838451,0.0,0.3328237
-18.535505,0.023016209,0.00078620296,240.0,0.1676514,0.68042916,11,0.0,1200.0,0.6829749,0.0,0.32988676
-19.639103,0.0240885,0.0004849972,260.0,0.1392235,0.6803624,12,0.0,1300.0,0.6825765,0.0,0.32752177
-20.902319,0.024313219,0.00037736507,280.0,0.13464533,0.67931247,13,0.0,1400.0,0.68273085,0.0,0.32635534
-22.237228,0.024294069,0.00043463652,300.0,0.12084708,0.677615,14,0.0,1500.0,0.6830018,0.0,0.32565087
-23.601196,0.023985172,0.00038317163,320.0,0.102024816,0.6758701,15,0.0,1600.0,0.6831116,0.0,0.32533887
-24.872162,0.023593495,0.00023555597,340.0,0.10502755,0.6741863,16,0.0,1700.0,0.6830952,0.0,0.3253005
-26.072083,0.023241023,0.00019579499,360.0,0.11214163,0.6724779,17,0.0,1800.0,0.6830747,0.0,0.32537943
-27.203918,0.02293186,0.0001272559,380.0,0.11700559,0.6707838,18,0.0,1900.0,0.68307656,0.0,0.32555807
-28.281225,0.02265819,0.0001672888,400.0,0.11768844,0.66931075,19,0.0,2000.0,0.6830929,0.0,0.32581857
-29.33568,0.022415688,5.0033457e-05,420.0,0.12017939,0.66789836,20,0.0,2100.0,0.6831116,0.0,0.32595438
-30.317495,0.02218972,0.00013749627,440.0,0.1172271,0.666631,21,0.0,2200.0,0.68313146,0.0,0.32608783
-31.26738,0.021980314,8.052844e-05,460.0,0.118727505,0.66547906,22,0.0,2300.0,0.683147,0.0,0.32622716
-32.175343,0.0217885,3.220058e-05,480.0,0.12008568,0.6645915,23,0.0,2400.0,0.68316525,0.0,0.326303
-33.02328,0.021604566,1.8506877e-05,500.0,0.11753663,0.66349775,24,0.0,2500.0,0.68317944,0.0,0.32638422
-33.851566,0.02143628,8.0054735e-05,520.0,0.11826635,0.662664,25,0.0,2600.0,0.6831966,0.0,0.32646453
-34.62128,0.02127737,0.00012701855,540.0,0.11838639,0.66176647,26,0.0,2700.0,0.68321866,0.0,0.32655582
-35.36084,0.021121046,2.6625165e-05,560.0,0.119410515,0.6607063,27,0.0,2800.0,0.6832263,0.0,0.32659793
-36.056725,0.02097831,3.6964564e-05,580.0,0.11904943,0.65998924,28,0.0,2900.0,0.6832364,0.0,0.32663718
-36.717083,0.020841053,4.4383934e-05,600.0,0.11777381,0.6593271,29,0.0,3000.0,0.6832483,0.0,0.3266843
-37.350704,0.020709094,3.5585008e-06,620.0,0.11765206,0.658606,30,0.0,3100.0,0.6832574,0.0,0.3267433
-37.95587,0.020584783,4.7699064e-06,640.0,0.11871159,0.65809995,31,0.0,3200.0,0.6832625,0.0,0.32679006
-38.547474,0.020468252,4.462173e-05,660.0,0.11848541,0.657525,32,0.0,3300.0,0.6832755,0.0,0.32682973
-39.08959,0.020356731,4.214872e-05,680.0,0.117156945,0.6570261,33,0.0,3400.0,0.6832798,0.0,0.32689163
-39.618008,0.020243406,7.993972e-06,700.0,0.11853329,0.65634114,34,0.0,3500.0,0.6832816,0.0,0.3268607
-40.105373,0.02013995,8.402226e-05,720.0,0.11924247,0.6557933,35,0.0,3600.0,0.68328744,0.0,0.32691
-40.577282,0.020042062,1.2092853e-05,740.0,0.11862602,0.65524083,36,0.0,3700.0,0.68329406,0.0,0.32693848
-41.023067,0.01995085,2.6098705e-06,760.0,0.11798626,0.6546561,37,0.0,3800.0,0.68330187,0.0,0.32693672
-41.437565,0.019862752,6.251022e-05,780.0,0.11736542,0.65418506,38,0.0,3900.0,0.6833086,0.0,0.32698578
-41.851254,0.01977888,4.6264176e-06,800.0,0.11871914,0.6537022,39,0.0,4000.0,0.68331367,0.0,0.32705197
-42.228115,0.019696856,2.4113078e-05,820.0,0.11820721,0.6533711,40,0.0,4100.0,0.6833207,0.0,0.32710573
-42.612385,0.019626144,4.781805e-05,840.0,0.119703114,0.65296197,41,0.0,4200.0,0.6833267,0.0,0.3271392
-42.962994,0.019552175,1.9348252e-05,860.0,0.11764782,0.6527048,42,0.0,4300.0,0.6833308,0.0,0.32716715
-43.331707,0.019483108,5.2119896e-05,880.0,0.11841369,0.6523264,43,0.0,4400.0,0.6833357,0.0,0.32720196
-43.64914,0.01941369,3.167186e-05,900.0,0.118176155,0.65203947,44,0.0,4500.0,0.68333906,0.0,0.32723948
-43.9742,0.019347493,0.0001417662,920.0,0.11847492,0.651687,45,0.0,4600.0,0.6833418,0.0,0.32724875
-44.251144,0.019284416,4.1596923e-05,940.0,0.11767613,0.65141886,46,0.0,4700.0,0.6833446,0.0,0.32729256
-44.545185,0.019223146,0.00010277171,960.0,0.11878371,0.651117,47,0.0,4800.0,0.68334895,0.0,0.32729912
