stats_g/std,epoch,stats_g/mean,test/mean_Q,test/ag_g_dist,test/success_rate,stats_o/mean,train/critic_loss,test/episode,stats_o/std,train/episode,train/success_rate
0.019272791,0,0.67658156,-2.5009446,0.09724449,0.0,0.31488532,0.0069587887,20.0,0.69485027,100.0,0.0
0.018753486,1,0.6770575,-1.6500303,0.027063565,0.14166666666666666,0.31013626,0.010393098,40.0,0.75313115,200.0,0.005
0.018733324,2,0.6772116,-2.291849,0.032105424,0.08333333333333333,0.30713758,0.009595475,60.0,0.77900547,300.0,0.006666666666666667
0.018529506,3,0.6772955,-2.821604,0.041130126,0.16666666666666666,0.30623376,0.012586962,80.0,0.79489726,400.0,0.008333333333333333
0.018697556,4,0.677787,-3.3408425,0.035704527,0.45,0.30680206,0.012049894,100.0,0.8037723,500.0,0.01
0.01843685,5,0.6778267,-3.295888,0.036396485,0.2833333333333334,0.30694923,0.012538363,120.0,0.8061089,600.0,0.013333333333333334
0.018319022,6,0.67791516,-3.5752153,0.036239233,0.2833333333333333,0.30759186,0.011577286,140.0,0.807648,700.0,0.011666666666666665
0.018284947,7,0.67806584,-5.300586,0.048305277,0.15,0.30792248,0.013130841,160.0,0.8068836,800.0,0.028333333333333332
0.01833266,8,0.678237,-4.512933,0.039929967,0.4666666666666666,0.3079648,0.011074644,180.0,0.8086079,900.0,0.02
0.018650454,9,0.6786974,-4.4329643,0.040184762,0.45,0.30830503,0.011582054,200.0,0.8095777,1000.0,0.011666666666666667
0.018872494,10,0.6790591,-4.9150014,0.050423656,0.6000000000000001,0.30842778,0.012135987,220.0,0.8099725,1100.0,0.013333333333333334
0.018942418,11,0.6791465,-5.05603,0.045244496,0.21666666666666667,0.30831987,0.012354772,240.0,0.8107316,1200.0,0.013333333333333334
0.019027183,12,0.67927045,-6.4440646,0.05497883,0.4583333333333333,0.3081965,0.014941834,260.0,0.8112835,1300.0,0.018333333333333333
0.01911308,13,0.67944986,-4.9443364,0.034447283,0.5166666666666667,0.30816457,0.013834213,280.0,0.81221133,1400.0,0.021666666666666667
0.01904485,14,0.67950374,-7.342423,0.04500879,0.44166666666666665,0.30819002,0.01199419,300.0,0.8123414,1500.0,0.008333333333333333
0.018988011,15,0.6795717,-7.036203,0.040824935,0.525,0.30829263,0.015991487,320.0,0.8125138,1600.0,0.02
0.01892712,16,0.6795861,-7.176887,0.04206619,0.4833333333333334,0.30834895,0.0154841915,340.0,0.81263417,1700.0,0.015
0.018875383,17,0.6795893,-8.853669,0.04095597,0.5,0.30845058,0.018127605,360.0,0.8122571,1800.0,0.015
0.018807696,18,0.67959857,-8.3363905,0.04207797,0.5666666666666667,0.30845502,0.013850619,380.0,0.8120807,1900.0,0.015
0.018745963,19,0.67962646,-8.625143,0.038137063,0.5083333333333333,0.30850658,0.015937388,400.0,0.8122602,2000.0,0.015
