train/episode,train/success_rate,stats_g/mean,stats_g/std,train/critic_loss,test/ag_g_dist,test/episode,stats_o/mean,test/mean_Q,stats_o/std,epoch,test/success_rate
100.0,0.0,0.67623335,0.019116754,0.006342637,0.09153948,20.0,0.31484407,-2.534932,0.6944197,0,0.0
200.0,0.0033333333333333335,0.67680955,0.01856662,0.009868578,0.026211059,40.0,0.31110105,-1.6586677,0.75660586,1,0.225
300.0,0.006666666666666667,0.67690057,0.018449226,0.010471918,0.030733446,60.0,0.31,-2.155667,0.7877326,2,0.09166666666666667
400.0,0.008333333333333333,0.67730826,0.018401626,0.00982054,0.03853232,80.0,0.31025368,-2.7395241,0.8018939,3,0.16666666666666666
500.0,0.008333333333333333,0.67747045,0.018337404,0.009784523,0.04329671,100.0,0.31004795,-3.3889492,0.8065439,4,0.24166666666666667
600.0,0.018333333333333337,0.6776171,0.01832629,0.011688662,0.03799893,120.0,0.3095613,-3.4310837,0.8079657,5,0.1416666666666667
700.0,0.005,0.6776388,0.018354872,0.014008119,0.043458004,140.0,0.3093672,-3.7748604,0.8091807,6,0.16666666666666666
800.0,0.02,0.67778987,0.018523263,0.01270284,0.055392224,160.0,0.30961606,-5.2828145,0.80928683,7,0.3
900.0,0.013333333333333334,0.67795056,0.018544406,0.012171875,0.04232816,180.0,0.30983403,-4.6230807,0.8093832,8,0.125
1000.0,0.015,0.6780953,0.018581254,0.012871311,0.039330136,200.0,0.31001607,-4.6203246,0.8088253,9,0.325
1100.0,0.015,0.6783201,0.018611824,0.01399376,0.04709053,220.0,0.31019107,-5.3819013,0.8085374,10,0.15833333333333335
1200.0,0.008333333333333333,0.6783598,0.018558113,0.014742653,0.032686885,240.0,0.31007335,-4.9507494,0.80893874,11,0.16666666666666666
1300.0,0.008333333333333333,0.67841905,0.018508237,0.015698822,0.038489584,260.0,0.30972072,-6.679302,0.8108206,12,0.21666666666666665
1400.0,0.008333333333333333,0.6784585,0.018459765,0.012603861,0.048766542,280.0,0.30954927,-5.5698943,0.81135935,13,0.10833333333333334
1500.0,0.013333333333333334,0.6785469,0.018440181,0.016038256,0.04671524,300.0,0.30956802,-7.4932885,0.811311,14,0.31666666666666665
1600.0,0.005,0.67864984,0.018448314,0.015057047,0.048937965,320.0,0.30955833,-7.7198787,0.8115631,15,0.09999999999999999
1700.0,0.005,0.678775,0.01851419,0.021662002,0.042398244,340.0,0.30969176,-7.658684,0.812089,16,0.20000000000000004
1800.0,0.011666666666666667,0.67893505,0.018543871,0.017040005,0.04403441,360.0,0.30993235,-9.107875,0.81168634,17,0.29166666666666663
1900.0,0.01,0.6790475,0.018519398,0.012296293,0.04318363,380.0,0.31009454,-8.85356,0.81160337,18,0.3083333333333333
2000.0,0.018333333333333337,0.6791528,0.018522281,0.012921889,0.04004114,400.0,0.31029612,-9.196504,0.81192404,19,0.3833333333333333
2100.0,0.013333333333333334,0.6792154,0.018521482,0.02122131,0.04601738,420.0,0.31025404,-10.859726,0.8121581,20,0.19166666666666665
2200.0,0.01,0.6792628,0.018495834,0.014277938,0.042792957,440.0,0.31014863,-10.05199,0.81271905,21,0.14166666666666666
2300.0,0.006666666666666667,0.6792497,0.018458046,0.011908829,0.0358934,460.0,0.31000033,-9.380009,0.8131549,22,0.2833333333333334
2400.0,0.005,0.67925805,0.018430132,0.023297274,0.05261606,480.0,0.30980355,-11.984558,0.8138345,23,0.1416666666666667
2500.0,0.01,0.679271,0.01841359,0.015320783,0.032447834,500.0,0.30962437,-8.9517565,0.81446075,24,0.425
2600.0,0.016666666666666666,0.6792543,0.01838549,0.01553155,0.044779867,520.0,0.30949256,-10.725506,0.81459594,25,0.2916666666666667
2700.0,0.006666666666666667,0.67926097,0.0183701,0.018164614,0.045858968,540.0,0.30944332,-11.109172,0.81421775,26,0.19999999999999998
2800.0,0.008333333333333333,0.6792677,0.018348506,0.017068412,0.058427393,560.0,0.30928546,-13.639157,0.8135652,27,0.09999999999999999
2900.0,0.0016666666666666668,0.67928535,0.018333538,0.018243672,0.05336373,580.0,0.30925012,-13.109268,0.8131525,28,0.09166666666666667
3000.0,0.005,0.6793316,0.018327264,0.042328347,0.046040934,600.0,0.3092526,-12.484233,0.8126878,29,0.08333333333333333
3100.0,0.006666666666666667,0.67934877,0.018315323,0.014326516,0.04454662,620.0,0.30927074,-11.752434,0.8125105,30,0.2583333333333333
3200.0,0.005,0.6793482,0.018306093,0.014891858,0.050458148,640.0,0.30938417,-13.206878,0.8124144,31,0.17500000000000002
3300.0,0.008333333333333333,0.67933816,0.018296564,0.0172908,0.065630086,660.0,0.3094913,-14.102112,0.81174344,32,0.06666666666666667
3400.0,0.006666666666666667,0.679323,0.018283378,0.018450381,0.05520083,680.0,0.30959457,-13.101041,0.8112679,33,0.225
3500.0,0.0016666666666666668,0.679328,0.018299421,0.017502116,0.053530555,700.0,0.30955935,-14.957249,0.8108592,34,0.09999999999999999
3600.0,0.005,0.67935437,0.018314447,0.019842943,0.059414074,720.0,0.30966443,-17.97599,0.8104005,35,0.125
3700.0,0.008333333333333333,0.6793671,0.018305492,0.0209174,0.062214863,740.0,0.30974844,-18.811592,0.8099632,36,0.0
3800.0,0.005,0.679385,0.018296767,0.01839201,0.05396465,760.0,0.3098092,-16.580667,0.809376,37,0.16666666666666666
3900.0,0.006666666666666667,0.67940027,0.018285459,0.022230512,0.056461662,780.0,0.3099304,-16.02477,0.80888885,38,0.1416666666666667
4000.0,0.0033333333333333335,0.67942506,0.018304646,0.077119775,0.071609,800.0,0.31000093,-18.385193,0.8087478,39,0.125
4100.0,0.005,0.6794539,0.018321382,0.01509094,0.05793829,820.0,0.31010005,-15.72092,0.80848354,40,0.10000000000000002
4200.0,0.005,0.67948055,0.01832267,0.016335642,0.07411551,840.0,0.31014636,-21.859335,0.8079482,41,0.025000000000000005
4300.0,0.006666666666666667,0.6794997,0.018314626,0.013748943,0.06716464,860.0,0.3102225,-18.189203,0.8072637,42,0.11666666666666665
4400.0,0.0016666666666666668,0.67950743,0.018304126,0.017378239,0.06056502,880.0,0.31023258,-18.550056,0.8070175,43,0.09999999999999999
4500.0,0.0,0.6795216,0.018293995,0.01986537,0.061126847,900.0,0.31023133,-17.982512,0.8067238,44,0.10000000000000002
4600.0,0.006666666666666667,0.679533,0.018295817,0.024532786,0.0666906,920.0,0.31016603,-18.813915,0.80658334,45,0.025000000000000005
4700.0,0.005,0.67954427,0.018289553,0.019760765,0.05488434,940.0,0.31015512,-18.056755,0.8067934,46,0.3083333333333333
4800.0,0.0016666666666666668,0.6795457,0.018291166,0.03523247,0.060947046,960.0,0.310122,-19.660364,0.8071467,47,0.008333333333333333
4900.0,0.005,0.67954665,0.01830141,0.022061205,0.065927945,980.0,0.31002098,-20.31473,0.8072203,48,0.05833333333333333
5000.0,0.0016666666666666668,0.6795428,0.018306406,0.025812453,0.07505025,1000.0,0.30999544,-20.277044,0.80714375,49,0.125
5100.0,0.005,0.6795273,0.018323837,0.11244897,0.0801615,1020.0,0.30995563,-21.041243,0.80674964,50,0.17500000000000002
5200.0,0.005,0.6795256,0.018318454,0.024676278,0.08092021,1040.0,0.30995637,-24.159836,0.8064763,51,0.13333333333333333
5300.0,0.005,0.67953557,0.018313218,0.018670961,0.05893532,1060.0,0.31006727,-21.772345,0.80637246,52,0.16666666666666666
5400.0,0.005,0.6795313,0.018298984,0.019232491,0.057392996,1080.0,0.31016484,-22.058313,0.8063061,53,0.049999999999999996
5500.0,0.005,0.67952377,0.018294046,0.027967835,0.05882154,1100.0,0.31015927,-22.733255,0.8063629,54,0.19166666666666665
5600.0,0.0033333333333333335,0.6795189,0.018284662,0.016435003,0.05750838,1120.0,0.3101886,-20.092514,0.80615735,55,0.225
5700.0,0.008333333333333333,0.6795344,0.018303998,0.016857298,0.08335518,1140.0,0.31029317,-19.874563,0.80608183,56,0.16666666666666666
5800.0,0.0033333333333333335,0.6795972,0.018365562,0.01715696,0.077591956,1160.0,0.31038842,-19.450346,0.80564,57,0.16666666666666666
5900.0,0.0016666666666666668,0.6796181,0.018412916,0.0233924,0.07071147,1180.0,0.3104145,-19.886038,0.8055908,58,0.025000000000000005
6000.0,0.0016666666666666668,0.6796646,0.018455843,0.025774315,0.05830132,1200.0,0.31057605,-18.858046,0.805224,59,0.008333333333333333
