test/mean_Q,stats_g/std,test/ag_g_dist,train/reward_compute_count,stats_o/mean,stats_g/mean,test/success_rate,train/critic_loss,epoch,train/episode,stats_o/std,test/reward_compute_count,test/episode,train/success_rate
-3.0662644,0.12232295,0.47875157,5000.0,0.17698745,0.74100256,0.0,0.093224384,0,100.0,0.056274433,1000.0,20.0,0.0016666666666666668
-5.10255,0.12127928,0.44892016,10000.0,0.1764183,0.7418118,0.0,0.09115395,1,200.0,0.05643187,2000.0,40.0,0.0016666666666666668
-7.038934,0.122252874,0.42933807,15000.0,0.1768681,0.74317795,0.0,0.08354255,2,300.0,0.05551653,3000.0,60.0,0.0016666666666666668
-9.086885,0.12613489,0.4723997,20000.0,0.17718887,0.74441767,0.0,0.09237201,3,400.0,0.056551,4000.0,80.0,0.0016666666666666668
-10.747589,0.13276963,0.45664537,25000.0,0.1780262,0.7467167,0.016666666666666666,0.093089305,4,500.0,0.05835854,5000.0,100.0,0.005
-12.328175,0.13852535,0.4727839,30000.0,0.17810303,0.7473502,0.0,0.09297516,5,600.0,0.061159104,6000.0,120.0,0.008333333333333333
-13.681447,0.14910804,0.4675175,35000.0,0.17834747,0.7493774,0.008333333333333333,0.1012943,6,700.0,0.06591201,7000.0,140.0,0.008333333333333333
-13.697751,0.15750533,0.42730513,40000.0,0.17870922,0.75184417,0.0,0.10922829,7,800.0,0.07019386,8000.0,160.0,0.011666666666666667
-14.570807,0.16947436,0.4284877,45000.0,0.17952012,0.754854,0.041666666666666664,0.13399228,8,900.0,0.07612987,9000.0,180.0,0.008333333333333333
-15.26134,0.17854984,0.42603993,50000.0,0.18017797,0.75709313,0.008333333333333333,0.23941855,9,1000.0,0.08202425,10000.0,200.0,0.021666666666666667
-15.276767,0.18546474,0.41260204,55000.0,0.1808304,0.7612326,0.03333333333333333,0.2552195,10,1100.0,0.086802445,11000.0,220.0,0.02666666666666667
-15.880887,0.18913616,0.40903807,60000.0,0.18183142,0.7664113,0.008333333333333333,0.36033264,11,1200.0,0.08887413,12000.0,240.0,0.03166666666666667
-15.590248,0.19211598,0.36690092,65000.0,0.18281977,0.7707637,0.016666666666666666,0.33477053,12,1300.0,0.090745665,13000.0,260.0,0.03333333333333333
-15.941098,0.19425577,0.34521818,70000.0,0.18362407,0.77432793,0.049999999999999996,0.44078287,13,1400.0,0.09230996,14000.0,280.0,0.04666666666666667
-18.637043,0.19626115,0.38897324,75000.0,0.18421166,0.777229,0.008333333333333333,0.41074634,14,1500.0,0.09329597,15000.0,300.0,0.045000000000000005
-18.614382,0.19761501,0.35424876,80000.0,0.18476541,0.779826,0.03333333333333333,0.7650075,15,1600.0,0.09386304,16000.0,320.0,0.04833333333333334
-19.822824,0.19953774,0.34225118,85000.0,0.18528497,0.7821362,0.05000000000000001,0.5592401,16,1700.0,0.09480968,17000.0,340.0,0.065
