train/success_rate,test/success_rate,stats_o/std,stats_g/mean,epoch,test/episode,stats_g/std,train/critic_loss,train/episode,stats_o/mean,test/mean_Q
0.05,0.1,0.040447257,0.83680916,0,20.0,0.071048155,0.037430502,100.0,0.2009939,-1.8025522
0.11,0.0,0.040426712,0.83721656,1,40.0,0.07273801,0.028152462,200.0,0.20101137,-3.7907975
0.05,0.1,0.044543076,0.8371468,2,60.0,0.075206205,0.015604025,300.0,0.20083898,-4.9380736
0.08,0.05,0.045231763,0.83898634,3,80.0,0.074659765,0.021737061,400.0,0.20147659,-6.7591643
0.09,0.0,0.047878876,0.84048694,4,100.0,0.074858315,0.022976246,500.0,0.20185001,-8.883563
0.04,0.1,0.049387943,0.8403692,5,120.0,0.07594711,0.13296735,600.0,0.20195094,-9.439166
0.04,0.2,0.04960287,0.83971125,6,140.0,0.07519854,0.033226438,700.0,0.20182031,-9.159238
0.1,0.1,0.04929113,0.8394219,7,160.0,0.07453168,0.068807766,800.0,0.20176436,-11.185243
0.06,0.05,0.050083555,0.8392928,8,180.0,0.074243985,0.08303148,900.0,0.20169477,-13.488054
0.1,0.05,0.049807716,0.83879334,9,200.0,0.07399798,0.06537263,1000.0,0.201567,-14.156545
