test/ag_g_dist,train/success_rate,train/critic_loss,stats_g/std,test/mean_Q,stats_o/std,stats_o/mean,train/episode,epoch,test/success_rate,stats_g/mean,test/episode
0.1747395,0.05333333333333334,0.0024122947,0.07135348,-2.3997605,0.047184452,0.2008218,100.0,0,0.10000000000000002,0.8376796,20.0
0.18306194,0.07833333333333332,0.0031294755,0.07143891,-4.6119847,0.047212914,0.2008998,200.0,1,0.016666666666666666,0.83748585,40.0
0.16666563,0.06333333333333334,0.005532954,0.07044963,-6.384975,0.04645896,0.20096838,300.0,2,0.041666666666666664,0.83750504,60.0
0.17613333,0.065,0.021215377,0.07072179,-8.164036,0.047437344,0.20116772,400.0,3,0.075,0.83809495,80.0
0.17867826,0.07666666666666666,0.0071381764,0.07268664,-10.122336,0.049928207,0.20138162,500.0,4,0.05833333333333333,0.83879036,100.0
0.16218369,0.07833333333333334,0.013223036,0.073702395,-11.249344,0.050658476,0.20135246,600.0,5,0.09999999999999999,0.8387654,120.0
0.16233952,0.07333333333333333,0.026931087,0.07370345,-12.228577,0.05231284,0.20118272,700.0,6,0.13333333333333333,0.8386321,140.0
0.1750621,0.09833333333333334,0.023505906,0.07398876,-13.116318,0.052918147,0.20121704,800.0,7,0.14166666666666666,0.83889395,160.0
0.16087572,0.12000000000000001,0.036961958,0.07475964,-13.879636,0.05446657,0.20124252,900.0,8,0.19999999999999998,0.83882517,180.0
0.1739403,0.155,0.055115104,0.07522883,-15.276635,0.055897504,0.2012316,1000.0,9,0.19166666666666665,0.8386774,200.0
0.1660363,0.22999999999999998,0.09061625,0.076599136,-13.992963,0.059090476,0.20111334,1100.0,10,0.2916666666666667,0.8381917,220.0
0.116307825,0.3516666666666666,0.04719008,0.07708299,-9.836892,0.06340085,0.20114271,1200.0,11,0.47500000000000003,0.8379986,240.0
0.10983106,0.45166666666666666,0.15577035,0.07677456,-8.176321,0.06818556,0.20117874,1300.0,12,0.6166666666666667,0.83807063,260.0
0.10404537,0.53,0.20268135,0.07666354,-6.5131555,0.07224577,0.20105712,1400.0,13,0.5916666666666667,0.8378928,280.0
0.086559534,0.6,0.1477079,0.07715114,-4.6927752,0.077036306,0.20087357,1500.0,14,0.6666666666666666,0.837698,300.0
0.064939775,0.7183333333333333,0.15498969,0.077041395,-2.0752065,0.080790825,0.20102112,1600.0,15,0.8916666666666666,0.83773166,320.0
0.059302375,0.8300000000000001,0.11862595,0.07653195,-1.4812301,0.08295181,0.20107241,1700.0,16,0.9499999999999998,0.83778614,340.0
0.05827642,0.8433333333333334,0.10445299,0.07625737,-1.421333,0.085202076,0.20126303,1800.0,17,0.9916666666666667,0.8379616,360.0
0.060081437,0.9216666666666665,0.12919153,0.07580297,-1.4427487,0.08726749,0.20141442,1900.0,18,0.9666666666666667,0.8380034,380.0
0.05774647,0.9083333333333333,0.07435319,0.07549933,-1.4470315,0.08890908,0.20154722,2000.0,19,0.9583333333333334,0.8380006,400.0
0.05507156,0.9016666666666667,0.081164464,0.075319596,-1.2527266,0.090606965,0.20169307,2100.0,20,1.0,0.83796364,420.0
0.05427633,0.9133333333333334,0.10806686,0.07537282,-1.2204605,0.09220616,0.20185852,2200.0,21,0.9833333333333334,0.8380372,440.0
0.05851923,0.9250000000000002,0.07284319,0.07504147,-1.4678503,0.09323555,0.20198935,2300.0,22,0.9916666666666667,0.8379758,460.0
0.060331047,0.9433333333333334,0.15454994,0.074637175,-1.4909936,0.094275005,0.20215559,2400.0,23,0.9666666666666667,0.83807236,480.0
0.05518574,0.9383333333333334,0.050476503,0.07446644,-1.1677126,0.09524697,0.20231651,2500.0,24,1.0,0.83812624,500.0
0.054506134,0.915,0.06677777,0.07413707,-1.1272359,0.096222155,0.20234811,2600.0,25,1.0,0.8381414,520.0
0.055561736,0.9433333333333334,0.08897976,0.07385252,-1.2113448,0.0969237,0.20235892,2700.0,26,0.9833333333333334,0.83808535,540.0
0.050353687,0.9500000000000001,0.085102506,0.07364775,-1.0136331,0.09755627,0.20236826,2800.0,27,0.9916666666666667,0.8381648,560.0
0.0545504,0.93,0.11437448,0.07340032,-1.0800048,0.09804269,0.20248096,2900.0,28,1.0,0.83813334,580.0
0.05412094,0.9433333333333334,0.11252415,0.07326094,-1.1565534,0.09867638,0.20253094,3000.0,29,0.9916666666666667,0.8380923,600.0
