test/episode,train/critic_loss,test/success_rate,stats_g/mean,test/mean_Q,train/episode,stats_g/std,epoch,stats_o/std,stats_o/mean,train/success_rate,test/ag_g_dist
20.0,0.08412689,0.10000000000000002,0.8370488,-2.494395,100.0,0.07494106,0,0.05019665,0.20113437,0.05333333333333334,0.17662734
40.0,0.08210406,0.025000000000000005,0.8370151,-4.695957,200.0,0.07343969,1,0.050493013,0.20110185,0.08,0.18438415
60.0,0.0755899,0.041666666666666664,0.8371828,-6.375358,300.0,0.07266638,2,0.048003465,0.20107949,0.07,0.16621923
80.0,0.08493507,0.075,0.8379651,-8.105971,400.0,0.071966685,3,0.047934856,0.20128985,0.06666666666666667,0.17918938
100.0,0.084602974,0.06666666666666667,0.8387444,-10.023386,500.0,0.07295124,4,0.048640322,0.201503,0.07666666666666667,0.17952307
120.0,0.09063453,0.08333333333333333,0.83871317,-11.18465,600.0,0.07426607,5,0.050112277,0.20153205,0.06166666666666667,0.16374646
140.0,0.08532977,0.125,0.83860046,-12.302012,700.0,0.074855976,6,0.051957864,0.20154025,0.06833333333333334,0.1638484
160.0,0.08440574,0.19166666666666665,0.83895105,-12.818073,800.0,0.07474645,7,0.052209754,0.20163691,0.09166666666666667,0.1685822
180.0,0.0895833,0.09166666666666667,0.83898336,-15.319173,900.0,0.07460862,8,0.05276893,0.20163925,0.09999999999999999,0.16683526
200.0,0.10442975,0.15833333333333335,0.8388874,-15.918243,1000.0,0.074796654,9,0.054396857,0.20152885,0.13833333333333334,0.17777449
220.0,0.10667384,0.20833333333333334,0.8388966,-15.699078,1100.0,0.074885756,10,0.05630284,0.20144774,0.20000000000000004,0.16458
240.0,0.100391686,0.2916666666666667,0.83917046,-13.345352,1200.0,0.07478855,11,0.057942662,0.20142317,0.20166666666666666,0.13966177
260.0,0.10997003,0.5,0.8395793,-10.4395,1300.0,0.07487098,12,0.05961174,0.2015426,0.3383333333333334,0.12546095
280.0,0.11977891,0.5083333333333333,0.8396711,-9.514019,1400.0,0.07495641,13,0.06286859,0.20157881,0.4883333333333333,0.13362451
300.0,0.12921296,0.8083333333333332,0.8397083,-3.8820095,1500.0,0.07546709,14,0.066548444,0.20148878,0.6766666666666667,0.077514134
320.0,0.14371394,0.8000000000000002,0.8396364,-3.2325504,1600.0,0.07577831,15,0.07065913,0.2013612,0.73,0.07821101
340.0,0.1464162,0.7833333333333333,0.8395815,-3.2954628,1700.0,0.07580573,16,0.07447156,0.20130342,0.7949999999999999,0.07376701
360.0,0.13406818,0.9249999999999999,0.8396625,-2.3636215,1800.0,0.075986706,17,0.07790749,0.20126398,0.805,0.06964749
380.0,0.13829033,0.9500000000000001,0.8396311,-1.9175545,1900.0,0.07568262,18,0.08028713,0.20127396,0.8816666666666667,0.064850144
400.0,0.117761075,0.9666666666666667,0.83959335,-1.4915881,2000.0,0.07524342,19,0.08224099,0.20124225,0.9033333333333333,0.06029272
420.0,0.122234486,0.9499999999999998,0.83946586,-1.6472912,2100.0,0.07499734,20,0.084502555,0.20110016,0.9033333333333333,0.061304893
440.0,0.11738052,0.9916666666666667,0.8394163,-1.4701272,2200.0,0.074739076,21,0.08639089,0.20120363,0.9349999999999999,0.061098993
460.0,0.11818134,0.975,0.83928615,-1.429834,2300.0,0.07442512,22,0.087999016,0.2013665,0.9533333333333333,0.060542155
480.0,0.12922698,1.0,0.839284,-1.308864,2400.0,0.074135385,23,0.08949563,0.20143098,0.9433333333333334,0.059704095
500.0,0.113003604,0.9916666666666667,0.8392763,-1.2886635,2500.0,0.07388774,24,0.090474136,0.20140906,0.9400000000000001,0.057003576
520.0,0.1328661,0.9916666666666667,0.839217,-1.2754081,2600.0,0.07363139,25,0.09158357,0.20137332,0.96,0.056067605
540.0,0.11453402,1.0,0.839114,-1.2468077,2700.0,0.07347632,26,0.092347085,0.20137335,0.9516666666666667,0.055943158
560.0,0.09934936,1.0,0.8391455,-1.1087648,2800.0,0.07338841,27,0.09320726,0.20141934,0.9383333333333334,0.0536184
580.0,0.10949648,1.0,0.83908874,-1.1308391,2900.0,0.07318411,28,0.09393617,0.20142357,0.9616666666666666,0.05570071
600.0,0.11823913,0.9833333333333334,0.83899933,-1.2312769,3000.0,0.07311057,29,0.09462417,0.2014428,0.965,0.057737213
