test/mean_Q,train/episode,test/episode,stats_g/mean,train/critic_loss,test/success_rate,stats_o/std,stats_o/mean,train/success_rate,stats_g/std,epoch,test/ag_g_dist
-2.8396454,100.0,20.0,0.8371,0.0006390591,0.10000000000000002,0.044945646,0.20091765,0.05000000000000001,0.07087117,0,0.17464118
-4.9217067,200.0,40.0,0.8370431,0.00063474814,0.016666666666666666,0.045128006,0.20110561,0.08166666666666667,0.07109776,1,0.181446
-6.973774,300.0,60.0,0.8372653,0.0004688562,0.041666666666666664,0.042820603,0.20108397,0.06166666666666667,0.07001623,2,0.16599339
-8.976372,400.0,80.0,0.83796334,0.00036527484,0.06666666666666667,0.041297246,0.20126934,0.065,0.06998095,3,0.1755353
-10.863525,500.0,100.0,0.83881503,0.0007629159,0.049999999999999996,0.040558096,0.20149024,0.07333333333333333,0.06996269,4,0.17782891
-12.753287,600.0,120.0,0.83891636,0.00058929756,0.075,0.04029914,0.20150505,0.06333333333333334,0.06994285,5,0.16249378
-14.514726,700.0,140.0,0.83884734,0.0011849761,0.09166666666666667,0.040314265,0.20145798,0.06,0.06981523,6,0.16365816
-16.176908,800.0,160.0,0.83917886,0.00065581617,0.09166666666666667,0.03985275,0.20154876,0.07333333333333335,0.06978295,7,0.17068791
-17.811283,900.0,180.0,0.8391846,0.00043359617,0.075,0.039587483,0.20152836,0.05499999999999999,0.06979529,8,0.16722286
-19.324022,1000.0,200.0,0.8390465,0.0010412022,0.08333333333333333,0.039570224,0.20145531,0.06833333333333334,0.06978772,9,0.18175173
-20.772402,1100.0,220.0,0.8387232,0.0009862386,0.08333333333333333,0.039560117,0.20138091,0.08333333333333333,0.069752716,10,0.16932867
-22.202047,1200.0,240.0,0.8386576,0.0009846519,0.10000000000000002,0.039513417,0.20136465,0.07166666666666667,0.06974452,11,0.15560913
-23.530584,1300.0,260.0,0.83878106,0.0009765515,0.06666666666666667,0.039420113,0.20140819,0.065,0.06967167,12,0.15986742
-24.815939,1400.0,280.0,0.83866596,0.0012758315,0.03333333333333333,0.03937384,0.20140316,0.07333333333333333,0.0696099,13,0.17973137
-25.99527,1500.0,300.0,0.838577,0.0005444988,0.041666666666666664,0.03929229,0.20137565,0.06333333333333334,0.069622286,14,0.16694479
-27.157019,1600.0,320.0,0.8384676,0.0006211205,0.09166666666666667,0.039115474,0.2013203,0.08,0.069600396,15,0.17704745
-28.255745,1700.0,340.0,0.8384555,0.0016104672,0.05833333333333333,0.039060764,0.20129912,0.04833333333333334,0.06957578,16,0.1673503
-29.32784,1800.0,360.0,0.8385601,0.00079308526,0.041666666666666664,0.03905587,0.20131548,0.08,0.069587365,17,0.17520517
-30.294714,1900.0,380.0,0.8384816,0.00080659235,0.05833333333333334,0.039010853,0.20128761,0.08666666666666667,0.06957463,18,0.17506342
-31.237173,2000.0,400.0,0.8384176,0.002458941,0.08333333333333333,0.038904447,0.20126785,0.07666666666666667,0.069556795,19,0.16660887
-32.176292,2100.0,420.0,0.83845013,0.002558654,0.06666666666666667,0.038854398,0.20127673,0.061666666666666675,0.06957899,20,0.17052336
-32.998444,2200.0,440.0,0.8384196,0.0008193835,0.08333333333333333,0.038670313,0.2012661,0.06666666666666667,0.06958691,21,0.16844481
-33.836304,2300.0,460.0,0.83821875,0.0006960808,0.05833333333333334,0.03882482,0.20121385,0.06333333333333334,0.06960503,22,0.17727761
-34.63421,2400.0,480.0,0.8381161,0.0011051077,0.06666666666666667,0.038893685,0.20118415,0.06166666666666667,0.06960445,23,0.1804351
-35.346317,2500.0,500.0,0.838253,0.001924599,0.09999999999999999,0.03898639,0.2012346,0.06333333333333334,0.069607235,24,0.17021318
-36.062122,2600.0,520.0,0.83830243,0.0018008881,0.05000000000000001,0.038859855,0.20125063,0.06,0.06958879,25,0.17449975
-36.71677,2700.0,540.0,0.8382396,0.0022397835,0.075,0.038897,0.20122747,0.08833333333333333,0.069592975,26,0.17029743
-37.385754,2800.0,560.0,0.83813876,0.0011041431,0.11666666666666665,0.038900815,0.20119041,0.06833333333333333,0.069590196,27,0.15678422
-38.009964,2900.0,580.0,0.8381358,0.0017301111,0.041666666666666664,0.038912106,0.20118774,0.05333333333333334,0.069578685,28,0.18131836
-38.582836,3000.0,600.0,0.83809537,0.001129422,0.041666666666666664,0.03882397,0.20118101,0.075,0.06959234,29,0.18085118
