test/ag_g_dist,test/mean_Q,test/episode,train/episode,stats_g/std,epoch,stats_o/mean,test/success_rate,train/success_rate,train/critic_loss,stats_o/std,stats_g/mean
0.10262481,-0.69889355,20.0,20.0,0.10310584,0,0.26180968,0.6083333333333333,0.3416666666666666,0.02627837,0.033124294,0.87105924
0.052695125,-0.47665358,40.0,40.0,0.0929352,1,0.2621549,0.975,0.6749999999999999,0.013067494,0.030522048,0.8728235
0.044097368,-0.3409692,60.0,60.0,0.08945296,2,0.26216254,1.0,0.85,0.015822174,0.029799929,0.8730368
0.04796337,-0.3184744,80.0,80.0,0.0882188,3,0.26265836,1.0,0.8166666666666668,0.012593313,0.029653454,0.8754852
0.055356488,-0.28655285,100.0,100.0,0.08729091,4,0.26266706,0.9583333333333334,0.7583333333333333,0.01254734,0.02964642,0.87538785
0.046281278,-0.12873505,120.0,120.0,0.08720214,5,0.26247126,1.0,0.7666666666666666,0.0143829575,0.02984626,0.8745504
0.04865751,-0.11217221,140.0,140.0,0.08661277,6,0.26225966,0.9916666666666667,0.7916666666666666,0.012330554,0.02990236,0.8737583
0.04534648,-0.0692225,160.0,160.0,0.08603925,7,0.26234847,1.0,0.7833333333333333,0.012313593,0.029895281,0.87408876
0.045854013,-0.0880968,180.0,180.0,0.08589611,8,0.26229575,1.0,0.7583333333333334,0.011882145,0.029986119,0.87387663
0.04674947,-0.070015006,200.0,200.0,0.08573234,9,0.2623811,1.0,0.7083333333333334,0.011737435,0.0300455,0.87410754
