test/mean_Q,test/success_rate,stats_g/mean,stats_o/std,train/critic_loss,train/episode,test/episode,train/success_rate,stats_o/mean,stats_g/std,test/ag_g_dist,epoch
-0.9451863,0.7000000000000001,0.8627773,0.031660628,0.15323146,20.0,20.0,0.16666666666666666,0.25912446,0.09822012,0.110571705,0
-0.6527985,0.9583333333333334,0.86938256,0.029928222,0.13100004,40.0,40.0,0.5916666666666667,0.26111892,0.09171677,0.052978914,1
-0.45776615,0.9916666666666667,0.8721881,0.02948308,0.10920248,60.0,60.0,0.85,0.26198608,0.08854703,0.047739614,2
-0.3701372,1.0,0.8755023,0.029369289,0.10268251,80.0,80.0,0.8250000000000001,0.26284093,0.08717387,0.042669777,3
-0.314603,1.0,0.87595516,0.029298538,0.09929937,100.0,100.0,0.8083333333333332,0.26300627,0.08587458,0.038613368,4
-0.30385765,1.0,0.87518936,0.029474968,0.099564254,120.0,120.0,0.7999999999999999,0.2628008,0.08564805,0.03993849,5
-0.23403895,1.0,0.8747051,0.029587423,0.09375394,140.0,140.0,0.8416666666666667,0.26267415,0.08522541,0.037442792,6
-0.21851152,1.0,0.87474555,0.02968731,0.097978026,160.0,160.0,0.7833333333333333,0.26266378,0.08497823,0.03966597,7
-0.18150742,1.0,0.874513,0.029914862,0.09566409,180.0,180.0,0.8250000000000001,0.26259488,0.085244335,0.039946638,8
-0.15927915,1.0,0.87473416,0.030094454,0.10063473,200.0,200.0,0.775,0.26267123,0.08546537,0.03988028,9
