test/episode,test/ag_g_dist,train/critic_loss,epoch,train/episode,stats_g/std,train/success_rate,test/mean_Q,stats_o/mean,test/success_rate,stats_o/std,stats_g/mean
20.0,0.13448161,0.0060454006,0,20.0,0.096737795,0.025000000000000005,-1.2807113,0.2636631,0.21666666666666667,0.030278528,0.89757425
40.0,0.113341905,0.0022940726,1,40.0,0.089045785,0.13333333333333333,-1.571041,0.2644922,0.35000000000000003,0.028056249,0.9009461
60.0,0.07508006,0.0033588763,2,60.0,0.08471193,0.2833333333333333,-1.7150961,0.2641539,0.75,0.026863834,0.8998322
80.0,0.065885834,0.0060024173,3,80.0,0.08248353,0.525,-1.7686085,0.26433194,0.8166666666666668,0.02624985,0.9009702
100.0,0.034834765,0.0057040784,4,100.0,0.08143886,0.7166666666666668,-1.5024428,0.2643274,0.9916666666666667,0.026082242,0.9010453
120.0,0.03703023,0.005261708,5,120.0,0.08187147,0.85,-1.5924125,0.26402813,0.975,0.026472747,0.8997841
140.0,0.0256736,0.006511251,6,140.0,0.08189293,0.8416666666666667,-1.4992205,0.26395744,0.9666666666666667,0.026821742,0.89933825
160.0,0.015858151,0.008575469,7,160.0,0.08202694,0.8333333333333334,-1.3607696,0.26406127,1.0,0.027163962,0.89953256
180.0,0.01994559,0.0066462606,8,180.0,0.08244225,0.9333333333333332,-1.5046962,0.26399782,0.9666666666666668,0.02760463,0.89915943
200.0,0.011053532,0.006199125,9,200.0,0.08275798,0.9499999999999998,-1.3701591,0.26390535,1.0,0.02799579,0.8989261
