epoch,test/episode,train/success_rate,test/mean_Q,train/episode,stats_o/std,train/critic_loss,stats_o/mean,stats_g/std,stats_g/mean,test/success_rate
0,20.0,0.0,4.524035,20.0,0.05779807,26.854956,0.2691971,0.090427674,0.87133026,0.0
1,40.0,0.0,7.1290927,40.0,0.06299635,64.54531,0.26780173,0.08752161,0.87353945,0.0
2,60.0,0.0,9.860059,60.0,0.06725389,106.810875,0.26612136,0.08710441,0.8739397,0.0
3,80.0,0.0,13.016864,80.0,0.07093403,175.18762,0.2613676,0.08695665,0.8761379,0.0
4,100.0,0.0,15.583024,100.0,0.07283866,302.61655,0.2572518,0.08638356,0.875899,0.0
5,120.0,0.0,16.89269,120.0,0.07445233,386.70227,0.2539811,0.08652993,0.8745694,0.0
6,140.0,0.0,18.91487,140.0,0.075790055,477.34644,0.25151402,0.08616692,0.87391824,0.0
7,160.0,0.0,20.374659,160.0,0.07676797,592.5092,0.24985366,0.08573566,0.87388176,0.0
8,180.0,0.0,24.06188,180.0,0.0774362,763.06866,0.24884696,0.08576744,0.87376016,0.0
9,200.0,0.0,22.40503,200.0,0.07757658,849.7697,0.24792266,0.08565978,0.8740477,0.0
10,220.0,0.0,24.197607,220.0,0.07786782,1034.7936,0.24674444,0.085748166,0.8737862,0.0
11,240.0,0.0,27.964025,240.0,0.0780147,1107.49,0.24579485,0.08577311,0.8732264,0.0
12,260.0,0.0,28.778946,260.0,0.07800532,1244.3252,0.24494898,0.08570367,0.8733921,0.0
13,280.0,0.0,32.093033,280.0,0.07805006,1406.0133,0.24389224,0.08569095,0.8741495,0.0
14,300.0,0.0,28.36852,300.0,0.07834428,1422.5592,0.24368532,0.08548053,0.874036,0.0
15,320.0,0.0,34.88361,320.0,0.078409135,1635.7758,0.24365954,0.08556687,0.8743679,0.0
16,340.0,0.0,34.118942,340.0,0.07865442,1767.7943,0.2439944,0.085615896,0.8741698,0.0
17,360.0,0.0,36.371643,360.0,0.07902947,1766.8296,0.24364662,0.085674524,0.8742898,0.0
18,380.0,0.0,33.835224,380.0,0.07914249,1872.1254,0.24407832,0.085707135,0.8739028,0.0
19,400.0,0.0,37.548412,400.0,0.07951634,2157.9302,0.24455671,0.08598194,0.8741598,0.0
20,420.0,0.0,37.04289,420.0,0.08001491,2498.9924,0.24488787,0.08605287,0.8744649,0.0
21,440.0,0.0,40.24882,440.0,0.08019925,2682.5957,0.24542435,0.086022645,0.8742628,0.0
22,460.0,0.0,43.257244,460.0,0.08047758,2915.1438,0.24530248,0.08588513,0.874363,0.0
23,480.0,0.0,46.33433,480.0,0.080695145,3191.4414,0.24491628,0.08591291,0.8747484,0.0
24,500.0,0.0,49.81444,500.0,0.08109411,3234.8645,0.244628,0.08588182,0.8750816,0.0
25,520.0,0.0,45.123093,520.0,0.08128427,3653.2559,0.24486697,0.08588917,0.8749612,0.0
26,540.0,0.0,50.503296,540.0,0.08162217,3878.2942,0.24511556,0.085931115,0.8749077,0.0
27,560.0,0.0,47.076275,560.0,0.082014956,3638.7295,0.24529056,0.08585385,0.8749032,0.0
28,580.0,0.0,54.801056,580.0,0.08231517,3703.8132,0.24535282,0.086066365,0.87479234,0.0
29,600.0,0.0,50.199055,600.0,0.08261561,4280.5913,0.24577646,0.08592943,0.8745444,0.0
30,620.0,0.0,55.15742,620.0,0.08309174,4716.1426,0.2458361,0.086006165,0.87447214,0.0
31,640.0,0.0,58.216843,640.0,0.08354289,5015.5386,0.24595399,0.08600076,0.8744271,0.0
32,660.0,0.0,53.097153,660.0,0.08373195,4811.1924,0.24620926,0.08605475,0.8743964,0.0
33,680.0,0.0,63.01817,680.0,0.08395767,5535.6216,0.24634893,0.08608011,0.8744654,0.0
34,700.0,0.0,69.25108,700.0,0.08428142,6227.361,0.24630885,0.08609403,0.8746591,0.0
35,720.0,0.0,55.16057,720.0,0.08461759,4802.1406,0.24635053,0.086045474,0.87469035,0.0
36,740.0,0.0,60.638767,740.0,0.084755085,4713.4126,0.24633436,0.08598689,0.87480515,0.0
37,760.0,0.0,64.33149,760.0,0.084897615,5877.1055,0.24611731,0.08601198,0.8747918,0.0
38,780.0,0.0,61.689358,780.0,0.085091315,6341.271,0.24617808,0.08605599,0.8747864,0.0
39,800.0,0.0,68.073906,800.0,0.08526904,7020.8267,0.24610627,0.08609458,0.8748211,0.0
40,820.0,0.0,69.84952,820.0,0.085376404,7140.0483,0.2460105,0.08617721,0.87480754,0.0
41,840.0,0.0,69.51687,840.0,0.08555452,7924.8633,0.24572591,0.086212285,0.8749581,0.0
42,860.0,0.0,73.36317,860.0,0.08564999,7943.017,0.2458411,0.08623686,0.8749315,0.0
43,880.0,0.0,76.25079,880.0,0.08583198,9065.114,0.24593051,0.086242996,0.8750426,0.0
44,900.0,0.0,72.57666,900.0,0.08601049,9748.816,0.24613746,0.08627162,0.8750152,0.0
45,920.0,0.0,73.347496,920.0,0.086129285,9803.84,0.24656875,0.08625897,0.87512416,0.0
46,940.0,0.0,74.56303,940.0,0.08629743,10778.64,0.24690183,0.086260736,0.87511367,0.0
47,960.0,0.0,78.2445,960.0,0.086339734,10117.472,0.247232,0.08639189,0.8751449,0.0
48,980.0,0.0,77.05276,980.0,0.08641698,10075.315,0.24741697,0.08638906,0.8752416,0.0
49,1000.0,0.0,77.83831,1000.0,0.086556375,9248.698,0.2475212,0.08635426,0.8753478,0.0
