train/episode,epoch,stats_g/std,test/ag_g_dist,test/mean_Q,stats_g/mean,train/success_rate,stats_o/std,test/success_rate,stats_o/mean,test/episode,train/critic_loss
100.0,0,0.07049804,0.17465158,-2.5189376,0.8371935,0.05333333333333334,0.043675233,0.10000000000000002,0.20098992,20.0,0.00018484234
200.0,1,0.07009627,0.18145017,-4.567065,0.8371399,0.08,0.044287574,0.016666666666666666,0.20079346,40.0,0.00014305233
300.0,2,0.06979994,0.1659942,-6.621938,0.83723927,0.05833333333333333,0.042504027,0.041666666666666664,0.20077914,60.0,0.0001008803
400.0,3,0.06984047,0.17558794,-8.605891,0.8379665,0.065,0.041749526,0.06666666666666667,0.20102833,80.0,7.7398654e-05
500.0,4,0.06987149,0.17784418,-10.54077,0.8388291,0.07166666666666667,0.042151142,0.049999999999999996,0.20131059,100.0,0.00021632644
600.0,5,0.06983993,0.16249378,-12.418513,0.83891386,0.06666666666666667,0.042324085,0.075,0.20140135,120.0,0.0001646793
700.0,6,0.069769695,0.1637169,-14.205335,0.83883435,0.06,0.041623764,0.09166666666666667,0.2013915,140.0,0.00011004028
800.0,7,0.06975084,0.17069697,-15.885919,0.83914787,0.07333333333333333,0.041487597,0.09166666666666667,0.2014919,160.0,0.00043010502
900.0,8,0.06974836,0.16722286,-17.53504,0.8391599,0.055000000000000014,0.041309632,0.075,0.20146163,180.0,0.0001623723
1000.0,9,0.069720425,0.18175173,-19.065514,0.8390381,0.07,0.04099734,0.08333333333333333,0.20142365,200.0,0.00020809304
1100.0,10,0.06970195,0.16932867,-20.518183,0.83870846,0.07833333333333334,0.041013308,0.08333333333333333,0.20134927,220.0,0.00027268773
1200.0,11,0.06967317,0.15560913,-21.940054,0.83865803,0.07166666666666667,0.040668473,0.10000000000000002,0.20133401,240.0,7.453184e-05
1300.0,12,0.069606364,0.15986742,-23.295961,0.8387732,0.06666666666666667,0.040546354,0.06666666666666667,0.20138161,260.0,0.00012305408
1400.0,13,0.06955142,0.17973137,-24.578926,0.8386629,0.07333333333333333,0.040485688,0.03333333333333333,0.20137121,280.0,0.0001840086
1500.0,14,0.069570914,0.16694479,-25.778183,0.8385605,0.06333333333333334,0.04018095,0.041666666666666664,0.20135117,300.0,0.00024649609
1600.0,15,0.069554016,0.17704745,-26.929047,0.8384433,0.07666666666666667,0.03985987,0.09166666666666667,0.20131141,320.0,0.00011020047
1700.0,16,0.06951829,0.1673503,-28.057379,0.83843184,0.05000000000000001,0.03969179,0.05833333333333333,0.201289,340.0,0.00012097216
1800.0,17,0.069519974,0.17520519,-29.134117,0.83853334,0.08,0.03945073,0.041666666666666664,0.20131151,360.0,0.00020093075
1900.0,18,0.06949923,0.17506342,-30.115046,0.83845824,0.085,0.039487228,0.05833333333333334,0.20129149,380.0,0.000109306595
2000.0,19,0.06948367,0.16660887,-31.083939,0.8383937,0.075,0.039531507,0.08333333333333333,0.20128477,400.0,0.00024869794
2100.0,20,0.06951301,0.17052336,-32.01471,0.8384215,0.065,0.0396441,0.06666666666666667,0.20129927,420.0,0.00027262533
2200.0,21,0.06951826,0.16844481,-32.84615,0.8383968,0.065,0.039515782,0.08333333333333333,0.20128794,440.0,0.00019698234
2300.0,22,0.06953729,0.17727761,-33.679493,0.8381922,0.06166666666666667,0.039519988,0.05833333333333334,0.20123072,460.0,0.00030486714
2400.0,23,0.069532536,0.1804351,-34.521244,0.8380914,0.06166666666666667,0.039432984,0.06666666666666667,0.20119722,480.0,0.0007596826
2500.0,24,0.0695424,0.17021318,-35.180744,0.83822995,0.06333333333333334,0.039529923,0.09999999999999999,0.20123844,500.0,0.0011875794
2600.0,25,0.06952601,0.17449975,-35.941143,0.8382799,0.06333333333333334,0.03939748,0.05000000000000001,0.20125984,520.0,0.00020394455
2700.0,26,0.0695314,0.17029743,-36.603104,0.83821505,0.08833333333333333,0.039319515,0.075,0.201243,540.0,0.0012482286
2800.0,27,0.06953562,0.15678422,-37.21028,0.8381135,0.06999999999999999,0.039447192,0.11666666666666665,0.20120382,560.0,0.00053084415
2900.0,28,0.06953201,0.18131836,-37.87379,0.838109,0.05333333333333334,0.03945655,0.041666666666666664,0.20120347,580.0,0.00048570373
3000.0,29,0.06954699,0.18085118,-38.49518,0.83806586,0.07333333333333332,0.03933101,0.041666666666666664,0.20119406,600.0,0.00044475056
