test/mean_Q,train/episode,test/success_rate,stats_g/mean,stats_o/std,stats_g/std,epoch,train/critic_loss,train/success_rate,stats_o/mean,test/episode,test/ag_g_dist
-2.363798,100.0,0.0,0.84233373,0.04872225,0.09133596,0,0.046605986,0.0,0.20336144,20.0,0.23722328
-4.4142346,200.0,0.0,0.84469485,0.0480073,0.093150534,1,0.044993013,0.0,0.20366989,40.0,0.22205597
-6.4277306,300.0,0.0,0.8452645,0.049996704,0.09331274,2,0.04225592,0.0,0.2040218,60.0,0.21828245
-8.052781,400.0,0.0,0.8457296,0.05163141,0.09435955,3,0.046144683,0.0,0.2040196,80.0,0.2290097
-10.181652,500.0,0.0,0.8451871,0.055714965,0.09585613,4,0.046632793,0.0,0.20406403,100.0,0.23622924
-11.842559,600.0,0.0,0.84489495,0.06150903,0.09859348,5,0.052346915,0.0,0.2039165,120.0,0.2423724
-12.888507,700.0,0.0,0.84487647,0.067194015,0.10002039,6,0.061072726,0.0,0.20389874,140.0,0.2514329
-14.054836,800.0,0.0,0.84493446,0.073668405,0.1021746,7,0.061686236,0.0,0.20403795,160.0,0.23820154
-14.343147,900.0,0.0,0.8448014,0.07922385,0.103463046,8,0.09035919,0.0,0.20387335,180.0,0.21893817
-13.0408325,1000.0,0.008333333333333333,0.8446036,0.08591632,0.10515955,9,0.09025329,0.0,0.20390348,200.0,0.20720951
-11.972885,1100.0,0.0,0.84473115,0.091627024,0.10654094,10,0.1403182,0.0,0.2040984,220.0,0.18128897
-13.068173,1200.0,0.008333333333333333,0.8446848,0.09714577,0.1080677,11,0.09573629,0.0,0.20422117,240.0,0.20003907
-12.184594,1300.0,0.016666666666666666,0.8446884,0.10154832,0.10918192,12,0.13343467,0.0016666666666666668,0.20427226,260.0,0.17563684
-10.41837,1400.0,0.041666666666666664,0.844878,0.104383595,0.10932958,13,0.16111024,0.005,0.20441703,280.0,0.15459318
-11.334244,1500.0,0.0,0.8449154,0.10724104,0.10999111,14,0.1213863,0.0033333333333333335,0.20440531,300.0,0.16770959
-8.846288,1600.0,0.03333333333333333,0.8447649,0.10867602,0.11024619,15,0.1993155,0.008333333333333333,0.20434795,320.0,0.13088156
-9.068764,1700.0,0.15,0.8450015,0.10993757,0.110684834,16,0.19332688,0.005,0.20447268,340.0,0.13313426
-6.871465,1800.0,0.06666666666666667,0.8450389,0.11148939,0.11152101,17,0.14753763,0.008333333333333333,0.2044326,360.0,0.11466607
-6.921759,1900.0,0.06666666666666667,0.8452427,0.11279813,0.11250027,18,0.17800455,0.0033333333333333335,0.20449789,380.0,0.119635165
