test/mean_Q,epoch,stats_o/mean,train/episode,test/ag_g_dist,stats_o/std,test/success_rate,train/critic_loss,train/success_rate,stats_g/std,test/episode,stats_g/mean
-3.031311,0,0.20306124,100.0,0.23722328,0.0495842,0.0,0.35334554,0.0,0.0917302,20.0,0.84235626
-5.2029405,1,0.2034743,200.0,0.22213833,0.046053614,0.0,0.5892709,0.0,0.09311556,40.0,0.8444564
-7.009191,2,0.20364742,300.0,0.21827509,0.048413705,0.0,0.6444934,0.0,0.09408266,60.0,0.84500057
-8.75613,3,0.20407726,400.0,0.22976492,0.05271026,0.0,0.6334562,0.0,0.09549808,80.0,0.8452764
-10.693379,4,0.20414244,500.0,0.23532963,0.05988932,0.0,0.61651117,0.0,0.09750781,100.0,0.8449381
-12.039624,5,0.20407777,600.0,0.24313824,0.06592236,0.0,0.61160946,0.0,0.09891277,120.0,0.84492654
-12.66278,6,0.20412974,700.0,0.2559763,0.07127276,0.0,0.62242186,0.0,0.10043117,140.0,0.84483665
-12.001419,7,0.20417507,800.0,0.2100019,0.07923759,0.0,0.61036307,0.0,0.10302644,160.0,0.84459716
-11.464264,8,0.20427471,900.0,0.1960872,0.08707514,0.0,0.68140715,0.0,0.10469832,180.0,0.84440404
-10.890659,9,0.20425789,1000.0,0.19580418,0.093699254,0.008333333333333333,0.6292268,0.0,0.10624472,200.0,0.84378964
-9.405607,10,0.2044978,1100.0,0.15268429,0.09866575,0.0,0.7417893,0.0,0.10856811,220.0,0.84397703
-10.433973,11,0.20463495,1200.0,0.17672245,0.10323169,0.0,0.700278,0.0016666666666666668,0.10964248,240.0,0.8440718
-10.093556,12,0.2047892,1300.0,0.15501828,0.10620475,0.016666666666666666,0.7016887,0.0016666666666666668,0.10979151,260.0,0.8442504
-7.605537,13,0.20492405,1400.0,0.127959,0.10800705,0.041666666666666664,0.6635759,0.0,0.11008102,280.0,0.84466934
-7.4503307,14,0.20515573,1500.0,0.13175374,0.11023576,0.09999999999999999,0.6951913,0.0033333333333333335,0.111003876,300.0,0.84502023
-4.480375,15,0.20525998,1600.0,0.09414301,0.111846514,0.14166666666666666,0.5731099,0.0016666666666666668,0.11212551,320.0,0.84546185
-4.037803,16,0.2055188,1700.0,0.10077711,0.11412987,0.17499999999999996,0.63234687,0.0016666666666666668,0.1137315,340.0,0.84612817
-3.0613947,17,0.20564534,1800.0,0.07487116,0.115171425,0.25833333333333336,0.65538996,0.0016666666666666668,0.11463993,360.0,0.846503
-3.544419,18,0.20575984,1900.0,0.07652063,0.115680955,0.16666666666666666,0.57411385,0.0033333333333333335,0.11504861,380.0,0.8470083
-2.807658,19,0.2058,2000.0,0.06211251,0.1163572,0.27499999999999997,0.5093481,0.0016666666666666668,0.11523778,400.0,0.8475235
-2.6076238,20,0.20581299,2100.0,0.050668802,0.116776764,0.17499999999999996,0.5390776,0.005,0.11522605,420.0,0.8479534
-2.4691622,21,0.2058457,2200.0,0.049598068,0.117135435,0.31666666666666665,0.48767892,0.0033333333333333335,0.11530912,440.0,0.8484222
-3.1183147,22,0.20584019,2300.0,0.06063513,0.11732856,0.30833333333333335,0.45735827,0.0,0.11507503,460.0,0.84876484
-2.5870366,23,0.20591049,2400.0,0.05656342,0.117798395,0.15833333333333333,0.4951853,0.0,0.115195274,480.0,0.84892297
-2.6951044,24,0.20592703,2500.0,0.055128563,0.11810421,0.16666666666666666,0.55515146,0.0033333333333333335,0.11539668,500.0,0.84925485
-2.5696318,25,0.20597662,2600.0,0.058698058,0.11808133,0.08333333333333333,0.63285834,0.0016666666666666668,0.11541077,520.0,0.84953237
-2.6935117,26,0.20604984,2700.0,0.059728984,0.11825749,0.26666666666666666,0.42350277,0.0016666666666666668,0.1154956,540.0,0.84977967
-2.633608,27,0.2061147,2800.0,0.055499583,0.11833391,0.26666666666666666,0.5171705,0.0,0.11545364,560.0,0.8500528
-2.4754379,28,0.20618564,2900.0,0.04968961,0.118466936,0.075,0.47877952,0.006666666666666667,0.11539284,580.0,0.85035306
-2.5307434,29,0.206225,3000.0,0.04891583,0.11847621,0.4000000000000001,0.48843274,0.0033333333333333335,0.11543057,600.0,0.85061616
-2.5795996,30,0.20622934,3100.0,0.056009915,0.11850339,0.2833333333333333,0.6844757,0.0016666666666666668,0.115384616,620.0,0.850822
-2.501242,31,0.20621254,3200.0,0.053637296,0.11844792,0.21666666666666667,0.4840038,0.0016666666666666668,0.11530447,640.0,0.85091215
-2.337679,32,0.2061968,3300.0,0.047949318,0.11845705,0.15,0.42273712,0.0033333333333333335,0.1150707,660.0,0.85095567
-2.6697624,33,0.20621198,3400.0,0.055692796,0.1182924,0.17500000000000002,0.51270753,0.0033333333333333335,0.114690684,680.0,0.8510867
-2.4268591,34,0.2062418,3500.0,0.049214225,0.11840961,0.05833333333333333,0.44449642,0.006666666666666667,0.11455806,700.0,0.8511131
-2.4633043,35,0.20627289,3600.0,0.05248621,0.11838338,0.3666666666666667,0.4290572,0.0016666666666666668,0.11445091,720.0,0.85130554
-2.3902395,36,0.20629339,3700.0,0.048246395,0.118334614,0.3666666666666667,0.4740591,0.0016666666666666668,0.11431094,740.0,0.8513649
-2.8699486,37,0.20631297,3800.0,0.055583715,0.118311614,0.20000000000000004,0.4127361,0.0033333333333333335,0.1141505,760.0,0.8514604
-2.6742938,38,0.20632036,3900.0,0.05331513,0.118395425,0.16666666666666666,0.4428619,0.0,0.114035755,780.0,0.8515253
