test/mean_Q,stats_o/mean,test/ag_g_dist,stats_g/mean,stats_g/std,epoch,train/success_rate,train/episode,test/episode,test/success_rate,train/critic_loss,stats_o/std
-2.2867324,0.20045356,0.17467935,0.8374346,0.07021313,0,0.0,100.0,20.0,0.0,0.048708696,0.043842893
-4.384354,0.20070274,0.18190284,0.83713865,0.07036744,1,0.0,200.0,40.0,0.0,0.05035314,0.0464647
-6.412047,0.20077598,0.16767131,0.83719486,0.07053246,2,0.0,300.0,60.0,0.0,0.04448117,0.046462134
-8.417055,0.20111485,0.18851952,0.8376854,0.07754344,3,0.0,400.0,80.0,0.0,0.049126025,0.0525813
-10.364352,0.2014937,0.18743093,0.83846587,0.08256336,4,0.0,500.0,100.0,0.0,0.052225396,0.059596345
-11.04889,0.20157976,0.16051322,0.8385561,0.08356417,5,0.0,600.0,120.0,0.0,0.058108363,0.061270565
-11.202874,0.20173718,0.15471806,0.83857495,0.083858676,6,0.0033333333333333335,700.0,140.0,0.0,0.061949354,0.06653067
-10.268764,0.20192419,0.14182109,0.83920175,0.083345264,7,0.0,800.0,160.0,0.0,0.089138485,0.07102438
-7.797512,0.20213997,0.09734432,0.8394275,0.082966015,8,0.0016666666666666668,900.0,180.0,0.0,0.08976779,0.07628619
-7.057621,0.2021628,0.08890704,0.83967835,0.08331608,9,0.0016666666666666668,1000.0,200.0,0.0,0.09365264,0.08402654
-4.9840126,0.20219298,0.06296449,0.83951265,0.08297021,10,0.005,1100.0,220.0,0.016666666666666666,0.10962614,0.09141564
-4.021974,0.20215213,0.046463516,0.8395198,0.08244345,11,0.0016666666666666668,1200.0,240.0,0.008333333333333333,0.15399846,0.09817266
-4.2035575,0.20230792,0.047372717,0.8395415,0.08218355,12,0.0016666666666666668,1300.0,260.0,0.008333333333333333,0.14896257,0.103086405
-4.5111685,0.20236535,0.055847567,0.83935815,0.08169349,13,0.008333333333333333,1400.0,280.0,0.03333333333333333,0.14080817,0.10665498
-4.121036,0.20249407,0.04477818,0.83927375,0.08135763,14,0.008333333333333333,1500.0,300.0,0.03333333333333333,0.1401518,0.109477274
-4.505635,0.20227583,0.049057353,0.8392853,0.08092776,15,0.011666666666666667,1600.0,320.0,0.06666666666666667,0.16833705,0.11175803
-4.189385,0.20211323,0.042020053,0.8392634,0.08099863,16,0.0,1700.0,340.0,0.049999999999999996,0.19933517,0.11409258
-4.564855,0.20196582,0.04471928,0.8393623,0.080692425,17,0.0033333333333333335,1800.0,360.0,0.05000000000000001,0.16853543,0.11595574
-4.4468236,0.20181936,0.043276835,0.83934206,0.08055198,18,0.015,1900.0,380.0,0.11666666666666668,0.14011066,0.11751244
-4.2532434,0.20157711,0.04090011,0.83929586,0.08031807,19,0.013333333333333334,2000.0,400.0,0.15,0.15122272,0.11901197
-4.0351043,0.20156027,0.041474987,0.8391796,0.08009362,20,0.011666666666666667,2100.0,420.0,0.15833333333333335,0.15388566,0.119936764
-3.9868295,0.20153092,0.03964971,0.8391709,0.080009565,21,0.016666666666666666,2200.0,440.0,0.14166666666666666,0.15394537,0.1208846
-4.335665,0.20149355,0.042933017,0.83905315,0.079606906,22,0.016666666666666666,2300.0,460.0,0.13333333333333333,0.17401777,0.121333666
-4.361012,0.20149495,0.043929845,0.83909225,0.07938334,23,0.024999999999999998,2400.0,480.0,0.17499999999999996,0.20198078,0.12182334
-4.3855605,0.2015963,0.042438716,0.8391163,0.07926414,24,0.034999999999999996,2500.0,500.0,0.20000000000000004,0.24685055,0.1225334
-4.2968946,0.20163727,0.039886814,0.8390837,0.07899311,25,0.03333333333333333,2600.0,520.0,0.25,0.18896188,0.12302699
-4.5224967,0.20168228,0.040620927,0.83902246,0.07869078,26,0.030000000000000002,2700.0,540.0,0.16666666666666666,0.16918337,0.123373516
-4.1242366,0.20175545,0.036832076,0.8390739,0.07848533,27,0.021666666666666667,2800.0,560.0,0.125,0.17687172,0.12365391
-4.271579,0.20176189,0.041509952,0.8390196,0.078185335,28,0.025000000000000005,2900.0,580.0,0.16666666666666666,0.22417021,0.123839654
-4.305411,0.20185335,0.043235525,0.8389385,0.07817039,29,0.028333333333333335,3000.0,600.0,0.225,0.19261293,0.12408496
-3.6022732,0.20186593,0.036806125,0.83897656,0.07794172,30,0.03166666666666667,3100.0,620.0,0.13333333333333333,0.17297071,0.124181904
-3.8453465,0.20191942,0.040541757,0.83890206,0.077663325,31,0.025000000000000005,3200.0,640.0,0.09166666666666667,0.19038224,0.124235146
-4.3790107,0.20188963,0.040057957,0.8389321,0.077438764,32,0.02666666666666667,3300.0,660.0,0.041666666666666664,0.18441713,0.124304734
-3.8977096,0.20198913,0.03659608,0.83892447,0.07741653,33,0.03,3400.0,680.0,0.13333333333333333,0.18881138,0.12434282
-4.099153,0.20201056,0.034883954,0.8389478,0.077213556,34,0.03166666666666667,3500.0,700.0,0.27499999999999997,0.15886317,0.124413006
-4.2066016,0.20203148,0.038726296,0.8389943,0.07701528,35,0.02666666666666667,3600.0,720.0,0.17500000000000002,0.1845026,0.12442351
-4.499042,0.20212747,0.039478503,0.83905935,0.07700188,36,0.025000000000000005,3700.0,740.0,0.13333333333333333,0.20115967,0.12450627
-5.015887,0.2021492,0.04364306,0.8390319,0.07671159,37,0.025000000000000005,3800.0,760.0,0.25833333333333336,0.16288064,0.12454761
-4.7745376,0.20214777,0.04511574,0.83904344,0.07670736,38,0.025000000000000005,3900.0,780.0,0.19999999999999998,0.2021091,0.12454494
-4.7783794,0.2021649,0.03960048,0.8390417,0.07663647,39,0.03,4000.0,800.0,0.26666666666666666,0.1990629,0.12448818
-4.978672,0.20215811,0.037545566,0.83898115,0.07648558,40,0.023333333333333334,4100.0,820.0,0.20833333333333334,0.1873913,0.12435051
-5.1916084,0.20214714,0.04119013,0.839029,0.07632507,41,0.028333333333333335,4200.0,840.0,0.17500000000000002,0.19747078,0.124364465
-5.443663,0.20215149,0.03943391,0.83902436,0.07620929,42,0.03,4300.0,860.0,0.23333333333333336,0.15896845,0.12431056
-5.6995807,0.20213892,0.042663738,0.8390512,0.07605511,43,0.028333333333333335,4400.0,880.0,0.1416666666666667,0.19898073,0.124210976
-5.862907,0.20210314,0.03948619,0.83904773,0.07603509,44,0.03333333333333333,4500.0,900.0,0.13333333333333333,0.21872507,0.1241155
-6.1517506,0.20209044,0.044617962,0.8390227,0.07587415,45,0.04,4600.0,920.0,0.125,0.21296233,0.12404411
-5.7590384,0.20208557,0.04133645,0.83896476,0.07573564,46,0.035,4700.0,940.0,0.325,0.22804207,0.12408233
-5.9584746,0.20213509,0.04230855,0.839006,0.075650424,47,0.03833333333333333,4800.0,960.0,0.21666666666666667,0.2110068,0.12409707
-5.5434365,0.20213918,0.03991567,0.83902115,0.07554459,48,0.043333333333333335,4900.0,980.0,0.4083333333333334,0.21554829,0.12403431
-5.7312164,0.20217264,0.038985543,0.8390761,0.07541123,49,0.03666666666666667,5000.0,1000.0,0.25,0.18170781,0.12412733
-5.081592,0.20211484,0.04040281,0.83907294,0.07532221,50,0.03833333333333333,5100.0,1020.0,0.21666666666666667,0.2238661,0.1242222
-5.7770658,0.20212616,0.041245192,0.8390956,0.075306065,51,0.02666666666666667,5200.0,1040.0,0.16666666666666666,0.19580297,0.12422841
-5.215177,0.2020979,0.03690346,0.8391009,0.07521898,52,0.03333333333333333,5300.0,1060.0,0.26666666666666666,0.23930301,0.12433242
-5.826051,0.20206471,0.037387177,0.8390648,0.07517094,53,0.04,5400.0,1080.0,0.375,0.18650304,0.1243914
-5.313927,0.2020957,0.03557316,0.8390469,0.075082645,54,0.04666666666666667,5500.0,1100.0,0.20000000000000004,0.18658294,0.12431774
