stats_o/mean,stats_o/std,stats_g/mean,test/episode,train/critic_loss,epoch,train/success_rate,test/ag_g_dist,test/success_rate,train/episode,test/mean_Q,stats_g/std
0.20138125,0.048205033,0.8371901,20.0,0.34178197,0,0.0,0.17583585,0.0,100.0,-2.9299126,0.071335144
0.20124362,0.04874058,0.83717775,40.0,0.5928671,1,0.0,0.18285926,0.0,200.0,-5.130799,0.0731867
0.20122118,0.047784824,0.83731675,60.0,0.61849916,2,0.0,0.16781473,0.0,300.0,-7.002445,0.07306767
0.20140398,0.051617023,0.838052,80.0,0.60716677,3,0.0,0.1777447,0.0,400.0,-8.991066,0.07685367
0.20161302,0.05605112,0.8389139,100.0,0.598087,4,0.0,0.17949875,0.0,500.0,-10.7928095,0.07866145
0.20149755,0.058393124,0.8388937,120.0,0.6037497,5,0.0,0.16063865,0.0,600.0,-12.003518,0.08035137
0.20146371,0.06251954,0.83878756,140.0,0.57880944,6,0.0,0.1501876,0.0,700.0,-11.761708,0.0804544
0.20171295,0.06830542,0.8395817,160.0,0.5958912,7,0.0016666666666666668,0.13364734,0.0,800.0,-10.436184,0.080130555
0.20185865,0.074323416,0.83968925,180.0,0.6223518,8,0.0,0.10496951,0.0,900.0,-9.28243,0.08015031
0.20209189,0.08025926,0.84005785,200.0,0.5851471,9,0.0016666666666666668,0.08134361,0.0,1000.0,-7.834166,0.079625376
0.20192975,0.08590766,0.83975655,220.0,0.62964386,10,0.0,0.060995843,0.025000000000000005,1100.0,-6.4741607,0.0793488
0.20202291,0.09098404,0.8397444,240.0,0.6087649,11,0.0016666666666666668,0.047924872,0.025000000000000005,1200.0,-5.8376994,0.07857887
0.2022317,0.094907045,0.8397796,260.0,0.61550134,12,0.0,0.05319466,0.025000000000000005,1300.0,-5.91647,0.07842704
0.20239441,0.0978205,0.8396029,280.0,0.6179994,13,0.0,0.058691543,0.025000000000000005,1400.0,-6.341559,0.07795672
0.20230329,0.100430705,0.83941656,300.0,0.6367813,14,0.0,0.043842208,0.05833333333333334,1500.0,-5.927137,0.077810116
0.20229858,0.102681465,0.83941334,320.0,0.59590507,15,0.0033333333333333335,0.047055285,0.06666666666666667,1600.0,-5.7988896,0.07770452
0.20229305,0.10459447,0.83937734,340.0,0.5097647,16,0.0016666666666666668,0.04392378,0.075,1700.0,-6.20239,0.07742517
0.20224698,0.10582453,0.8394925,360.0,0.563319,17,0.01,0.046145484,0.075,1800.0,-6.4734483,0.0771908
0.20220053,0.10700039,0.8394821,380.0,0.563312,18,0.0033333333333333335,0.045127522,0.125,1900.0,-5.8047357,0.07672302
0.20216429,0.107699506,0.8394427,400.0,0.51454514,19,0.0016666666666666668,0.04074183,0.17500000000000002,2000.0,-5.868631,0.07644892
0.20211674,0.108430974,0.8393573,420.0,0.5302785,20,0.0033333333333333335,0.042121198,0.10833333333333335,2100.0,-6.0195937,0.07635592
0.20205303,0.10919548,0.83933496,440.0,0.5204386,21,0.006666666666666667,0.039423253,0.16666666666666666,2200.0,-6.238215,0.07619472
0.20195095,0.1099174,0.8392288,460.0,0.5768109,22,0.006666666666666667,0.04238117,0.17500000000000002,2300.0,-6.463221,0.07579876
0.20190518,0.1105875,0.83923835,480.0,0.64223945,23,0.011666666666666665,0.04309225,0.15,2400.0,-6.3596873,0.075630955
0.20196937,0.11114053,0.8392415,500.0,0.5332038,24,0.011666666666666667,0.040097725,0.18333333333333335,2500.0,-5.882643,0.075571336
0.20188217,0.1115031,0.83921427,520.0,0.49865088,25,0.008333333333333333,0.04027198,0.16666666666666666,2600.0,-6.4330006,0.075263955
0.20176442,0.111786045,0.83915144,540.0,0.524921,26,0.008333333333333333,0.040738493,0.15,2700.0,-6.6837325,0.075029686
0.20163243,0.11194082,0.8391991,560.0,0.5489945,27,0.005,0.036463957,0.09999999999999999,2800.0,-6.3314,0.07472275
0.20156819,0.1120239,0.8391617,580.0,0.5054674,28,0.011666666666666667,0.04502366,0.2333333333333333,2900.0,-6.883146,0.07446717
0.20152692,0.11209098,0.83908176,600.0,0.46680352,29,0.005,0.0450795,0.15833333333333333,3000.0,-7.3391366,0.07428891
0.2015158,0.11220711,0.8390622,620.0,0.51836747,30,0.005,0.038223904,0.25833333333333336,3100.0,-6.9002304,0.07408986
0.20141102,0.112244,0.8389532,640.0,0.52934885,31,0.01,0.03991716,0.35000000000000003,3200.0,-7.192285,0.07393658
0.201347,0.112280875,0.8389563,660.0,0.5439388,32,0.013333333333333334,0.040952165,0.3166666666666667,3300.0,-7.251002,0.073770545
0.20135146,0.1123648,0.838937,680.0,0.47452644,33,0.013333333333333334,0.040042344,0.2416666666666667,3400.0,-8.020248,0.07361414
0.20136137,0.112520225,0.8389175,700.0,0.47581124,34,0.01,0.03549019,0.16666666666666666,3500.0,-6.935432,0.07366242
0.20133169,0.112468034,0.8389595,720.0,0.49117413,35,0.013333333333333334,0.038314935,0.375,3600.0,-6.805534,0.07356299
0.20128931,0.112506725,0.8389852,740.0,0.508604,36,0.008333333333333333,0.03942646,0.1416666666666667,3700.0,-7.550384,0.073430434
0.2013032,0.11253258,0.8389322,760.0,0.48253474,37,0.008333333333333333,0.042458612,0.11666666666666668,3800.0,-8.509562,0.07326797
0.20127933,0.1125212,0.8389426,780.0,0.50625926,38,0.008333333333333333,0.04385687,0.3333333333333333,3900.0,-7.868027,0.073180884
0.20126402,0.11238306,0.838947,800.0,0.46554375,39,0.006666666666666667,0.041585837,0.20000000000000004,4000.0,-8.51822,0.07299685
0.20120709,0.11235377,0.8388936,820.0,0.61919117,40,0.023333333333333334,0.04013522,0.13333333333333333,4100.0,-8.532262,0.072973266
0.20120233,0.112394325,0.838937,840.0,0.51354265,41,0.005,0.04225721,0.35000000000000003,4200.0,-7.323012,0.07296049
0.20122679,0.11235515,0.8389147,860.0,0.52375233,42,0.0,0.03887052,0.25,4300.0,-7.463934,0.072858095
0.2011938,0.11237543,0.8389419,880.0,0.53469324,43,0.013333333333333334,0.042248774,0.27499999999999997,4400.0,-7.504954,0.07277092
0.20122819,0.11236326,0.83893514,900.0,0.53327215,44,0.0033333333333333335,0.03857252,0.2916666666666667,4500.0,-8.107661,0.07275326
0.20122786,0.112376235,0.83889866,920.0,0.48830667,45,0.0016666666666666668,0.042274896,0.5249999999999999,4600.0,-7.319193,0.07268387
0.20122778,0.11240017,0.838845,940.0,0.6045723,46,0.0033333333333333335,0.04141772,0.4583333333333333,4700.0,-7.4088783,0.07260359
0.20122863,0.11246076,0.83887553,960.0,0.5321772,47,0.01,0.039519127,0.27499999999999997,4800.0,-7.800186,0.07254118
0.20118028,0.11244502,0.83888966,980.0,0.52306074,48,0.006666666666666667,0.04012045,0.3333333333333333,4900.0,-7.327694,0.07243798
0.2011761,0.11257108,0.83892846,1000.0,0.5656665,49,0.006666666666666667,0.038900744,0.3416666666666666,5000.0,-6.9857507,0.072489224
0.20116995,0.11251875,0.838927,1020.0,0.5003198,50,0.01,0.039598122,0.47500000000000003,5100.0,-6.6746907,0.07248872
0.20110105,0.112452544,0.838934,1040.0,0.5099676,51,0.01,0.03886162,0.45,5200.0,-6.3680396,0.072474405
0.20109062,0.112372555,0.8389291,1060.0,0.47898063,52,0.008333333333333333,0.03569042,0.4000000000000001,5300.0,-6.6958237,0.07236055
0.20107745,0.112303294,0.83889157,1080.0,0.48858547,53,0.006666666666666667,0.037856612,0.48333333333333334,5400.0,-6.7939467,0.072377205
0.2010322,0.11223927,0.838871,1100.0,0.40697846,54,0.01,0.035698306,0.31666666666666665,5500.0,-7.395401,0.07229766
0.20100982,0.112089455,0.8388718,1120.0,0.55437946,55,0.008333333333333333,0.03992695,0.4583333333333333,5600.0,-7.2479167,0.07223532
0.20098364,0.11209325,0.8388607,1140.0,0.3588934,56,0.01,0.039380968,0.4583333333333333,5700.0,-7.9967904,0.072225854
0.20096542,0.11206323,0.83887523,1160.0,0.4528203,57,0.01,0.042617902,0.3083333333333333,5800.0,-8.418722,0.072189964
0.20093949,0.112033464,0.83882874,1180.0,0.5042012,58,0.013333333333333334,0.041730594,0.3583333333333334,5900.0,-7.526818,0.0722279
0.20091349,0.11203397,0.83883256,1200.0,0.5662257,59,0.005,0.039730757,0.24999999999999997,6000.0,-8.30701,0.0722073
0.20089646,0.111975886,0.8388188,1220.0,0.44686243,60,0.005,0.043875266,0.2916666666666667,6100.0,-8.058882,0.072178036
0.20083673,0.11190453,0.83879024,1240.0,0.45811343,61,0.015000000000000001,0.03812978,0.3666666666666667,6200.0,-7.9346237,0.0721074
0.20082223,0.111914836,0.8388069,1260.0,0.54938775,62,0.013333333333333334,0.039227836,0.5083333333333334,6300.0,-7.2313943,0.072040714
0.2007993,0.11190545,0.8388014,1280.0,0.5448872,63,0.01,0.04031757,0.375,6400.0,-8.275407,0.0720057
0.2007489,0.11188197,0.83877057,1300.0,0.5202969,64,0.016666666666666666,0.035750967,0.4416666666666667,6500.0,-7.586249,0.0719635
0.20072538,0.111882985,0.8387582,1320.0,0.5453697,65,0.005,0.03682669,0.5666666666666667,6600.0,-7.126429,0.07199101
0.20073484,0.111882776,0.8387158,1340.0,0.50887704,66,0.008333333333333333,0.03730623,0.4416666666666667,6700.0,-7.447349,0.07196882
0.20073116,0.111920364,0.83873177,1360.0,0.5807106,67,0.0033333333333333335,0.035615012,0.5166666666666667,6800.0,-7.249836,0.07199803
0.20071572,0.111929856,0.8387372,1380.0,0.42509213,68,0.008333333333333333,0.037371222,0.25,6900.0,-7.9611106,0.071953446
0.20072119,0.11193288,0.83877593,1400.0,0.49001625,69,0.011666666666666665,0.04039987,0.4333333333333333,7000.0,-8.0783415,0.071938306
0.20070682,0.11191896,0.83875805,1420.0,0.44577017,70,0.021666666666666667,0.03945489,0.27499999999999997,7100.0,-8.0738325,0.07191617
0.20071553,0.11193418,0.8387267,1440.0,0.38803577,71,0.005,0.035638828,0.5083333333333334,7200.0,-7.5958023,0.071952365
0.20068534,0.111954086,0.8386902,1460.0,0.5748629,72,0.018333333333333333,0.039531067,0.375,7300.0,-8.186023,0.07196883
0.20066865,0.111968674,0.838677,1480.0,0.553139,73,0.011666666666666667,0.039721634,0.45,7400.0,-8.003325,0.07190871
0.20064257,0.11194539,0.83869594,1500.0,0.5427582,74,0.01,0.040944304,0.3083333333333333,7500.0,-8.724158,0.0718599
0.20062493,0.11196071,0.838672,1520.0,0.44573116,75,0.005,0.038868103,0.5833333333333334,7600.0,-7.6124287,0.07185701
0.20062862,0.11198712,0.8386746,1540.0,0.37722674,76,0.005,0.03637563,0.4166666666666667,7700.0,-8.098336,0.07182448
0.2006203,0.111995004,0.8386498,1560.0,0.48007223,77,0.0033333333333333335,0.040011983,0.6666666666666666,7800.0,-7.728377,0.07184184
0.2006105,0.11204996,0.83866006,1580.0,0.65421325,78,0.01,0.03760409,0.35000000000000003,7900.0,-8.2205305,0.07179663
0.20063643,0.11209492,0.8386685,1600.0,0.46452895,79,0.005,0.03592668,0.45,8000.0,-8.286121,0.07180868
0.20063181,0.11213281,0.83869463,1620.0,0.48300138,80,0.013333333333333334,0.036850076,0.5750000000000001,8100.0,-7.5635877,0.07180824
0.20059158,0.11216531,0.8387007,1640.0,0.4334495,81,0.02,0.040331647,0.5499999999999999,8200.0,-8.136971,0.07177036
0.20058276,0.11218431,0.83868974,1660.0,0.50038713,82,0.01,0.03799398,0.3416666666666666,8300.0,-9.168845,0.07174551
0.20056997,0.11222825,0.83868915,1680.0,0.50845724,83,0.021666666666666667,0.03931807,0.47500000000000003,8400.0,-8.0803175,0.071746536
0.20057796,0.112216346,0.8386743,1700.0,0.43581954,84,0.015,0.039216597,0.7416666666666667,8500.0,-7.947455,0.071737476
0.20059168,0.112233676,0.838682,1720.0,0.50612515,85,0.006666666666666667,0.040370774,0.47500000000000003,8600.0,-8.302734,0.07171605
0.20058067,0.11229644,0.8386751,1740.0,0.40107772,86,0.0016666666666666668,0.036127325,0.5666666666666668,8700.0,-7.9245553,0.071726404
0.20056099,0.1122902,0.8386776,1760.0,0.4982508,87,0.006666666666666667,0.04108776,0.5499999999999999,8800.0,-8.092411,0.07171106
0.20055412,0.112259544,0.8387038,1780.0,0.44177425,88,0.016666666666666666,0.038190816,0.5583333333333333,8900.0,-7.6850033,0.07166419
0.20056863,0.112247504,0.83870625,1800.0,0.39921823,89,0.006666666666666667,0.03925542,0.25,9000.0,-8.455714,0.071650736
0.20058943,0.11219508,0.83874226,1820.0,0.44323754,90,0.005,0.038017932,0.44166666666666665,9100.0,-8.14478,0.07160709
0.20057839,0.11217931,0.8387278,1840.0,0.4653813,91,0.013333333333333334,0.040299762,0.35833333333333334,9200.0,-8.458438,0.0715918
0.20056777,0.11222152,0.8387427,1860.0,0.45533404,92,0.011666666666666667,0.035726737,0.2833333333333333,9300.0,-8.4636755,0.07158079
0.2005707,0.11221024,0.8387203,1880.0,0.44699863,93,0.016666666666666666,0.033972327,0.3833333333333333,9400.0,-8.414591,0.07156316
0.2005645,0.112169325,0.8386999,1900.0,0.3913348,94,0.006666666666666667,0.038873825,0.5,9500.0,-8.162948,0.07154054
0.20054168,0.11222714,0.8386783,1920.0,0.6336639,95,0.0033333333333333335,0.039084706,0.4166666666666667,9600.0,-9.044049,0.07154455
0.20053212,0.112307675,0.83870363,1940.0,0.5781091,96,0.011666666666666667,0.04344304,0.7333333333333334,9700.0,-7.872883,0.0715493
0.20051117,0.112333454,0.8387043,1960.0,0.41672286,97,0.013333333333333334,0.038369697,0.26666666666666666,9800.0,-8.867698,0.07154545
0.20049734,0.112317465,0.83869547,1980.0,0.48198065,98,0.01,0.037866667,0.5666666666666667,9900.0,-7.650028,0.07158087
0.20047992,0.11232922,0.83870167,2000.0,0.6663558,99,0.015,0.03365731,0.6083333333333333,10000.0,-7.560867,0.0715797
