epoch,test/ag_g_dist,test/mean_Q,test/success_rate,train/critic_loss,test/episode,train/success_rate,stats_o/std,stats_g/mean,stats_g/std,train/episode,stats_o/mean
0,0.1498878,-1.3077158,0.0,0.050296564,20.0,0.0,0.032283183,0.87648517,0.1018909,20.0,0.26313478
1,0.12807836,-1.6028742,0.0,0.013090759,40.0,0.0,0.029287944,0.87949055,0.09120381,40.0,0.26394707
2,0.091430984,-1.7419819,0.075,0.008819976,60.0,0.0,0.028357139,0.882734,0.08768187,60.0,0.26478493
3,0.061742786,-1.8750219,0.05000000000000001,0.008602516,80.0,0.0,0.027815426,0.88530284,0.08560354,80.0,0.26531884
4,0.04124644,-1.8048973,0.10833333333333334,0.012311821,100.0,0.0,0.027538577,0.8850491,0.08430258,100.0,0.26528704
5,0.053639308,-1.8807211,0.17500000000000002,0.0168397,120.0,0.0,0.027607799,0.8838468,0.08409401,120.0,0.26501316
6,0.029505834,-1.5031804,0.3166666666666667,0.014750428,140.0,0.0,0.02766635,0.8828389,0.08337126,140.0,0.2647683
7,0.022435466,-1.5494596,0.10833333333333334,0.015582617,160.0,0.0,0.0278721,0.8824629,0.0829842,160.0,0.2646805
8,0.018042644,-1.2222036,0.2416666666666667,0.015361951,180.0,0.0,0.028270518,0.88171643,0.083273426,180.0,0.26449907
9,0.010735206,-1.2965666,0.3166666666666667,0.012676195,200.0,0.008333333333333333,0.028533101,0.88110685,0.08332535,200.0,0.2643304
10,0.010269177,-1.195789,0.15,0.011974511,220.0,0.008333333333333333,0.028912997,0.88021845,0.08368134,220.0,0.26407406
11,0.009885842,-1.2300366,0.47500000000000003,0.014679265,240.0,0.0,0.029206827,0.87913674,0.08391508,240.0,0.26376286
12,0.009908191,-1.2800194,0.4083333333333334,0.016992107,260.0,0.0,0.029409349,0.8788593,0.08391094,260.0,0.26369065
13,0.010144091,-1.2399353,0.11666666666666665,0.018999306,280.0,0.0,0.029603958,0.87926024,0.083966084,280.0,0.26379463
14,0.009200278,-1.2289671,0.5833333333333334,0.017042154,300.0,0.008333333333333333,0.029711356,0.878867,0.08387363,300.0,0.26368296
15,0.009631302,-1.2556638,0.8000000000000002,0.018991219,320.0,0.0,0.029883781,0.87886524,0.084063776,320.0,0.26367518
16,0.010460692,-1.2530092,0.26666666666666666,0.015862113,340.0,0.0,0.03003349,0.8784614,0.08423024,340.0,0.26356417
17,0.009963087,-1.4737225,0.5083333333333333,0.01698139,360.0,0.0,0.03016449,0.8782973,0.08432826,360.0,0.26351357
18,0.010551442,-1.4144038,0.7916666666666666,0.01568605,380.0,0.0,0.03028071,0.8777477,0.084434986,380.0,0.26336497
19,0.0108639365,-1.4119712,0.47500000000000003,0.015390083,400.0,0.0,0.030440202,0.8778784,0.08472421,400.0,0.26340306
