epoch,test/ag_g_dist,train/critic_loss,stats_g/mean,test/episode,train/episode,test/mean_Q,stats_g/std,stats_o/mean,train/success_rate,test/success_rate,stats_o/std
0,0.15193887,0.09334036,0.8790414,20.0,20.0,-0.76606005,0.09693276,0.26369634,0.0,0.0,0.030989325
1,0.15925099,0.056348223,0.8704873,40.0,40.0,-1.1777638,0.087635316,0.26149002,0.0,0.0,0.028349468
2,0.12787665,0.031294566,0.86990863,60.0,60.0,-1.6126375,0.08429607,0.26137054,0.0,0.0,0.027435223
3,0.11849079,0.02113606,0.8713002,80.0,80.0,-2.0039377,0.0819644,0.26156253,0.0,0.03333333333333333,0.026743824
4,0.08763454,0.021408439,0.8709368,100.0,100.0,-2.044267,0.08036677,0.26149577,0.0,0.008333333333333333,0.026279518
5,0.0923824,0.02240251,0.87000614,120.0,120.0,-2.0312846,0.07931394,0.26127836,0.0,0.20833333333333334,0.02596725
6,0.07209622,0.01855717,0.8699942,140.0,140.0,-2.0598688,0.07854172,0.2612776,0.008333333333333333,0.09999999999999999,0.025858441
7,0.058465336,0.020235801,0.8701453,160.0,160.0,-1.945397,0.07832941,0.261319,0.0,0.10833333333333334,0.02597629
8,0.06348341,0.021640278,0.8703546,180.0,180.0,-1.9774393,0.078693695,0.26137537,0.0,0.008333333333333333,0.026252503
9,0.045667484,0.020984298,0.8704601,200.0,200.0,-1.7090926,0.078906745,0.2613948,0.0,0.18333333333333335,0.026512945
10,0.026412176,0.020506784,0.8704314,220.0,220.0,-1.4086646,0.079371415,0.26140627,0.0,0.2333333333333333,0.026885018
11,0.016325688,0.02006395,0.8700588,240.0,240.0,-1.4200878,0.07977093,0.26129776,0.0,0.21666666666666665,0.02726235
12,0.010492836,0.021767119,0.8704536,260.0,260.0,-1.2838584,0.080072045,0.261402,0.0,0.325,0.02760763
13,0.010014628,0.020269634,0.87146276,280.0,280.0,-1.1739267,0.08051214,0.26167312,0.0,0.35000000000000003,0.02798003
14,0.009406817,0.02083097,0.87160444,300.0,300.0,-1.2288378,0.08063761,0.26171085,0.0,0.42500000000000004,0.028199956
15,0.010280133,0.023393147,0.8720708,320.0,320.0,-1.245306,0.081051566,0.26183403,0.0,0.4333333333333333,0.028482562
16,0.010529693,0.020573422,0.8720698,340.0,340.0,-1.3557354,0.08137394,0.26183477,0.0,0.31666666666666665,0.028715426
17,0.010138974,0.020934997,0.8722717,360.0,360.0,-1.3975092,0.08163657,0.26188296,0.0,0.4666666666666666,0.028929422
18,0.010906541,0.022494053,0.8720444,380.0,380.0,-1.5623583,0.081867605,0.26182416,0.0,0.5583333333333333,0.029111838
19,0.011014546,0.019657508,0.8724553,400.0,400.0,-1.4230164,0.08234188,0.26193923,0.0,0.48333333333333334,0.029352093
20,0.009672207,0.02047632,0.8728892,420.0,420.0,-1.3440357,0.08262387,0.26206443,0.0,0.5083333333333333,0.029526
21,0.0106312325,0.020999352,0.8728214,440.0,440.0,-1.544089,0.082719944,0.26204088,0.0,0.18333333333333335,0.029637238
22,0.009177943,0.018937226,0.8730112,460.0,460.0,-1.3938185,0.0827351,0.26209232,0.0,0.6083333333333333,0.029707959
23,0.010497257,0.027197197,0.8735004,480.0,480.0,-1.4629337,0.08288529,0.26222554,0.0,0.016666666666666666,0.02981312
24,0.010444298,0.021259135,0.87388587,500.0,500.0,-1.7044425,0.082957216,0.2623256,0.0,0.5166666666666667,0.029890293
25,0.013680923,0.026804253,0.8738629,520.0,520.0,-1.8696476,0.08304599,0.26232046,0.0,0.15833333333333335,0.029974937
26,0.01926831,0.024492102,0.87391067,540.0,540.0,-1.8410136,0.0831542,0.26233584,0.0,0.31666666666666665,0.030044535
27,0.017131926,0.020874634,0.87403274,560.0,560.0,-1.8017174,0.08311266,0.26237783,0.008333333333333333,0.425,0.030073082
28,0.023509825,0.023226283,0.8740973,580.0,580.0,-1.8356546,0.0833278,0.26238912,0.0,0.625,0.030161738
29,0.017517187,0.023541743,0.8739745,600.0,600.0,-1.5760212,0.0832709,0.2623571,0.0,0.325,0.030184293
30,0.033502094,0.034065828,0.87412834,620.0,620.0,-2.3386612,0.08328886,0.26240343,0.0,0.39166666666666666,0.03020229
31,0.022014678,0.024821604,0.8742444,640.0,640.0,-2.0304196,0.08326034,0.26244742,0.008333333333333333,0.3333333333333333,0.030223867
32,0.020085907,0.021501815,0.8743765,660.0,660.0,-1.917675,0.083302416,0.26249483,0.008333333333333333,0.5833333333333334,0.030263314
33,0.021072283,0.02796559,0.87453145,680.0,680.0,-1.8672613,0.083371215,0.26254186,0.0,0.3666666666666667,0.030305227
34,0.013962085,0.02362675,0.87476593,700.0,700.0,-1.571648,0.08341754,0.26260877,0.0,0.47500000000000003,0.030345416
35,0.014209208,0.028119689,0.8748682,720.0,720.0,-1.7129782,0.0834215,0.2626399,0.008333333333333333,0.008333333333333333,0.0303687
36,0.014179688,0.025433987,0.87504745,740.0,740.0,-1.7181345,0.083413385,0.26268983,0.0,0.6916666666666668,0.03039223
37,0.026238292,0.035020422,0.87514496,760.0,760.0,-2.7671223,0.08341537,0.26272097,0.0,0.0,0.030404603
38,0.016855646,0.029172638,0.87515354,780.0,780.0,-1.7892394,0.08347875,0.2627233,0.0,0.7333333333333334,0.030440465
39,0.018133923,0.025240794,0.87524986,800.0,800.0,-1.8281275,0.08353872,0.26274866,0.0,0.15,0.030474136
40,0.024225386,0.037807915,0.875313,820.0,820.0,-2.3166702,0.083606005,0.2627687,0.0,0.3416666666666666,0.030506918
41,0.020108465,0.032702263,0.87550765,840.0,840.0,-2.021922,0.08366913,0.2628234,0.0,0.4166666666666667,0.030542105
42,0.015779654,0.02552352,0.875494,860.0,860.0,-1.7590904,0.08371296,0.26282674,0.0,0.5833333333333334,0.030574432
43,0.023344554,0.02647228,0.8756102,880.0,880.0,-2.3062747,0.083738185,0.26286,0.0,0.7083333333333334,0.03059051
44,0.01994058,0.024400635,0.87560064,900.0,900.0,-2.1569927,0.08376601,0.26286328,0.0,0.30833333333333335,0.030613462
45,0.016159652,0.024163151,0.87570184,920.0,920.0,-1.9739848,0.08376902,0.262893,0.008333333333333333,0.3833333333333333,0.030626953
46,0.01644185,0.023753831,0.87572783,940.0,940.0,-1.8793224,0.0837996,0.2629003,0.0,0.48333333333333334,0.03064848
47,0.01852776,0.022873973,0.87577826,960.0,960.0,-2.085415,0.08395956,0.2629116,0.0,0.5416666666666666,0.030706847
48,0.016725587,0.024192566,0.8758607,980.0,980.0,-2.2163951,0.08394777,0.26293677,0.0,0.46666666666666673,0.030718276
49,0.0155193135,0.031877656,0.87598306,1000.0,1000.0,-2.0746567,0.083933555,0.2629686,0.0,0.4333333333333333,0.030726358
50,0.016977329,0.026374176,0.87601805,1020.0,1020.0,-2.3084524,0.083954066,0.26298007,0.0,0.45,0.0307405
51,0.017792266,0.018127447,0.8760256,1040.0,1040.0,-2.4253628,0.083970614,0.26298007,0.0,0.20833333333333334,0.030756071
52,0.020959591,0.034780707,0.8760938,1060.0,1060.0,-2.7908878,0.083940506,0.26299936,0.0,0.4083333333333334,0.030757442
53,0.01686118,0.034036208,0.8761525,1080.0,1080.0,-2.202009,0.08393332,0.26301488,0.0,0.15,0.030767426
54,0.01850349,0.02249741,0.8760347,1100.0,1100.0,-2.440472,0.084007144,0.26298046,0.0,0.5750000000000001,0.03079923
55,0.016491504,0.026102975,0.876116,1120.0,1120.0,-2.5869648,0.08403324,0.26299718,0.0,0.075,0.030815864
56,0.014845592,0.027864391,0.87629026,1140.0,1140.0,-1.9362422,0.084029734,0.2630429,0.0,0.8416666666666667,0.030825555
57,0.01499224,0.021742487,0.87620515,1160.0,1160.0,-2.0734198,0.083984435,0.26301712,0.0,0.875,0.030821567
58,0.013959058,0.021173945,0.8760713,1180.0,1180.0,-1.9964393,0.08403635,0.26297978,0.0,0.2916666666666667,0.030845389
59,0.019152688,0.06252595,0.8760502,1200.0,1200.0,-2.4432337,0.0840508,0.26297513,0.008333333333333333,0.15,0.030856704
