epoch,train/success_rate,test/ag_g_dist,stats_o/std,train/critic_loss,test/episode,train/episode,stats_o/mean,test/mean_Q,test/success_rate,stats_g/std,stats_g/mean
0,0.0,0.17852217,0.03149803,0.015637375,20.0,20.0,0.26410204,-1.3144826,0.0,0.099191874,0.8807818
1,0.0,0.11948807,0.028624212,0.017594688,40.0,40.0,0.2643473,-1.5992457,0.0,0.08886829,0.8812918
2,0.0,0.10584682,0.027458385,0.028321952,60.0,60.0,0.26527792,-1.8451554,0.025000000000000005,0.08447841,0.8844659
3,0.0,0.06668961,0.02680934,0.038314663,80.0,80.0,0.26583993,-1.8538843,0.09166666666666667,0.08210089,0.88697666
4,0.0,0.054178387,0.026599104,0.046996266,100.0,100.0,0.26588282,-1.7651896,0.11666666666666665,0.08103265,0.8868061
5,0.0,0.042253215,0.026769618,0.04927154,120.0,120.0,0.26555553,-1.7048525,0.0,0.08090822,0.8854194
6,0.0,0.029666292,0.027043387,0.043105677,140.0,140.0,0.26517546,-1.6608137,0.03333333333333333,0.08078658,0.88381195
7,0.0,0.019625878,0.027341584,0.042918086,160.0,160.0,0.26502824,-1.5090885,0.049999999999999996,0.08063813,0.8831788
8,0.0,0.017939217,0.027776131,0.049436927,180.0,180.0,0.26481444,-1.5178732,0.2583333333333333,0.08113142,0.88233393
9,0.0,0.011550755,0.028114462,0.04908253,200.0,200.0,0.26467317,-1.4896623,0.24166666666666667,0.08141163,0.88180846
10,0.0,0.00971419,0.028515875,0.04932354,220.0,220.0,0.2643989,-1.3813353,0.5583333333333335,0.08188873,0.8808748
11,0.0,0.009970301,0.02884891,0.048032958,240.0,240.0,0.264064,-1.4132681,0.44166666666666665,0.08227622,0.87973946
12,0.0,0.010026303,0.02908274,0.049435575,260.0,260.0,0.26397628,-1.5288721,0.525,0.082403414,0.8794357
13,0.0,0.009630166,0.029311776,0.047446907,280.0,280.0,0.26406255,-1.4779491,0.7000000000000001,0.08258868,0.87980604
14,0.0,0.009451809,0.029437816,0.048294093,300.0,300.0,0.26393923,-1.5851549,0.4833333333333334,0.08257818,0.8793952
15,0.0,0.011197061,0.029623533,0.05521987,320.0,320.0,0.2639222,-1.6564592,0.10000000000000002,0.0828301,0.8793767
16,0.0,0.010620949,0.02978774,0.04674059,340.0,340.0,0.26379842,-1.7306828,0.225,0.08305714,0.8789441
17,0.0,0.010598558,0.029928401,0.047916755,360.0,360.0,0.26373595,-1.5970453,0.041666666666666664,0.08320969,0.87876195
18,0.0,0.011702303,0.030056596,0.054233253,380.0,380.0,0.26357615,-1.9405371,0.15,0.08337543,0.8781894
