test/ag_g_dist,test/episode,test/mean_Q,train/success_rate,stats_o/mean,stats_g/mean,test/success_rate,stats_g/std,train/episode,stats_o/std,epoch,train/critic_loss
0.47873178,20.0,-3.0678432,0.0,0.17719634,0.7423646,0.0,0.120687164,100.0,0.056561697,0,0.08869306
0.44879922,40.0,-5.1705456,0.0,0.176516,0.74271077,0.0,0.12093195,200.0,0.05732748,1,0.114506185
0.426839,60.0,-7.3004913,0.0,0.1767556,0.7428257,0.0,0.12111992,300.0,0.056612182,2,0.08906134
0.46312633,80.0,-9.289544,0.0,0.17682612,0.7435085,0.0,0.12108802,400.0,0.05737083,3,0.09213931
0.44400135,100.0,-11.05753,0.0,0.17725867,0.7442979,0.0,0.121136606,500.0,0.057507318,4,0.115209155
0.47275218,120.0,-13.043137,0.0,0.1771881,0.7438031,0.0,0.12098459,600.0,0.057739604,5,0.08537502
0.45234275,140.0,-14.539323,0.0,0.17731558,0.74441975,0.0,0.12222666,700.0,0.0578232,6,0.14278527
0.40750313,160.0,-15.956833,0.0,0.17722976,0.74459904,0.0,0.12333629,800.0,0.057954308,7,0.11433729
0.4517236,180.0,-17.609407,0.0,0.1773002,0.7448563,0.0,0.12438989,900.0,0.058464173,8,0.10020276
0.4513383,200.0,-18.90548,0.0,0.17734335,0.7446061,0.0,0.1264378,1000.0,0.05941646,9,0.16989005
0.46746144,220.0,-20.44153,0.0,0.17731245,0.74468493,0.0,0.12865505,1100.0,0.06052668,10,0.22941113
0.46788356,240.0,-21.340094,0.0,0.17723782,0.7445631,0.0,0.1308264,1200.0,0.06187131,11,0.23296154
0.45501542,260.0,-22.049799,0.0,0.17739512,0.74483174,0.0,0.13277283,1300.0,0.06300149,12,0.2554945
0.4498085,280.0,-22.912424,0.0,0.17744762,0.7448587,0.0,0.13376679,1400.0,0.06435163,13,0.2802377
0.4280131,300.0,-24.102364,0.0,0.17762321,0.7456375,0.0,0.13500006,1500.0,0.06506754,14,0.12039125
0.42149726,320.0,-24.631226,0.0,0.17784066,0.746465,0.0,0.13702898,1600.0,0.06584482,15,0.3648015
0.4214543,340.0,-25.72056,0.0,0.17786519,0.746846,0.0,0.1377184,1700.0,0.065964,16,0.24239469
0.4390242,360.0,-27.185064,0.0,0.17793034,0.7472393,0.0,0.13876031,1800.0,0.06635149,17,0.2070568
0.45130762,380.0,-28.682335,0.0,0.17802946,0.74762243,0.0,0.14039244,1900.0,0.0667416,18,0.28676173
0.4535809,400.0,-29.16776,0.0,0.17812176,0.7478199,0.0,0.14166076,2000.0,0.06724936,19,0.21731639
0.4284968,420.0,-28.816156,0.0,0.17816855,0.74811006,0.0,0.14244053,2100.0,0.06748284,20,0.3927772
0.4504722,440.0,-30.413961,0.0,0.17819138,0.748179,0.0,0.14340946,2200.0,0.06792365,21,0.38305542
0.42723086,460.0,-30.922094,0.0,0.17813635,0.7483349,0.0,0.14473678,2300.0,0.06860283,22,0.31293282
0.45226362,480.0,-31.485285,0.0,0.17819016,0.7485681,0.0,0.14586689,2400.0,0.06904729,23,0.28343198
0.39183378,500.0,-30.966972,0.0,0.17815435,0.748739,0.0,0.14675154,2500.0,0.06959841,24,0.38229927
0.4401238,520.0,-33.417973,0.0,0.17820315,0.74909776,0.0,0.14762169,2600.0,0.070279025,25,0.32143104
0.40239623,540.0,-31.446268,0.0,0.17822449,0.7495396,0.0,0.14927538,2700.0,0.07116093,26,0.3684505
0.411469,560.0,-32.367016,0.0,0.17830986,0.7501603,0.0,0.15054189,2800.0,0.07187817,27,0.35415754
0.38945928,580.0,-31.68461,0.0,0.17838186,0.7506754,0.0,0.15204006,2900.0,0.072868474,28,0.4373473
0.42562306,600.0,-32.451115,0.0,0.17849523,0.75131434,0.0,0.15363094,3000.0,0.07390204,29,0.370751
0.38187554,620.0,-32.22019,0.0,0.17861153,0.752045,0.0,0.15547438,3100.0,0.07506831,30,0.47268185
0.3644282,640.0,-31.321737,0.0,0.17874329,0.7526708,0.0,0.15743081,3200.0,0.07622399,31,0.6511741
0.40949783,660.0,-31.638681,0.0,0.17877917,0.7528503,0.0,0.15968727,3300.0,0.07735823,32,0.42015672
0.45345306,680.0,-32.32639,0.0,0.17887062,0.7531398,0.0,0.16200674,3400.0,0.07887953,33,0.74324775
0.41472268,700.0,-32.364902,0.0,0.1788829,0.7531154,0.0,0.16419397,3500.0,0.07998949,34,0.5767178
0.41308174,720.0,-31.885744,0.0,0.17900209,0.7534556,0.0,0.16565754,3600.0,0.08097055,35,0.49316597
0.42582455,740.0,-32.68613,0.0,0.17903371,0.7533965,0.0,0.1672421,3700.0,0.081959315,36,0.55048275
0.37059808,760.0,-31.328741,0.0,0.17915922,0.75377816,0.0,0.16810389,3800.0,0.08263826,37,0.8847721
0.3422184,780.0,-29.985567,0.0,0.17935808,0.7545187,0.0,0.1684246,3900.0,0.08293309,38,0.6958466
0.39024153,800.0,-31.271685,0.0,0.17955486,0.7553105,0.0,0.16863002,4000.0,0.08314864,39,0.5158153
0.36766502,820.0,-30.487467,0.0,0.17978068,0.75619406,0.0,0.16888286,4100.0,0.08338716,40,0.6249078
0.34478816,840.0,-30.242981,0.0,0.18004866,0.7572964,0.0,0.16921164,4200.0,0.08369147,41,0.6642146
0.31295308,860.0,-28.662315,0.0,0.18024223,0.7581539,0.0,0.16900545,4300.0,0.083705455,42,0.6002045
0.33572185,880.0,-29.894556,0.0,0.18049757,0.7591119,0.0,0.16895998,4400.0,0.08374379,43,0.6243427
0.30756667,900.0,-29.327204,0.0,0.18078728,0.7603192,0.0,0.16906267,4500.0,0.08380266,44,0.838315
0.30630755,920.0,-27.992378,0.0,0.18107289,0.76144034,0.0,0.16905,4600.0,0.08390191,45,0.76411957
0.34116468,940.0,-29.511663,0.0,0.1812504,0.76230687,0.0,0.16888748,4700.0,0.08381591,46,0.4537097
0.30560696,960.0,-28.66453,0.0,0.18140475,0.7631615,0.0,0.16884218,4800.0,0.083740436,47,0.61185366
0.29190516,980.0,-27.8635,0.0,0.18162338,0.7641457,0.0,0.1688589,4900.0,0.08380433,48,0.9111011
0.3132737,1000.0,-29.91746,0.0016666666666666668,0.18177217,0.76502055,0.0,0.16863851,5000.0,0.08379862,49,0.6347465
0.3527874,1020.0,-28.656836,0.0,0.18196093,0.76589984,0.0,0.1686898,5100.0,0.08388001,50,0.92711145
0.31212932,1040.0,-28.041513,0.0,0.18205412,0.76674443,0.0,0.1684205,5200.0,0.08393338,51,1.0339423
0.31047592,1060.0,-28.883883,0.0,0.18219776,0.7675498,0.0,0.16832392,5300.0,0.08397299,52,0.57345647
0.2542499,1080.0,-26.040237,0.0,0.18240058,0.7685034,0.0,0.168297,5400.0,0.08413888,53,0.929353
0.24795134,1100.0,-26.34697,0.0,0.18261431,0.76947993,0.0,0.16816632,5500.0,0.084316365,54,0.67995423
0.26220623,1120.0,-24.637154,0.0,0.18279116,0.7703467,0.0,0.16813032,5600.0,0.08461193,55,0.75380397
0.2387022,1140.0,-25.470667,0.0,0.18301113,0.77131444,0.0,0.16819811,5700.0,0.08485984,56,0.8040437
0.25028008,1160.0,-26.26391,0.0,0.18322714,0.77216786,0.0,0.16818047,5800.0,0.08501628,57,0.63604975
0.23869677,1180.0,-25.92161,0.0,0.183456,0.77297705,0.0,0.16809453,5900.0,0.08517331,58,0.75103664
0.2845792,1200.0,-26.409357,0.0,0.18365042,0.7738703,0.0,0.16804843,6000.0,0.08529672,59,0.72172356
0.23854911,1220.0,-24.958475,0.0,0.18378563,0.7745688,0.0,0.16816576,6100.0,0.085452996,60,0.82561326
0.2392462,1240.0,-26.641485,0.0,0.18390732,0.77514976,0.0,0.16823089,6200.0,0.08559111,61,0.69808704
0.2285351,1260.0,-25.792334,0.0,0.18402104,0.77571106,0.0,0.16826735,6300.0,0.08569554,62,0.5587979
0.21449542,1280.0,-25.616121,0.0,0.18417467,0.77639866,0.0,0.16815376,6400.0,0.085756324,63,0.85480803
0.21853773,1300.0,-25.240318,0.0,0.18436354,0.7770899,0.0,0.16811115,6500.0,0.08583927,64,0.98011893
0.27216962,1320.0,-25.803732,0.0,0.18454354,0.777811,0.0,0.16804938,6600.0,0.08588412,65,0.7765872
0.18809767,1340.0,-26.198038,0.0,0.18471654,0.77839035,0.0,0.16803451,6700.0,0.0859647,66,0.7258947
0.23233102,1360.0,-25.688736,0.0,0.18487118,0.77905846,0.0,0.16795556,6800.0,0.08602703,67,0.8198698
0.24769513,1380.0,-25.053864,0.0,0.18496704,0.77956676,0.0,0.16802818,6900.0,0.0861148,68,1.164661
0.24743213,1400.0,-25.451666,0.0,0.1850733,0.78005433,0.0,0.16803718,7000.0,0.086185634,69,1.1844966
0.26448795,1420.0,-26.525522,0.0,0.18514474,0.78052384,0.0,0.1678801,7100.0,0.0862065,70,0.54119796
0.23300289,1440.0,-26.103323,0.0,0.18524666,0.78111356,0.0,0.1678258,7200.0,0.086259164,71,0.86804295
0.26857126,1460.0,-26.493767,0.0,0.18533738,0.78158975,0.0,0.1676951,7300.0,0.08631509,72,0.7921593
0.2455643,1480.0,-25.085907,0.0,0.18541105,0.7820897,0.0,0.1675787,7400.0,0.08638934,73,0.89179105
0.24117725,1500.0,-25.371277,0.0,0.18546951,0.78251964,0.0,0.16746737,7500.0,0.0864309,74,0.75287837
0.25217888,1520.0,-25.653845,0.0,0.18551908,0.78302234,0.0,0.16732244,7600.0,0.08647826,75,0.81851625
0.19529915,1540.0,-24.575699,0.0,0.18557139,0.78349733,0.0,0.16732949,7700.0,0.08668075,76,1.1231657
0.21943651,1560.0,-24.540169,0.0016666666666666668,0.18560393,0.7839592,0.0,0.16723984,7800.0,0.08682885,77,0.9270722
0.2286473,1580.0,-24.46493,0.0,0.18563926,0.7844294,0.0,0.16718383,7900.0,0.0870165,78,0.78715414
0.1996383,1600.0,-25.566269,0.0,0.1856821,0.7849462,0.0,0.16716583,8000.0,0.08714988,79,0.6437678
0.2518148,1620.0,-25.757126,0.0,0.18572088,0.7853947,0.0,0.1671323,8100.0,0.08729181,80,0.8218233
0.22387235,1640.0,-25.861639,0.0,0.18576615,0.7858949,0.0,0.1670767,8200.0,0.087412976,81,1.0546983
0.26475012,1660.0,-25.78066,0.0,0.18581979,0.7863758,0.0,0.16705137,8300.0,0.087475665,82,1.2055191
0.24613242,1680.0,-26.153452,0.0,0.18587397,0.78677064,0.0,0.167017,8400.0,0.08750834,83,1.0468742
0.22429429,1700.0,-24.469717,0.0,0.18592145,0.7872143,0.0,0.1670285,8500.0,0.08757088,84,1.1355301
0.24001168,1720.0,-25.868637,0.0,0.1859637,0.7875809,0.0,0.16702361,8600.0,0.08760997,85,1.2867434
0.26843214,1740.0,-24.941162,0.0,0.18600641,0.78801227,0.0,0.16693681,8700.0,0.08766842,86,0.8066861
0.27361026,1760.0,-25.036911,0.0,0.1860707,0.7883882,0.0,0.1668527,8800.0,0.08765326,87,0.73214716
0.2607277,1780.0,-27.22405,0.0,0.18611847,0.788699,0.0,0.16675769,8900.0,0.08767726,88,0.6066893
0.2871452,1800.0,-25.553102,0.0,0.18617527,0.7890665,0.0,0.16667356,9000.0,0.087672226,89,1.1279672
0.23051196,1820.0,-25.406683,0.0,0.1862335,0.7893867,0.0,0.16658492,9100.0,0.08766142,90,1.3868364
0.2633742,1840.0,-25.551199,0.0016666666666666668,0.18628542,0.7896183,0.0,0.1664901,9200.0,0.08764217,91,1.3119311
0.3077282,1860.0,-26.111526,0.0,0.18635958,0.7899847,0.0,0.16639699,9300.0,0.08765331,92,1.0768081
0.27385196,1880.0,-27.448313,0.0016666666666666668,0.18643357,0.79032403,0.0,0.16623822,9400.0,0.08766237,93,0.9446774
0.24383895,1900.0,-26.324606,0.0,0.18650931,0.79066974,0.008333333333333333,0.16614108,9500.0,0.08765513,94,1.2057077
0.27676606,1920.0,-26.9299,0.0,0.1865781,0.7909984,0.0,0.166059,9600.0,0.08762565,95,0.8675689
0.22854324,1940.0,-26.047432,0.0,0.18666996,0.79135853,0.0,0.16597681,9700.0,0.08760203,96,1.2300682
0.21136968,1960.0,-26.33593,0.0,0.18674727,0.79173654,0.0,0.16594155,9800.0,0.087646164,97,0.993715
0.2313401,1980.0,-25.47152,0.0,0.18681066,0.79209185,0.0,0.16593494,9900.0,0.08764728,98,0.8743534
0.23554112,2000.0,-26.297934,0.0,0.18685703,0.7924092,0.0,0.16595818,10000.0,0.08767865,99,1.2153593
0.2215863,2020.0,-26.284494,0.0,0.18693501,0.7927515,0.0,0.16587222,10100.0,0.08770203,100,0.8061983
0.23067854,2040.0,-26.29055,0.0,0.18700804,0.7931289,0.0,0.1657663,10200.0,0.08769331,101,1.4050184
0.24574214,2060.0,-26.22767,0.0,0.18708105,0.7934323,0.0,0.16570842,10300.0,0.08771785,102,1.4108219
