test/success_rate,stats_o/std,test/mean_Q,stats_g/std,train/critic_loss,train/episode,train/success_rate,stats_o/mean,stats_g/mean,epoch,test/episode,test/ag_g_dist
0.0,0.05608235,-2.5075395,0.12025812,0.088277556,100.0,0.0,0.1768065,0.7414395,0,20.0,0.4791175
0.0,0.056067523,-4.588778,0.119067244,0.081544325,200.0,0.0,0.1763882,0.7421022,1,40.0,0.44879922
0.0,0.056275453,-6.650046,0.12053567,0.16212077,300.0,0.0,0.17683822,0.7428147,2,60.0,0.427065
0.0,0.05650757,-8.686843,0.12170278,0.07580471,400.0,0.0,0.17717226,0.7435594,3,80.0,0.46203852
0.0,0.05712034,-10.5639,0.12272673,0.10283938,500.0,0.0,0.17759359,0.7447646,4,100.0,0.44495544
0.0,0.057874408,-12.413903,0.123798035,0.12265936,600.0,0.0,0.17744333,0.744495,5,120.0,0.46999893
0.0,0.058253836,-13.894376,0.12376814,0.107578136,700.0,0.0,0.1775307,0.7447896,6,140.0,0.45144603
0.0,0.059271265,-15.550427,0.12512672,0.119686484,800.0,0.0,0.17746739,0.7448376,7,160.0,0.41283536
0.0,0.059704762,-17.338474,0.1265132,0.09292195,900.0,0.0,0.1774606,0.74494594,8,180.0,0.46621475
0.0,0.060851622,-18.885199,0.12918603,0.10097129,1000.0,0.0,0.17762177,0.7451207,9,200.0,0.47331488
0.0,0.062440917,-19.906197,0.13281704,0.12145052,1100.0,0.0,0.17772429,0.74536794,10,220.0,0.47616324
0.0,0.064583994,-21.432219,0.13674709,0.20584369,1200.0,0.0,0.17777716,0.7458949,11,240.0,0.49235678
0.0,0.06622911,-22.065195,0.14023197,0.14120412,1300.0,0.0,0.1779145,0.7465438,12,260.0,0.48009935
0.0,0.06830624,-23.03251,0.14416352,0.2608279,1400.0,0.0,0.17801952,0.74685556,13,280.0,0.48180676
0.0,0.07060494,-23.81182,0.14986067,0.20496492,1500.0,0.0,0.1782943,0.74766666,14,300.0,0.462918
0.0,0.07347377,-24.230844,0.156911,0.2642465,1600.0,0.0,0.17872041,0.7487603,15,320.0,0.49641037
0.0,0.077564895,-23.867592,0.1651187,0.2890791,1700.0,0.0,0.17902906,0.74951404,16,340.0,0.44190454
0.0,0.08013406,-24.719614,0.17049879,0.30414054,1800.0,0.0,0.17926995,0.75063396,17,360.0,0.4411714
0.0,0.08315382,-24.705374,0.17571431,0.3048242,1900.0,0.0,0.17947005,0.75145394,18,380.0,0.4720546
0.0,0.08583931,-25.784445,0.18033658,0.3998249,2000.0,0.0,0.17957743,0.7524483,19,400.0,0.5172945
0.0,0.087842606,-22.526619,0.18369646,0.46570006,2100.0,0.0,0.17964531,0.753684,20,420.0,0.46699247
0.0,0.089506775,-23.222933,0.18519162,0.43079367,2200.0,0.0,0.17967659,0.75466806,21,440.0,0.4595549
0.0,0.09060546,-24.503717,0.18606138,0.38044962,2300.0,0.0,0.17982809,0.7558411,22,460.0,0.41120687
0.0,0.09155511,-25.238764,0.18721437,0.30202994,2400.0,0.0,0.18002714,0.7573154,23,480.0,0.45616063
0.0,0.093067504,-24.129763,0.18949145,0.4195508,2500.0,0.0,0.1803735,0.7595415,24,500.0,0.3976089
0.0,0.093985416,-23.913748,0.19159965,0.5421905,2600.0,0.0,0.18067081,0.7611653,25,520.0,0.3635385
0.0,0.09497782,-24.320435,0.19302098,0.4062365,2700.0,0.0,0.1809241,0.76271325,26,540.0,0.40447608
0.0,0.095727354,-23.53573,0.19435139,0.5119946,2800.0,0.0,0.18120594,0.76455504,27,560.0,0.39010748
0.0,0.096157886,-23.938593,0.19472796,0.5036028,2900.0,0.0,0.18142112,0.7659461,28,580.0,0.37842497
0.0,0.09696723,-24.513327,0.19568564,0.47038826,3000.0,0.0,0.18170388,0.7675716,29,600.0,0.40418005
0.0,0.0973383,-25.275824,0.19572847,0.7720813,3100.0,0.0,0.18189119,0.7687296,30,620.0,0.3653991
0.0,0.09789014,-23.337097,0.19619827,0.4946843,3200.0,0.0,0.18211253,0.7701948,31,640.0,0.29726908
0.0,0.09825009,-22.160418,0.19662821,0.734669,3300.0,0.0,0.18236057,0.771472,32,660.0,0.30279288
