stats_g/std,test/ag_g_dist,test/episode,test/mean_Q,stats_o/mean,train/critic_loss,test/success_rate,epoch,train/success_rate,stats_o/std,train/episode,stats_g/mean
0.12134548,0.47855118,20.0,-3.0409,0.17678829,0.24609815,0.0,0,0.0,0.056633104,100.0,0.74257976
0.12191226,0.44875717,40.0,-5.171012,0.17613505,0.32545677,0.0,1,0.0,0.055875644,200.0,0.74203366
0.12119051,0.4261242,60.0,-7.4973626,0.1766596,1.5274477,0.0,2,0.0,0.055633068,300.0,0.74300116
0.122359194,0.46202362,80.0,-9.292102,0.17686747,0.1727597,0.0,3,0.0,0.056745995,400.0,0.7435543
0.122360915,0.448274,100.0,-11.031911,0.17722695,0.60689664,0.0,4,0.0,0.056960825,500.0,0.7448444
0.122494884,0.4730045,120.0,-12.788078,0.17717333,0.9484808,0.0,5,0.0,0.057697,600.0,0.7444105
0.12525347,0.45643243,140.0,-14.398761,0.17734289,0.40991828,0.0,6,0.0,0.05842753,700.0,0.7447874
0.12635918,0.4149206,160.0,-16.105766,0.1772774,0.6007595,0.0,7,0.0,0.058409214,800.0,0.74467444
0.12852608,0.4643773,180.0,-17.795294,0.17731887,0.21832335,0.0,8,0.0,0.059054602,900.0,0.7445452
0.13059734,0.45437872,200.0,-19.194313,0.17753641,0.49641502,0.0,9,0.0,0.060041517,1000.0,0.74450725
0.1329761,0.4776175,220.0,-20.396019,0.17761378,0.38170493,0.0,10,0.0,0.06118658,1100.0,0.7449615
0.13645075,0.488243,240.0,-21.628836,0.1778111,0.4616398,0.0,11,0.0,0.062697046,1200.0,0.7458654
0.14109588,0.49414453,260.0,-22.724571,0.17809959,0.7404962,0.0,12,0.0,0.06470102,1300.0,0.7469736
0.14762066,0.47359303,280.0,-23.040297,0.17834492,0.77554965,0.0,13,0.0,0.067591384,1400.0,0.74768263
0.1536647,0.47612545,300.0,-23.04101,0.17848374,0.6656896,0.0,14,0.0,0.07025199,1500.0,0.7485798
0.15929754,0.4500701,320.0,-23.707403,0.17868656,0.93322915,0.0,15,0.0,0.07294956,1600.0,0.7499009
0.16364607,0.46058023,340.0,-22.514282,0.17872876,0.8540842,0.0,16,0.0,0.07523615,1700.0,0.7503616
0.16592108,0.42180642,360.0,-21.999084,0.1789418,0.841368,0.0,17,0.0,0.076461084,1800.0,0.7512557
0.16949064,0.43448377,380.0,-24.308077,0.179154,1.0297402,0.0,18,0.0,0.07859807,1900.0,0.75236076
0.17289925,0.4237138,400.0,-24.526346,0.17931505,1.1570114,0.0,19,0.0,0.080266915,2000.0,0.753254
0.17637968,0.41998816,420.0,-23.835129,0.17952497,0.9834283,0.0,20,0.0,0.082077764,2100.0,0.7545071
0.17910337,0.37727246,440.0,-23.000257,0.17977542,1.4982594,0.0,21,0.0,0.0840297,2200.0,0.7555894
0.1816376,0.4051498,460.0,-22.719015,0.17998241,1.1649312,0.0,22,0.0,0.08575835,2300.0,0.7568004
0.18378435,0.3889911,480.0,-23.22377,0.18031101,1.2841872,0.0,23,0.0,0.0868844,2400.0,0.75824076
0.18657368,0.39303207,500.0,-23.369179,0.18058492,1.929431,0.0,24,0.0,0.08869923,2500.0,0.75953394
0.1889649,0.3828412,520.0,-22.77147,0.18088138,1.5260967,0.0,25,0.0,0.09008523,2600.0,0.7608602
0.19094354,0.3713223,540.0,-22.962769,0.18118714,1.0043572,0.0,26,0.0,0.09118453,2700.0,0.7622435
0.19292665,0.38649663,560.0,-24.124014,0.18148595,1.4764665,0.0,27,0.0,0.09269703,2800.0,0.76377106
0.1940222,0.33892867,580.0,-22.111252,0.18187119,1.0207195,0.0,28,0.0,0.09378901,2900.0,0.7654552
0.19507651,0.35553578,600.0,-22.73449,0.18226808,1.1723391,0.0,29,0.0,0.09488759,3000.0,0.76733804
0.19605774,0.34197748,620.0,-23.500711,0.18259235,2.6532967,0.0,30,0.0,0.09593418,3100.0,0.7690194
0.19674164,0.31873596,640.0,-22.264761,0.18298884,2.3054872,0.0,31,0.0,0.096722096,3200.0,0.7709384
0.19721316,0.337912,660.0,-23.109835,0.18323703,1.7381324,0.0,32,0.0,0.09729573,3300.0,0.772332
0.19774352,0.3764478,680.0,-24.783777,0.18349124,1.9472767,0.0,33,0.0,0.09785986,3400.0,0.77368957
0.19871818,0.33764958,700.0,-21.933817,0.18375826,2.417307,0.0,34,0.0,0.09857289,3500.0,0.7748541
0.1991315,0.3226473,720.0,-22.00373,0.1840498,1.8817676,0.0,35,0.0,0.09911481,3600.0,0.7762025
0.19952472,0.3289476,740.0,-24.345802,0.18435024,2.1392689,0.0,36,0.0,0.099621445,3700.0,0.7776138
0.1994648,0.30732512,760.0,-22.769928,0.1845897,1.0270224,0.0,37,0.0,0.09977388,3800.0,0.77891517
0.19971223,0.31441852,780.0,-23.83529,0.18489139,2.4869068,0.0,38,0.0,0.100018196,3900.0,0.7804611
0.19967872,0.3161671,800.0,-22.139715,0.18518053,3.1056635,0.0,39,0.0,0.10017607,4000.0,0.78192043
0.19966306,0.29371926,820.0,-24.79262,0.18545367,2.1690073,0.0,40,0.0,0.10034177,4100.0,0.78321034
0.19956541,0.2932776,840.0,-20.293036,0.18569253,4.326299,0.0,41,0.0,0.10038642,4200.0,0.7843532
0.19947886,0.29453593,860.0,-22.567884,0.18592562,2.7403047,0.0,42,0.0,0.10055634,4300.0,0.7855515
0.19948006,0.29170308,880.0,-24.947317,0.18614556,2.2239645,0.0,43,0.0,0.100715786,4400.0,0.7865909
0.199224,0.29009086,900.0,-22.55602,0.18640333,2.903237,0.0,44,0.0,0.10076818,4500.0,0.78771657
0.19900745,0.2724224,920.0,-24.304636,0.18665381,3.4033945,0.0,45,0.0,0.10083636,4600.0,0.7886507
0.19853292,0.30193835,940.0,-24.00522,0.18676235,3.6761768,0.0,46,0.0,0.100828804,4700.0,0.78933454
0.1981716,0.32464454,960.0,-25.871996,0.18687336,4.049706,0.0,47,0.0,0.10066792,4800.0,0.78994995
0.1976823,0.2817638,980.0,-23.078817,0.18702133,4.0629225,0.0,48,0.0,0.100559175,4900.0,0.7906072
0.19746436,0.29245892,1000.0,-24.431387,0.1871217,2.5088904,0.0,49,0.0,0.10060451,5000.0,0.7912319
0.1971388,0.24416555,1020.0,-25.716604,0.1872461,2.147222,0.0,50,0.0,0.100551285,5100.0,0.7918267
0.19678251,0.23407023,1040.0,-25.45427,0.18737751,2.9833996,0.0,51,0.0,0.1004428,5200.0,0.79261065
0.1965987,0.25148535,1060.0,-24.681671,0.18749969,3.958418,0.0,52,0.0,0.100493155,5300.0,0.79320145
0.19622473,0.24780454,1080.0,-25.678513,0.18767072,4.0159993,0.0,53,0.0,0.10044581,5400.0,0.79391414
0.19591217,0.2408946,1100.0,-23.651566,0.1877914,2.565244,0.0,54,0.0,0.1004614,5500.0,0.7945053
0.1956156,0.23040883,1120.0,-27.290178,0.18788542,2.6216595,0.008333333333333333,55,0.0,0.10052232,5600.0,0.7950273
