test/episode,test/success_rate,train/episode,stats_g/std,test/ag_g_dist,train/success_rate,stats_o/mean,train/critic_loss,stats_g/mean,stats_o/std,test/mean_Q,epoch
20.0,0.0,100.0,0.22289522,1.0347345,0.0,0.19736679,0.08803671,0.3843802,0.755044,-2.1360917,0
40.0,0.0,200.0,0.22377796,0.9699378,0.0,0.20065475,0.07455116,0.38288823,0.7544177,-4.3552265,1
60.0,0.0,300.0,0.22505887,0.9725339,0.0033333333333333335,0.20158882,0.0749826,0.38370672,0.75112534,-6.566883,2
80.0,0.016666666666666666,400.0,0.22568798,0.98730326,0.0033333333333333335,0.20139147,0.0754044,0.3828008,0.75265247,-8.399024,3
100.0,0.016666666666666666,500.0,0.22650225,0.96452206,0.0,0.20156817,0.08698905,0.3830519,0.75438195,-10.2660055,4
120.0,0.041666666666666664,600.0,0.2263559,0.98078823,0.013333333333333334,0.20159082,0.090815246,0.38321987,0.75472385,-11.971703,5
140.0,0.025000000000000005,700.0,0.22651763,1.0029188,0.016666666666666666,0.20161791,0.09000883,0.3840885,0.7574857,-13.722674,6
160.0,0.05833333333333334,800.0,0.22730248,0.8780596,0.01,0.20160107,0.09582126,0.38383874,0.7600691,-14.170467,7
180.0,0.049999999999999996,900.0,0.22782259,0.9797513,0.023333333333333334,0.20141451,0.095019065,0.38365325,0.7642371,-16.310219,8
200.0,0.05833333333333334,1000.0,0.22841819,0.9524185,0.02666666666666667,0.20111738,0.099693,0.38311157,0.76838106,-17.545088,9
220.0,0.041666666666666664,1100.0,0.22917272,1.0179814,0.02666666666666667,0.20077175,0.10676842,0.38253126,0.7723982,-19.601297,10
240.0,0.11666666666666665,1200.0,0.22947152,0.8821637,0.045000000000000005,0.20052189,0.10643644,0.38236913,0.7768461,-18.75365,11
260.0,0.09166666666666667,1300.0,0.22988681,0.9966094,0.03,0.20030773,0.11032572,0.382243,0.7826852,-20.675352,12
280.0,0.17499999999999996,1400.0,0.23007445,0.8335909,0.049999999999999996,0.20016862,0.10555172,0.38203582,0.78827447,-19.340149,13
300.0,0.075,1500.0,0.23060317,0.92353934,0.041666666666666664,0.19996625,0.111070395,0.38172457,0.79379815,-21.936056,14
320.0,0.1416666666666667,1600.0,0.2309302,0.84595084,0.04,0.19976993,0.11836662,0.38147536,0.7984576,-21.119001,15
340.0,0.10000000000000002,1700.0,0.23107962,0.88168544,0.05499999999999999,0.19967675,0.12087598,0.38127723,0.80328965,-22.678076,16
360.0,0.10000000000000002,1800.0,0.23143971,0.937113,0.04,0.19945031,0.11475047,0.38094822,0.8089072,-25.65863,17
380.0,0.1416666666666667,1900.0,0.23176713,0.88905257,0.07,0.19929181,0.12597278,0.3806108,0.81399745,-23.858374,18
400.0,0.15,2000.0,0.23209202,0.8186555,0.07333333333333333,0.19904447,0.12438109,0.38048604,0.8191059,-23.66208,19
420.0,0.15,2100.0,0.23215532,0.88683224,0.07,0.19874342,0.1269028,0.3802742,0.8243577,-25.489523,20
440.0,0.16666666666666666,2200.0,0.2322192,0.79905456,0.05333333333333334,0.19837905,0.13064906,0.38040635,0.8299401,-24.072618,21
460.0,0.11666666666666665,2300.0,0.2322732,0.82459575,0.08833333333333333,0.19798034,0.12465113,0.38047314,0.83505076,-25.92048,22
480.0,0.20000000000000004,2400.0,0.23217595,0.7394549,0.09500000000000001,0.19760363,0.13146518,0.38028064,0.8407874,-22.879305,23
