train/success_rate,train/episode,test/episode,stats_o/mean,epoch,stats_g/std,test/ag_g_dist,train/critic_loss,test/mean_Q,test/success_rate,stats_g/mean,stats_o/std
0.0,100.0,20.0,0.19322605,0,0.23530595,1.012682,0.038064096,-2.7034576,0.0,0.37153387,0.7616472
0.0,200.0,40.0,0.19764246,1,0.23699935,1.0214798,0.053232178,-4.396417,0.0,0.37359062,0.7682206
0.0,300.0,60.0,0.19663723,2,0.2390467,0.9691407,0.08001345,-6.105985,0.0,0.37414137,0.77476865
0.0,400.0,80.0,0.19666417,3,0.23824938,1.0451418,0.080062024,-8.435068,0.0,0.37469506,0.7768734
0.0,500.0,100.0,0.19701652,4,0.23786347,0.9881907,0.10052729,-10.248516,0.0,0.37507847,0.77572876
0.0,600.0,120.0,0.19695275,5,0.23822309,1.0014714,0.11032119,-12.271164,0.0,0.37598744,0.7730451
0.0,700.0,140.0,0.19710141,6,0.23877887,1.0778317,0.12023101,-14.389302,0.0,0.37633228,0.77346843
0.0,800.0,160.0,0.19716066,7,0.23878081,0.96196896,0.13267905,-15.547504,0.0,0.37576875,0.7736004
0.0,900.0,180.0,0.19730164,8,0.23908491,0.89993376,0.120482594,-16.583158,0.0,0.37517205,0.7751491
0.0,1000.0,200.0,0.19717294,9,0.23956108,0.99691707,0.13777642,-18.801828,0.0,0.37522224,0.7766363
0.0,1100.0,220.0,0.19714503,10,0.23993294,0.97567606,0.14026357,-20.011719,0.0,0.37501237,0.7786065
0.0,1200.0,240.0,0.1970185,11,0.24032103,0.9895604,0.15201007,-21.0908,0.0,0.3748004,0.7809494
0.0,1300.0,260.0,0.19693853,12,0.24093549,0.96350425,0.15927722,-22.133804,0.0,0.37427893,0.7846585
0.0,1400.0,280.0,0.19681306,13,0.24147673,0.8827731,0.19613439,-21.81104,0.0,0.37367705,0.7896188
0.0,1500.0,300.0,0.19685264,14,0.2416585,0.9626468,0.20313478,-24.893717,0.0,0.37332383,0.7944944
0.0,1600.0,320.0,0.19670449,15,0.24153502,0.83408946,0.20836453,-24.449255,0.0,0.37367895,0.7998478
0.0,1700.0,340.0,0.1962982,16,0.24177484,0.8358765,0.24749513,-25.185928,0.0,0.37291804,0.8054417
0.0,1800.0,360.0,0.19614838,17,0.2415679,0.90629,0.25065657,-26.851164,0.0,0.37262002,0.81112385
0.0,1900.0,380.0,0.19603087,18,0.24140687,0.7729883,0.2923527,-23.462486,0.0,0.37273034,0.8175848
0.0,2000.0,400.0,0.19593674,19,0.24126638,0.67248225,0.29705897,-23.537079,0.0,0.37290835,0.82389927
0.0,2100.0,420.0,0.19559936,20,0.24134861,0.72177345,0.28921768,-25.99938,0.0,0.37312713,0.8305897
0.0,2200.0,440.0,0.19541876,21,0.24141721,0.7403546,0.33073863,-26.63148,0.0,0.37313387,0.836353
