test/ag_g_dist,stats_g/mean,test/episode,test/mean_Q,train/critic_loss,train/episode,stats_g/std,stats_o/mean,train/success_rate,epoch,stats_o/std,test/success_rate
0.99780685,0.36937365,20.0,-2.7788448,0.043570276,100.0,0.23634242,0.19405039,0.0,0,0.75407964,0.0
1.0134852,0.37610054,40.0,-4.8265557,0.058948588,200.0,0.23765397,0.19591822,0.0,1,0.75292,0.0
0.9734065,0.37695727,60.0,-6.834934,0.060947996,300.0,0.23795252,0.19477057,0.0,2,0.7535793,0.0
1.0473062,0.37841472,80.0,-9.155035,0.077399336,400.0,0.23715346,0.19460674,0.0,3,0.7559082,0.0
0.99001235,0.37796703,100.0,-10.646022,0.08942288,500.0,0.23732638,0.19427527,0.0,4,0.75766546,0.0
1.0116245,0.37688884,120.0,-12.300102,0.095636584,600.0,0.23868366,0.19383734,0.0,5,0.75862664,0.0
1.0878645,0.37622282,140.0,-14.283715,0.106092155,700.0,0.24016257,0.19368322,0.0,6,0.76107794,0.0
0.9531267,0.37513462,160.0,-15.35889,0.10539349,800.0,0.24067907,0.19360863,0.0,7,0.7634805,0.0
0.9410835,0.37460136,180.0,-17.37056,0.112672925,900.0,0.24080627,0.19358607,0.0,8,0.76672125,0.0
0.9928902,0.37477303,200.0,-18.770845,0.118402936,1000.0,0.24083649,0.19353281,0.0,9,0.77041596,0.0
0.9609116,0.37494603,220.0,-19.812616,0.121048056,1100.0,0.24088621,0.19352734,0.0,10,0.7748411,0.0
0.94093865,0.37493202,240.0,-20.7092,0.14823371,1200.0,0.24094515,0.19338606,0.0,11,0.77970034,0.0
0.97005755,0.37491032,260.0,-22.525091,0.15699287,1300.0,0.24133535,0.19320856,0.0,12,0.78615135,0.0
0.91694903,0.37421033,280.0,-23.240854,0.17048676,1400.0,0.24176915,0.1928051,0.0,13,0.7933974,0.0
0.9513096,0.3737118,300.0,-24.689575,0.17157938,1500.0,0.24192394,0.19270504,0.0,14,0.80013293,0.0
0.79700804,0.3740163,320.0,-23.710028,0.19218843,1600.0,0.24175213,0.19248015,0.0,15,0.80838925,0.0
0.8013126,0.3732988,340.0,-24.956179,0.1830794,1700.0,0.24184884,0.19204761,0.0,16,0.81612283,0.0
0.85525393,0.37311557,360.0,-25.176971,0.19956131,1800.0,0.24164717,0.19195904,0.0,17,0.8231433,0.0
0.7891882,0.3731968,380.0,-23.856897,0.24190907,1900.0,0.24155676,0.19183831,0.0,18,0.83015233,0.0
0.72879523,0.3732421,400.0,-24.298729,0.21777998,2000.0,0.24131976,0.19165415,0.0,19,0.8365929,0.0
0.7563896,0.3733298,420.0,-25.437216,0.26382926,2100.0,0.24137457,0.19119646,0.0,20,0.84349185,0.0
0.7165044,0.37327108,440.0,-24.205238,0.32198843,2200.0,0.24127881,0.19077311,0.0,21,0.850497,0.0
0.6837695,0.3729147,460.0,-23.25125,0.29845342,2300.0,0.24096425,0.19037528,0.0,22,0.8576179,0.0
0.6686273,0.37265477,480.0,-24.466673,0.25495517,2400.0,0.24075039,0.18996875,0.0,23,0.86406535,0.0
0.6395423,0.3727366,500.0,-23.930307,0.28426522,2500.0,0.24044876,0.18962885,0.0,24,0.8707225,0.0
0.70175976,0.3725736,520.0,-25.39193,0.3393285,2600.0,0.24019575,0.18924631,0.0,25,0.8766256,0.0
0.6299014,0.37258974,540.0,-24.528343,0.34427908,2700.0,0.2401825,0.18895912,0.0,26,0.88243943,0.0
0.68274444,0.3725879,560.0,-26.210724,0.36693907,2800.0,0.2400371,0.1887059,0.0,27,0.88798755,0.0
0.5933063,0.37269256,580.0,-22.077415,0.3117125,2900.0,0.23981678,0.18840009,0.0,28,0.89323825,0.0
0.70179814,0.37258676,600.0,-28.679739,0.3162779,3000.0,0.2396807,0.18808477,0.0,29,0.8984315,0.0
0.6421262,0.3724725,620.0,-24.836477,0.400272,3100.0,0.23957837,0.18766694,0.0,30,0.9034054,0.0
0.65817297,0.37253198,640.0,-24.468836,0.3715696,3200.0,0.23951912,0.18743956,0.0,31,0.90802604,0.0
0.59196496,0.37238455,660.0,-21.477728,0.33219305,3300.0,0.23934014,0.18705863,0.0,32,0.9124263,0.008333333333333333
0.6131358,0.3724937,680.0,-23.77601,0.30850622,3400.0,0.23912327,0.18683113,0.0,33,0.9167354,0.0
0.68102795,0.37240705,700.0,-23.758463,0.37249604,3500.0,0.23893411,0.18668409,0.0,34,0.92062455,0.0
0.54604554,0.37245217,720.0,-19.337862,0.34215057,3600.0,0.2388839,0.18655102,0.0,35,0.92441434,0.0
0.54682875,0.37253404,740.0,-21.363281,0.34636393,3700.0,0.23878412,0.18628436,0.0,36,0.9280909,0.0
0.56611943,0.3725268,760.0,-22.646841,0.34772882,3800.0,0.23874457,0.18601875,0.0,37,0.9312206,0.0
0.62538385,0.37256965,780.0,-23.322876,0.459659,3900.0,0.23867117,0.18579747,0.0,38,0.93414617,0.0
0.5488473,0.37255892,800.0,-21.540024,0.36669123,4000.0,0.23864682,0.18553448,0.0,39,0.9368561,0.0
0.4739996,0.37263617,820.0,-18.366985,0.32892087,4100.0,0.23847993,0.18530722,0.0,40,0.9395718,0.0
0.5118117,0.37273368,840.0,-20.101122,0.4016489,4200.0,0.23843448,0.18502714,0.0,41,0.94229716,0.0
0.57517606,0.3726766,860.0,-22.843836,0.33885208,4300.0,0.23850751,0.18477888,0.0,42,0.94494385,0.0
0.54942054,0.37274602,880.0,-20.70888,0.37096238,4400.0,0.23848124,0.18466635,0.0,43,0.9473872,0.008333333333333333
0.5617299,0.3726026,900.0,-22.701895,0.3946127,4500.0,0.23847212,0.18451585,0.0,44,0.949722,0.0
0.45518562,0.37265834,920.0,-18.829206,0.33052778,4600.0,0.23849012,0.1844155,0.0,45,0.9518431,0.0
0.5454386,0.3726289,940.0,-20.575953,0.41787496,4700.0,0.23842259,0.18427569,0.0,46,0.9539555,0.0
0.45975354,0.37267306,960.0,-17.699566,0.380712,4800.0,0.23831666,0.1841317,0.0,47,0.9559404,0.008333333333333333
0.5585207,0.3726318,980.0,-20.307,0.5972638,4900.0,0.23821802,0.18390536,0.0,48,0.95799977,0.008333333333333333
0.4769521,0.37262025,1000.0,-16.953836,0.5967625,5000.0,0.23814137,0.18375045,0.0,49,0.95996064,0.0
