epoch,stats_o/std,test/ag_g_dist,test/mean_Q,train/success_rate,train/episode,stats_o/mean,stats_g/mean,train/critic_loss,stats_g/std,test/success_rate,test/episode
0,0.71131533,0.8989382,-2.338433,0.0016666666666666668,100.0,0.19933219,0.34527245,0.07005667,0.15432592,0.0,20.0
1,0.71265155,0.969117,-4.31788,0.0033333333333333335,200.0,0.19969817,0.34265256,0.06301495,0.15713035,0.0,40.0
2,0.71260494,0.9310146,-6.3879113,0.0,300.0,0.19987349,0.3418405,0.057446774,0.15738158,0.016666666666666666,60.0
3,0.71217185,0.9275923,-8.497886,0.0016666666666666668,400.0,0.19971056,0.3420956,0.06068651,0.1567777,0.0,80.0
4,0.7117954,0.9181474,-10.570259,0.0016666666666666668,500.0,0.19974156,0.34213948,0.057206925,0.1565652,0.008333333333333333,100.0
5,0.71209985,0.96820456,-12.552273,0.0,600.0,0.19954413,0.34185782,0.059931636,0.15675442,0.008333333333333333,120.0
6,0.71286845,0.985375,-14.060165,0.0033333333333333335,700.0,0.19953726,0.34230033,0.061550617,0.15679543,0.008333333333333333,140.0
7,0.7143011,0.8803663,-15.442876,0.006666666666666667,800.0,0.19906048,0.34195432,0.060423296,0.1571389,0.016666666666666666,160.0
8,0.7199196,0.99293107,-16.92312,0.0033333333333333335,900.0,0.19869773,0.34215704,0.06657024,0.15956019,0.008333333333333333,180.0
9,0.7269428,0.89119786,-17.1328,0.0033333333333333335,1000.0,0.19860195,0.34182355,0.063625485,0.16207588,0.016666666666666666,200.0
10,0.73404765,0.9243025,-18.723154,0.006666666666666667,1100.0,0.19878371,0.3422818,0.06327115,0.1639663,0.016666666666666666,220.0
11,0.74186164,0.76653594,-17.432884,0.005,1200.0,0.19925594,0.34270546,0.069450505,0.16619284,0.03333333333333333,240.0
12,0.74912816,1.0197843,-20.940516,0.0016666666666666668,1300.0,0.19953887,0.3433794,0.068531096,0.16848646,0.008333333333333333,260.0
13,0.75605494,0.8363817,-20.440306,0.005,1400.0,0.19965027,0.34404182,0.07143391,0.17057426,0.03333333333333333,280.0
14,0.76245135,0.8544576,-20.33249,0.005,1500.0,0.19978003,0.34477043,0.0719114,0.1723787,0.049999999999999996,300.0
15,0.76814157,0.92007023,-22.19677,0.006666666666666667,1600.0,0.1999316,0.3453779,0.07073202,0.17422329,0.025000000000000005,320.0
16,0.7739648,0.9151738,-20.862963,0.0033333333333333335,1700.0,0.20012541,0.3461813,0.075652175,0.17544584,0.025000000000000005,340.0
17,0.77866215,0.78727597,-20.814573,0.0033333333333333335,1800.0,0.20034498,0.34710303,0.07384822,0.17659466,0.15,360.0
18,0.78287226,0.80175596,-21.442953,0.006666666666666667,1900.0,0.20044513,0.34792376,0.074157044,0.17790389,0.08333333333333333,380.0
19,0.78768355,0.7441099,-22.301867,0.006666666666666667,2000.0,0.20071065,0.34875122,0.09167936,0.17921905,0.15,400.0
20,0.7916703,0.8483896,-23.772028,0.006666666666666667,2100.0,0.20073293,0.3491418,0.0805996,0.18023609,0.08333333333333333,420.0
21,0.7958395,0.7877329,-24.538704,0.006666666666666667,2200.0,0.20082669,0.34963515,0.10496474,0.18131818,0.06666666666666667,440.0
22,0.7996096,0.7200053,-23.231775,0.01,2300.0,0.20096736,0.3499548,0.085987784,0.18212102,0.05833333333333333,460.0
23,0.8037568,0.7498705,-22.880217,0.0033333333333333335,2400.0,0.20093663,0.35036466,0.10685272,0.182932,0.13333333333333333,480.0
24,0.8077958,0.778943,-24.235334,0.0033333333333333335,2500.0,0.2010748,0.35063902,0.092555724,0.18383916,0.11666666666666665,500.0
25,0.81157535,0.72267723,-22.993332,0.005,2600.0,0.20108373,0.35083047,0.08591604,0.18459602,0.07500000000000001,520.0
26,0.815154,0.7282217,-24.047968,0.005,2700.0,0.20098765,0.35107437,0.11163044,0.18527858,0.15,540.0
27,0.81918234,0.7235282,-24.144318,0.006666666666666667,2800.0,0.20075409,0.35141137,0.09792874,0.1861385,0.17500000000000002,560.0
28,0.82276946,0.75086355,-26.009949,0.006666666666666667,2900.0,0.20066251,0.35174516,0.08669931,0.18706019,0.05833333333333334,580.0
29,0.8263766,0.737664,-24.604454,0.006666666666666667,3000.0,0.20063931,0.3520101,0.23018478,0.18791728,0.16666666666666666,600.0
30,0.829761,0.7335315,-24.656626,0.01,3100.0,0.20065315,0.35237303,0.087177016,0.18866353,0.11666666666666665,620.0
31,0.8328921,0.7020862,-24.396553,0.01,3200.0,0.20083977,0.35263482,0.12859458,0.18918638,0.13333333333333333,640.0
32,0.83546704,0.6718654,-23.362589,0.013333333333333334,3300.0,0.20099159,0.3529651,0.08523146,0.18983997,0.13333333333333333,660.0
33,0.83816457,0.7382977,-25.84611,0.015,3400.0,0.20116387,0.3532637,0.10645481,0.1903284,0.14166666666666666,680.0
34,0.8408062,0.6844259,-23.643057,0.015,3500.0,0.20132236,0.35359287,0.099149995,0.19081144,0.21666666666666665,700.0
35,0.84311014,0.6022184,-21.783808,0.01,3600.0,0.2014875,0.3539598,0.111357056,0.19104306,0.27499999999999997,720.0
36,0.84549254,0.7184749,-25.268303,0.011666666666666667,3700.0,0.2016083,0.3542523,0.12176731,0.19135503,0.15833333333333333,740.0
37,0.84770507,0.6384234,-24.471613,0.02,3800.0,0.20168228,0.35451102,0.10149578,0.1917512,0.13333333333333333,760.0
38,0.84999806,0.6462574,-24.696106,0.008333333333333333,3900.0,0.20170932,0.3548884,0.2163018,0.19222689,0.21666666666666667,780.0
39,0.85226387,0.72854185,-27.51702,0.0033333333333333335,4000.0,0.20186055,0.3551794,0.09704969,0.19258074,0.16666666666666666,800.0
40,0.85440016,0.6490372,-25.519531,0.01,4100.0,0.20199259,0.35572907,0.10997262,0.1930234,0.125,820.0
41,0.8564804,0.7573474,-29.963629,0.008333333333333333,4200.0,0.2021022,0.35614237,0.095475346,0.19339512,0.075,840.0
42,0.85827047,0.6080846,-24.510508,0.008333333333333333,4300.0,0.20226447,0.35671052,0.09976098,0.1937065,0.18333333333333335,860.0
43,0.86004466,0.65583366,-26.327354,0.01,4400.0,0.20232339,0.35732827,0.108866565,0.19403751,0.15,880.0
44,0.86183244,0.6505527,-27.00534,0.015000000000000001,4500.0,0.20232363,0.35776594,0.1133521,0.19438748,0.15833333333333333,900.0
45,0.86335295,0.6165771,-26.23526,0.0033333333333333335,4600.0,0.20238817,0.35806385,0.17702131,0.19476639,0.19999999999999998,920.0
46,0.86504346,0.7094299,-28.57755,0.016666666666666666,4700.0,0.20249589,0.3584664,0.09287853,0.19509311,0.15833333333333333,940.0
47,0.8666088,0.66440827,-28.447668,0.015,4800.0,0.20250584,0.3589144,0.08970145,0.19533195,0.16666666666666666,960.0
48,0.868061,0.63799006,-26.183542,0.011666666666666667,4900.0,0.20266275,0.35916153,0.11600415,0.1956159,0.225,980.0
49,0.86961263,0.71388584,-29.458307,0.011666666666666667,5000.0,0.20277087,0.3594136,0.21077736,0.19593887,0.13333333333333333,1000.0
