stats_o/std,test/mean_Q,test/success_rate,train/success_rate,stats_g/mean,epoch,stats_o/mean,test/ag_g_dist,stats_g/std,train/critic_loss,train/episode,test/episode
0.7205599,-2.9267075,0.0,0.0,0.3402879,0,0.19838162,0.884851,0.1563615,0.09718051,100.0,20.0
0.7193306,-5.170902,0.0,0.0,0.33504677,1,0.19864465,0.95992756,0.15906467,0.1714048,200.0,40.0
0.7200825,-6.891411,0.0,0.0,0.33423355,2,0.19817261,0.9123761,0.16015668,0.21848643,300.0,60.0
0.72142524,-8.933197,0.008333333333333333,0.0,0.33401695,3,0.19764309,0.9105093,0.16092837,0.25719857,400.0,80.0
0.72401637,-10.588596,0.0,0.0016666666666666668,0.3343484,4,0.19747426,0.8749191,0.1621259,0.24988717,500.0,100.0
0.72720605,-12.243672,0.016666666666666666,0.0016666666666666668,0.3349932,5,0.19757415,0.91780806,0.16346695,0.23341383,600.0,120.0
0.7322836,-13.828819,0.016666666666666666,0.005,0.3362507,6,0.19804995,0.93262297,0.16616856,0.25315627,700.0,140.0
0.73784614,-15.152648,0.0,0.0033333333333333335,0.3377153,7,0.19835101,0.9580722,0.16832413,0.23384893,800.0,160.0
0.74344987,-15.780215,0.016666666666666666,0.0033333333333333335,0.33955488,8,0.19866073,0.9159754,0.1703995,0.22840945,900.0,180.0
0.74981254,-15.318733,0.041666666666666664,0.008333333333333333,0.34118095,9,0.19874398,0.797808,0.17192398,0.22060333,1000.0,200.0
0.7565643,-18.353075,0.016666666666666666,0.005,0.34262308,10,0.1991501,0.91070443,0.17311005,0.2418498,1100.0,220.0
0.7627821,-18.219078,0.041666666666666664,0.0,0.3439792,11,0.19932102,0.7979948,0.17474516,0.2281407,1200.0,240.0
0.7688449,-20.502104,0.03333333333333333,0.0033333333333333335,0.34477282,12,0.19952653,1.0131636,0.17591727,0.24270906,1300.0,260.0
0.77581525,-21.259743,0.008333333333333333,0.005,0.34576893,13,0.19979997,0.8625305,0.17701876,0.2590586,1400.0,280.0
0.7812553,-20.397337,0.03333333333333333,0.008333333333333333,0.3471416,14,0.2001366,0.801814,0.17806982,0.24025743,1500.0,300.0
0.7857278,-21.496712,0.016666666666666666,0.0033333333333333335,0.3481392,15,0.20013644,0.8076218,0.17929302,0.24592482,1600.0,320.0
0.7907233,-19.802082,0.07500000000000001,0.008333333333333333,0.34947178,16,0.20035708,0.73439413,0.18062367,0.2556488,1700.0,340.0
0.7951434,-22.41123,0.03333333333333333,0.005,0.35067716,17,0.20058648,0.752521,0.18174149,0.28549707,1800.0,360.0
0.79887795,-24.0473,0.025000000000000005,0.005,0.35153005,18,0.20051198,0.85507727,0.18274488,0.2514259,1900.0,380.0
0.80278,-25.80929,0.03333333333333333,0.0,0.35221282,19,0.20066206,0.8255749,0.1836402,0.26450297,2000.0,400.0
0.80619043,-24.189772,0.041666666666666664,0.0016666666666666668,0.35273722,20,0.20070894,0.7739002,0.18432975,0.25623655,2100.0,420.0
0.80959225,-27.661032,0.03333333333333333,0.01,0.35358664,21,0.2007161,0.80311435,0.18518211,0.3066847,2200.0,440.0
0.8127938,-24.503092,0.041666666666666664,0.006666666666666667,0.3542649,22,0.20074749,0.7626789,0.18581228,0.25428793,2300.0,460.0
0.81676155,-24.27725,0.05833333333333334,0.011666666666666665,0.35488454,23,0.20088416,0.629717,0.18658601,0.27249035,2400.0,480.0
0.82071656,-25.054754,0.05000000000000001,0.0033333333333333335,0.35542896,24,0.20124666,0.67936784,0.18738432,0.26117268,2500.0,500.0
0.8243461,-26.309935,0.016666666666666666,0.01,0.35606268,25,0.2014618,0.7009881,0.18820457,0.31757715,2600.0,520.0
0.827732,-27.577774,0.041666666666666664,0.0033333333333333335,0.35663196,26,0.2015905,0.7311754,0.18883212,0.2711936,2700.0,540.0
0.8311742,-29.792685,0.05833333333333333,0.006666666666666667,0.3572702,27,0.20167732,0.7836817,0.18945338,0.30794844,2800.0,560.0
0.8339932,-27.811691,0.041666666666666664,0.0033333333333333335,0.3576804,28,0.20174666,0.7226692,0.18999267,0.28696916,2900.0,580.0
0.8371773,-29.055273,0.075,0.005,0.35794267,29,0.20171028,0.7593875,0.19048278,0.2920842,3000.0,600.0
0.840326,-27.60105,0.03333333333333333,0.0033333333333333335,0.3582599,30,0.20185657,0.6907528,0.19086663,0.28897342,3100.0,620.0
0.84305936,-29.150518,0.025000000000000005,0.008333333333333333,0.35861662,31,0.20189203,0.7276862,0.19124173,0.34641576,3200.0,640.0
0.84575874,-26.86296,0.03333333333333333,0.006666666666666667,0.358866,32,0.20189102,0.6628639,0.191687,0.29666987,3300.0,660.0
0.84817547,-32.29974,0.025000000000000005,0.0016666666666666668,0.35900894,33,0.20186628,0.7734392,0.19203436,0.3013347,3400.0,680.0
0.85035604,-29.661077,0.03333333333333333,0.011666666666666667,0.35926035,34,0.20187892,0.7825434,0.19227473,0.3371242,3500.0,700.0
0.85249835,-27.408262,0.03333333333333333,0.006666666666666667,0.35948047,35,0.20181674,0.6664612,0.19255434,0.2972733,3600.0,720.0
0.85476047,-28.954926,0.06666666666666667,0.005,0.3596584,36,0.20181124,0.6714918,0.1928631,0.2976615,3700.0,740.0
0.856968,-27.635324,0.016666666666666666,0.005,0.35974202,37,0.20177303,0.6582136,0.19322352,0.31740808,3800.0,760.0
0.8591945,-28.845758,0.03333333333333333,0.008333333333333333,0.35988188,38,0.20180331,0.678679,0.1935846,0.32528093,3900.0,780.0
0.86137074,-32.70741,0.041666666666666664,0.005,0.35989356,39,0.20193845,0.7556457,0.19388326,0.60288227,4000.0,800.0
0.8636951,-29.085627,0.09166666666666667,0.008333333333333333,0.36015162,40,0.20185407,0.68958926,0.19431655,0.34343305,4100.0,820.0
0.8657841,-31.36178,0.03333333333333333,0.0033333333333333335,0.36023793,41,0.20188074,0.74522686,0.19458966,0.4136561,4200.0,840.0
0.8678166,-30.350159,0.05833333333333333,0.008333333333333333,0.36051485,42,0.20187785,0.6815384,0.1949548,0.37359333,4300.0,860.0
0.8697706,-27.789507,0.03333333333333333,0.015000000000000001,0.36084595,43,0.2018546,0.5987289,0.19520794,0.37957764,4400.0,880.0
0.8716814,-29.423462,0.025000000000000005,0.016666666666666666,0.360986,44,0.20181678,0.6339165,0.19539006,0.38706937,4500.0,900.0
0.87357575,-27.067785,0.06666666666666667,0.008333333333333333,0.36112022,45,0.20177244,0.59122485,0.19564879,0.38713804,4600.0,920.0
0.8755967,-30.669897,0.05833333333333334,0.008333333333333333,0.3613182,46,0.20176204,0.71797985,0.19596975,0.34189606,4700.0,940.0
0.8774856,-30.028814,0.03333333333333333,0.0033333333333333335,0.3613867,47,0.2018077,0.6683096,0.19624873,0.28836426,4800.0,960.0
0.87910986,-30.191942,0.049999999999999996,0.008333333333333333,0.36140656,48,0.20187336,0.69094944,0.19651055,0.34692207,4900.0,980.0
0.8807104,-29.046316,0.041666666666666664,0.005,0.36142555,49,0.20190543,0.6461816,0.19669788,0.46594465,5000.0,1000.0
