train/episode,stats_o/mean,test/ag_g_dist,train/critic_loss,test/success_rate,stats_o/std,stats_g/mean,stats_g/std,epoch,test/mean_Q,test/episode,train/success_rate
100.0,0.32165045,0.10193729,0.018006258,0.0,0.6967604,0.6725696,0.019205157,0,-2.732816,20.0,0.0
200.0,0.3152334,0.025180215,0.020838609,0.0,0.7574367,0.6736924,0.019415822,1,-2.2585936,40.0,0.0
300.0,0.31142938,0.028972358,0.015545808,0.0,0.7882075,0.67372733,0.018843789,2,-2.4568803,60.0,0.0
400.0,0.3114493,0.04158481,0.0153666,0.0,0.7995133,0.67417365,0.018654522,3,-3.242267,80.0,0.0
500.0,0.31255496,0.0433676,0.019165387,0.0,0.80555993,0.6746504,0.018568417,4,-3.4769351,100.0,0.0
600.0,0.31227097,0.042050093,0.018664518,0.0,0.8109026,0.6747157,0.018359145,5,-3.6949272,120.0,0.0
700.0,0.3123353,0.034965638,0.0189334,0.0,0.81431895,0.6746928,0.01821949,6,-3.3439178,140.0,0.0
800.0,0.31200188,0.04046099,0.017356701,0.0,0.8158529,0.67469335,0.018064512,7,-4.936527,160.0,0.0
900.0,0.31169197,0.041864365,0.01750171,0.0,0.81752044,0.67473274,0.017932955,8,-4.3795786,180.0,0.0
1000.0,0.311331,0.033456005,0.020030512,0.0,0.81776386,0.67479724,0.017830934,9,-4.422588,200.0,0.0
1100.0,0.31128648,0.03465874,0.019191286,0.0,0.8182109,0.67484546,0.017814226,10,-5.036871,220.0,0.0
1200.0,0.31120044,0.041835964,0.01951279,0.0,0.8186237,0.6748511,0.017800657,11,-5.0294538,240.0,0.0
1300.0,0.31143323,0.040441956,0.020762222,0.0,0.8186863,0.67485076,0.017798632,12,-6.1601334,260.0,0.0
1400.0,0.31156412,0.034597687,0.019754516,0.0,0.8189712,0.6749093,0.017778344,13,-4.8925724,280.0,0.0
1500.0,0.31160337,0.040321242,0.014665966,0.0,0.81894034,0.67495614,0.01775593,14,-6.7790756,300.0,0.0
1600.0,0.3114761,0.035381485,0.019754618,0.0,0.81845266,0.67498046,0.017712468,15,-6.500658,320.0,0.0
1700.0,0.31128514,0.037273914,0.015787402,0.0,0.8180669,0.67498714,0.017679613,16,-7.1168237,340.0,0.0
1800.0,0.31111127,0.040845964,0.019866183,0.0,0.8177002,0.6749487,0.017659204,17,-8.30219,360.0,0.0
1900.0,0.31103498,0.040172894,0.021899804,0.0,0.8175995,0.6749278,0.017639872,18,-7.9013596,380.0,0.0
2000.0,0.31110948,0.038472798,0.019423047,0.0,0.81723887,0.6749477,0.017646004,19,-7.803144,400.0,0.0
2100.0,0.31113672,0.052476645,0.017392537,0.0,0.81659096,0.67497677,0.017655425,20,-10.024078,420.0,0.0
2200.0,0.31119734,0.041083094,0.031360786,0.0,0.8163944,0.6750341,0.01770424,21,-8.8462515,440.0,0.0
2300.0,0.31128052,0.05208525,0.02048297,0.0,0.81636924,0.6751124,0.017812956,22,-8.631594,460.0,0.0
2400.0,0.3111691,0.05749288,0.017478572,0.0,0.81611305,0.6751709,0.017884266,23,-10.755412,480.0,0.0
2500.0,0.31109264,0.03779482,0.02231621,0.0,0.8157473,0.67523307,0.01794205,24,-6.985218,500.0,0.0
2600.0,0.3110787,0.04528794,0.02031164,0.0,0.81563807,0.6752772,0.017968757,25,-8.98606,520.0,0.0
2700.0,0.31108248,0.04518516,0.021366438,0.0,0.8155005,0.67534405,0.017970553,26,-9.668432,540.0,0.0
2800.0,0.31099972,0.051815182,0.021468654,0.0,0.8154586,0.6753804,0.01795941,27,-10.98038,560.0,0.0
2900.0,0.31102303,0.051276732,0.018100588,0.0,0.81531215,0.6754071,0.01795103,28,-11.258922,580.0,0.0
3000.0,0.31106448,0.04715391,0.017100912,0.0,0.8151037,0.67544,0.017939799,29,-9.918074,600.0,0.0
3100.0,0.31109053,0.045261066,0.016347466,0.0,0.81482154,0.675478,0.017946547,30,-9.953464,620.0,0.0
3200.0,0.31107816,0.04738481,0.019333376,0.0,0.8147693,0.675494,0.017945375,31,-11.441455,640.0,0.0
3300.0,0.31110063,0.044151247,0.023652079,0.0,0.8145449,0.67551214,0.017933704,32,-9.6779585,660.0,0.0
3400.0,0.31114885,0.04164955,0.016402628,0.0,0.8144472,0.67553,0.017922921,33,-10.541428,680.0,0.0
3500.0,0.31113666,0.040038086,0.02341324,0.0,0.8142871,0.6755468,0.017905038,34,-13.082133,700.0,0.0
3600.0,0.3111737,0.052466244,0.016377717,0.0,0.813855,0.67556506,0.01789718,35,-14.522815,720.0,0.0
