stats_o/std,train/critic_loss,stats_g/std,stats_o/mean,test/ag_g_dist,test/mean_Q,epoch,stats_g/mean,test/success_rate,train/success_rate,test/episode,train/episode
0.6995296,0.042371582,0.019053956,0.32375756,0.044219654,-1.8574394,0,0.67435056,0.0,0.0,20.0,100.0
0.76892954,0.046619758,0.018521164,0.31597567,0.02538308,-1.461083,1,0.6739586,0.0,0.0,40.0,200.0
0.7978223,0.04657972,0.0182816,0.3129438,0.028438643,-1.6648291,2,0.6737643,0.0,0.0,60.0,300.0
0.8109862,0.04444329,0.018097753,0.3114023,0.029722862,-2.103913,3,0.67369336,0.0,0.0,80.0,400.0
0.8143169,0.04329009,0.01807871,0.31104943,0.04672228,-2.6904767,4,0.6741094,0.0,0.0,100.0,500.0
0.81592387,0.051560145,0.018103493,0.31008878,0.033128127,-2.8815758,5,0.6742143,0.0,0.0,120.0,600.0
0.81711864,0.049384337,0.01827725,0.31020182,0.039884783,-2.8637798,6,0.67438203,0.0,0.0,140.0,700.0
0.81915826,0.045798894,0.018420232,0.31070957,0.050000567,-3.7963886,7,0.6743519,0.0,0.0,160.0,800.0
0.82002944,0.047393855,0.018446418,0.31112602,0.050437137,-3.5706823,8,0.6743901,0.0,0.0,180.0,900.0
0.8197243,0.049755234,0.018477943,0.31071913,0.035384715,-3.5790608,9,0.67429227,0.0,0.0,200.0,1000.0
0.81945246,0.045461584,0.01849189,0.31053567,0.03193628,-4.16433,10,0.67441535,0.0,0.0,220.0,1100.0
0.8203643,0.047881562,0.018507075,0.3099334,0.030176774,-4.0545206,11,0.6744387,0.0,0.0,240.0,1200.0
0.81977576,0.0465268,0.018514996,0.30970958,0.04139893,-5.0147634,12,0.6744533,0.0,0.0,260.0,1300.0
0.819547,0.048874885,0.018545484,0.3098036,0.033426642,-3.945821,13,0.6745997,0.0,0.0,280.0,1400.0
0.81921357,0.050566327,0.018553337,0.3098753,0.04344764,-5.5506988,14,0.674774,0.0,0.0,300.0,1500.0
0.81876546,0.043803632,0.018550597,0.30990475,0.039045263,-5.341495,15,0.6749432,0.0,0.0,320.0,1600.0
0.81825995,0.046305478,0.018520202,0.3099318,0.038676813,-5.937243,16,0.67503065,0.0,0.0,340.0,1700.0
0.8180389,0.042991657,0.018516336,0.30994982,0.046467263,-7.260588,17,0.6751031,0.0,0.0,360.0,1800.0
0.81785005,0.04495122,0.018528495,0.31009984,0.042281736,-6.8562202,18,0.6751976,0.0,0.0,380.0,1900.0
0.8177417,0.053734,0.018539064,0.3101496,0.040652607,-6.9640903,19,0.67530376,0.0,0.0,400.0,2000.0
