test/mean_Q,train/success_rate,train/critic_loss,test/success_rate,epoch,stats_o/mean,stats_g/std,train/critic_addnl_loss,stats_o/std,stats_g/mean,train/episode,test/episode
-0.5336535,0.25,0.21348877,0.3,0,0.26052994,0.08545137,0.10115051,0.027792921,0.8674597,20.0,20.0
-0.768531,0.45,0.09947765,0.4583333333333333,1,0.26032987,0.078172676,0.051570386,0.025713602,0.86726123,40.0,40.0
-0.73720926,0.47500000000000003,0.053086948,0.75,2,0.2604161,0.075922124,0.029562095,0.02518498,0.867378,60.0,60.0
-0.8317776,0.6083333333333334,0.045262814,0.7083333333333334,3,0.261162,0.076064765,0.0314837,0.025395224,0.87033063,80.0,80.0
-0.48940596,0.6583333333333333,0.047877904,0.9,4,0.26151377,0.076105654,0.027678534,0.025623882,0.8714302,100.0,100.0
-0.85603935,0.6916666666666668,0.050584394,0.7333333333333334,5,0.2617557,0.077011295,0.037013397,0.026080793,0.87204957,120.0,120.0
-0.31293944,0.7916666666666666,0.047707926,0.9249999999999999,6,0.26159456,0.077254206,0.030986607,0.026331713,0.871604,140.0,140.0
-0.1481633,0.8000000000000002,0.050328627,0.9833333333333334,7,0.26160973,0.077798,0.033395153,0.02672927,0.8716442,160.0,160.0
-0.05555153,0.7999999999999999,0.054443996,1.0,8,0.26157224,0.07849524,0.035852198,0.027142102,0.87157375,180.0,180.0
-0.060899705,0.7999999999999999,0.03561042,1.0,9,0.2616978,0.07905927,0.017984191,0.027517617,0.8719861,200.0,200.0
-0.0243244,0.7666666666666666,0.036292795,1.0,10,0.26171565,0.07961742,0.02273119,0.027814766,0.87211066,220.0,220.0
-0.06008039,0.7749999999999999,0.035135284,1.0,11,0.26157755,0.08010438,0.020269357,0.02810429,0.8715694,240.0,240.0
-0.05741313,0.7916666666666666,0.042805534,1.0,12,0.26167423,0.08047635,0.026037918,0.0282966,0.87186956,260.0,260.0
-0.06277827,0.6749999999999999,0.04104897,1.0,13,0.26190156,0.08077247,0.023975817,0.02846483,0.87270546,280.0,280.0
-0.06346732,0.725,0.031278957,1.0,14,0.26193982,0.08093988,0.021650374,0.028587198,0.8727722,300.0,300.0
-0.087024786,0.7583333333333333,0.033725847,1.0,15,0.26204318,0.081287704,0.02281555,0.028749978,0.8731925,320.0,320.0
-0.08974648,0.75,0.028688302,1.0,16,0.262056,0.08153659,0.019167865,0.028865432,0.87317985,340.0,340.0
-0.06279783,0.7666666666666666,0.030406361,1.0,17,0.26210043,0.08180143,0.016783847,0.028996179,0.8733819,360.0,360.0
-0.08659496,0.7666666666666667,0.032287795,1.0,18,0.2620267,0.081956305,0.019261563,0.029069444,0.873084,380.0,380.0
-0.08061906,0.8333333333333334,0.034303132,1.0,19,0.2621346,0.082391374,0.022842348,0.029221982,0.87344813,400.0,400.0
-0.09338943,0.775,0.022950366,1.0,20,0.26223356,0.082660615,0.0133492835,0.029334188,0.8737781,420.0,420.0
-0.09309552,0.7416666666666667,0.02709327,1.0,21,0.26220763,0.082707025,0.01728308,0.029372087,0.87367123,440.0,440.0
-0.0646885,0.7916666666666666,0.025895214,1.0,22,0.26224405,0.082662284,0.0152774425,0.029383546,0.8738206,460.0,460.0
-0.06846138,0.8000000000000002,0.02972509,1.0,23,0.2623425,0.08281259,0.014157522,0.02944165,0.8741975,480.0,480.0
-0.09574505,0.7916666666666666,0.03578018,1.0,24,0.26244944,0.08286848,0.025778884,0.029477188,0.87461376,500.0,500.0
-0.060920175,0.8250000000000001,0.033432145,1.0,25,0.26241502,0.082975306,0.019899957,0.029515123,0.874506,520.0,520.0
-0.052778784,0.7833333333333333,0.025592923,1.0,26,0.2624181,0.08301512,0.017799826,0.02954241,0.87452364,540.0,540.0
-0.062639914,0.6833333333333332,0.025877774,1.0,27,0.2624418,0.08298391,0.014115502,0.029547894,0.87459296,560.0,560.0
-0.07888856,0.6749999999999999,0.027358552,1.0,28,0.26242387,0.08323183,0.015771292,0.029630253,0.8745139,580.0,580.0
-0.050865423,0.7333333333333334,0.026681101,1.0,29,0.26234996,0.08316067,0.013301466,0.029626215,0.87426895,600.0,600.0
-0.061470497,0.725,0.025777658,1.0,30,0.26235163,0.083287716,0.015816739,0.02966852,0.8742743,620.0,620.0
-0.09776928,0.6749999999999999,0.026599666,1.0,31,0.262358,0.08328464,0.014671688,0.029683793,0.87430114,640.0,640.0
-0.08282991,0.6833333333333332,0.02758863,1.0,32,0.26235354,0.08343945,0.0172732,0.029735759,0.87427443,660.0,660.0
-0.1023441,0.7333333333333334,0.028267473,1.0,33,0.26237863,0.083541565,0.015096777,0.029774616,0.8743592,680.0,680.0
-0.07904386,0.7166666666666667,0.030506635,1.0,34,0.26242828,0.08362937,0.01838091,0.02981027,0.8745406,700.0,700.0
-0.07241177,0.7083333333333334,0.02454334,1.0,35,0.2624562,0.08362237,0.012427941,0.029818928,0.87463516,720.0,720.0
-0.05554874,0.75,0.017155236,1.0,36,0.26249915,0.083607405,0.009462323,0.02982507,0.8747828,740.0,740.0
-0.032074463,0.7083333333333334,0.026742516,1.0,37,0.26250365,0.08369269,0.015887931,0.029858494,0.8748012,760.0,760.0
-0.089281775,0.7000000000000001,0.025305787,1.0,38,0.2624966,0.0837786,0.0147849135,0.029893925,0.87478954,780.0,780.0
-0.070137255,0.75,0.020019235,1.0,39,0.2625194,0.08386738,0.011966298,0.029925233,0.8748872,800.0,800.0
-0.07196742,0.6999999999999998,0.021608442,1.0,40,0.26252434,0.08398676,0.011391595,0.029970309,0.8748955,820.0,820.0
-0.053495254,0.625,0.029514449,1.0,41,0.26257446,0.08405251,0.016985731,0.029996097,0.8750718,840.0,840.0
-0.065764695,0.7083333333333334,0.034712393,1.0,42,0.26258072,0.08409984,0.023347137,0.030015564,0.8750758,860.0,860.0
-0.039887507,0.775,0.022188192,1.0,43,0.26262444,0.08411314,0.013741677,0.030023629,0.8752258,880.0,880.0
-0.06918748,0.775,0.02275688,1.0,44,0.26261824,0.084161125,0.012598551,0.030041257,0.87519044,900.0,900.0
-0.06589722,0.6333333333333333,0.030466678,0.9666666666666667,45,0.26265946,0.08417353,0.021357575,0.030049503,0.87534046,920.0,920.0
-0.06483779,0.725,0.024184713,1.0,46,0.26266655,0.08418081,0.015253755,0.03005658,0.8753643,940.0,940.0
-0.091700636,0.7083333333333334,0.020203205,1.0,47,0.26269844,0.08432651,0.011070609,0.030102959,0.87547094,960.0,960.0
-0.07442559,0.7666666666666666,0.025387669,1.0,48,0.26272586,0.0843578,0.014624193,0.030118177,0.8755806,980.0,980.0
-0.050257023,0.6916666666666668,0.016653026,1.0,49,0.26274765,0.08434696,0.008570314,0.030121883,0.8756626,1000.0,1000.0
