train/critic_addnl_loss,train/success_rate,epoch,test/episode,stats_o/mean,stats_g/mean,test/mean_Q,stats_g/std,train/critic_loss,stats_o/std,test/success_rate,train/episode
0.0,0.016666666666666666,0,20.0,0.25585228,0.87133026,-1.3489033,0.090427674,0.013077202,0.02758509,0.0,20.0
0.0,0.05833333333333333,1,40.0,0.2580729,0.87353945,-1.6943496,0.08752161,0.0064345985,0.026813403,0.05833333333333334,40.0
0.0,0.19999999999999998,2,60.0,0.25929397,0.8739397,-1.7262455,0.08710441,0.0045738877,0.026510367,0.375,60.0
0.0,0.4083333333333334,3,80.0,0.26046556,0.8761379,-2.0450404,0.08695665,0.0042421543,0.026166147,0.4916666666666667,80.0
0.0,0.4833333333333334,4,100.0,0.2608589,0.875899,-2.0713136,0.08638356,0.0061335824,0.025852198,0.5833333333333334,100.0
0.0,0.6666666666666666,5,120.0,0.2608208,0.8745694,-1.9851435,0.08652993,0.008528865,0.025766706,0.725,120.0
0.0,0.725,6,140.0,0.26072568,0.87391824,-1.578876,0.08616692,0.0073199165,0.0258572,0.9166666666666666,140.0
0.0,0.6916666666666668,7,160.0,0.2606582,0.87388176,-1.6512421,0.08573566,0.010011311,0.026092717,0.85,160.0
0.0,0.7833333333333333,8,180.0,0.26068872,0.87376016,-1.5383323,0.08576744,0.009219001,0.026470149,0.9166666666666666,180.0
0.0,0.8083333333333332,9,200.0,0.26090938,0.8740477,-1.3796135,0.08565978,0.010726325,0.026882434,0.9583333333333334,200.0
0.0,0.8416666666666667,10,220.0,0.2609723,0.8737862,-1.1937779,0.085748166,0.011334711,0.027330467,0.9916666666666667,220.0
0.0,0.8916666666666666,11,240.0,0.2609985,0.8732264,-1.1774093,0.08577311,0.010988104,0.027751246,0.9916666666666667,240.0
0.0,0.8249999999999998,12,260.0,0.26123205,0.8733921,-1.1603276,0.08570367,0.0127790095,0.028073022,1.0,260.0
0.0,0.8083333333333332,13,280.0,0.26159492,0.8741495,-1.1686562,0.08569095,0.0120059,0.028406253,1.0,280.0
0.0,0.7833333333333332,14,300.0,0.26170948,0.874036,-1.0519673,0.08548053,0.010021249,0.028592875,1.0,300.0
0.0,0.7999999999999999,15,320.0,0.26190844,0.8743679,-1.1048889,0.08556687,0.012561664,0.028837895,0.9916666666666667,320.0
0.0,0.8249999999999998,16,340.0,0.2619578,0.8741698,-1.0862436,0.085615896,0.010967697,0.029020905,0.9916666666666667,340.0
0.0,0.8250000000000001,17,360.0,0.26208073,0.8742898,-1.0436841,0.085674524,0.011655896,0.029186333,1.0,360.0
0.0,0.7999999999999999,18,380.0,0.26204488,0.8739028,-1.0460571,0.085707135,0.009220087,0.02929925,1.0,380.0
0.0,0.8083333333333332,19,400.0,0.26219806,0.8741598,-1.0667748,0.08598194,0.0106845675,0.029505199,1.0,400.0
0.0,0.7999999999999999,20,420.0,0.26235065,0.8744649,-0.9912122,0.08605287,0.011962402,0.029653722,1.0,420.0
0.0,0.8500000000000001,21,440.0,0.2623337,0.8742628,-0.94458956,0.086022645,0.009516629,0.029716024,1.0,440.0
0.0,0.7916666666666666,22,460.0,0.26240703,0.874363,-0.9169903,0.08588513,0.009844636,0.02973032,1.0,460.0
0.0,0.7999999999999999,23,480.0,0.26253128,0.8747484,-0.97154164,0.08591291,0.010392261,0.029808918,1.0,480.0
0.0,0.8083333333333332,24,500.0,0.26267734,0.8750816,-0.88317394,0.08588182,0.011858911,0.029869998,1.0,500.0
0.0,0.8166666666666668,25,520.0,0.26268965,0.8749612,-0.8827562,0.08588917,0.010454637,0.029911602,1.0,520.0
0.0,0.7666666666666666,26,540.0,0.2626958,0.8749077,-0.8750655,0.085931115,0.011132319,0.029948061,1.0,540.0
0.0,0.7583333333333333,27,560.0,0.26273113,0.8749032,-0.80060023,0.08585385,0.010181864,0.029961586,1.0,560.0
0.0,0.7166666666666667,28,580.0,0.26272315,0.87479234,-0.91271305,0.086066365,0.0114378,0.030041909,1.0,580.0
0.0,0.7166666666666667,29,600.0,0.26267648,0.8745444,-0.76624733,0.08592943,0.01415776,0.03002804,1.0,600.0
0.0,0.75,30,620.0,0.26269013,0.87447214,-0.8518699,0.086006165,0.011322965,0.030064901,1.0,620.0
0.0,0.6916666666666668,31,640.0,0.2627036,0.8744271,-0.78074193,0.08600076,0.009914533,0.030082742,1.0,640.0
0.0,0.7083333333333334,32,660.0,0.2627168,0.8743964,-0.75315136,0.08605475,0.010266428,0.030136904,1.0,660.0
0.0,0.7083333333333334,33,680.0,0.2627652,0.8744654,-0.81910545,0.08608011,0.010471488,0.03018558,1.0,680.0
0.0,0.725,34,700.0,0.2628217,0.8746591,-0.80305773,0.08609403,0.0104543865,0.030232782,1.0,700.0
0.0,0.775,35,720.0,0.2628572,0.87469035,-0.7888901,0.086045474,0.011310466,0.030256102,1.0,720.0
0.0,0.7583333333333334,36,740.0,0.2629035,0.87480515,-0.70656824,0.08598689,0.010737854,0.030272251,1.0,740.0
