test/mean_Q,train/reward_compute_count,test/success_rate,stats_g/std,train/success_rate,train/critic_loss,test/ag_g_dist,stats_o/mean,stats_g/mean,stats_o/std,train/episode,epoch,test/episode,test/reward_compute_count
-2.541055,5000.0,0.0,0.12163066,0.0016666666666666668,0.0039861067,0.47725925,0.1771851,0.7425814,0.056275744,100.0,0,20.0,1000.0
-4.558963,10000.0,0.0,0.122305036,0.006666666666666667,0.003793398,0.44323492,0.17679568,0.7441277,0.05644372,200.0,1,40.0,2000.0
-6.42461,15000.0,0.016666666666666666,0.12566477,0.008333333333333333,0.0045775827,0.41879654,0.17769943,0.7459925,0.05763321,300.0,2,60.0,3000.0
-8.515679,20000.0,0.0,0.1324052,0.0,0.0056192763,0.45939794,0.17817722,0.7483702,0.060252797,400.0,3,80.0,4000.0
-9.78748,25000.0,0.03333333333333333,0.13981397,0.008333333333333333,0.0049527804,0.42076182,0.17887306,0.751976,0.063497156,500.0,4,100.0,5000.0
-11.05174,30000.0,0.041666666666666664,0.14719799,0.016666666666666666,0.0102429455,0.42604503,0.1794597,0.75474125,0.068042316,600.0,5,120.0,6000.0
-11.827568,35000.0,0.05833333333333334,0.15439966,0.025000000000000005,0.014922927,0.40169868,0.18024808,0.75854474,0.07218457,700.0,6,140.0,7000.0
-11.797265,40000.0,0.06666666666666667,0.1584825,0.04833333333333333,0.024153138,0.3555188,0.18063718,0.76085764,0.07493707,800.0,7,160.0,8000.0
-13.07282,45000.0,0.041666666666666664,0.16377491,0.035,0.0224341,0.42636693,0.18126558,0.7639194,0.078033,900.0,8,180.0,9000.0
-13.546196,50000.0,0.03333333333333333,0.17012781,0.041666666666666664,0.028934827,0.42316827,0.18186235,0.7667684,0.08269845,1000.0,9,200.0,10000.0
-13.109565,55000.0,0.14166666666666666,0.17229803,0.05666666666666667,0.047715325,0.3991988,0.18231957,0.76899904,0.084688075,1100.0,10,220.0,11000.0
-14.001882,60000.0,0.09166666666666667,0.17410533,0.04833333333333333,0.06924971,0.35467777,0.18258516,0.7710402,0.08639643,1200.0,11,240.0,12000.0
-15.2665205,65000.0,0.13333333333333333,0.17560375,0.06333333333333334,0.05022763,0.36129788,0.18321769,0.7736316,0.087525636,1300.0,12,260.0,13000.0
-13.946877,70000.0,0.15,0.17760861,0.08333333333333333,0.039052617,0.30983934,0.18374921,0.7755892,0.08913163,1400.0,13,280.0,14000.0
-15.062346,75000.0,0.18333333333333335,0.18015672,0.08,0.05699941,0.30260515,0.18433808,0.7774357,0.0906949,1500.0,14,300.0,15000.0
-16.123634,80000.0,0.13333333333333333,0.18290722,0.085,0.117842086,0.2815006,0.18511425,0.78003496,0.09205303,1600.0,15,320.0,16000.0
-13.582568,85000.0,0.15833333333333335,0.18564534,0.085,0.063766204,0.21676596,0.18572147,0.7823575,0.094260186,1700.0,16,340.0,17000.0
-13.256963,90000.0,0.225,0.18717283,0.125,0.08493196,0.23917766,0.18621139,0.78496313,0.09588531,1800.0,17,360.0,18000.0
-13.735936,95000.0,0.26666666666666666,0.18833233,0.10833333333333334,0.104106106,0.28735915,0.18644686,0.7860411,0.097865134,1900.0,18,380.0,19000.0
-12.48306,100000.0,0.3166666666666667,0.18887319,0.13166666666666668,0.12375272,0.23775601,0.18659304,0.78677887,0.098789394,2000.0,19,400.0,20000.0
-13.394155,105000.0,0.3166666666666667,0.18973278,0.11499999999999999,0.19315107,0.24938186,0.18671721,0.78749484,0.099643946,2100.0,20,420.0,21000.0
-13.107999,110000.0,0.3583333333333334,0.18987776,0.145,0.32283747,0.21523328,0.18678445,0.78816795,0.10047147,2200.0,21,440.0,22000.0
-12.55864,115000.0,0.3833333333333333,0.19013363,0.15833333333333335,0.20723896,0.22119014,0.18687944,0.789305,0.1011234,2300.0,22,460.0,23000.0
-12.597737,120000.0,0.3666666666666667,0.19047786,0.14500000000000002,0.093889154,0.2082571,0.18718316,0.79075676,0.1018993,2400.0,23,480.0,24000.0
-10.051946,125000.0,0.43333333333333335,0.19095004,0.16666666666666666,0.17733842,0.15978171,0.18755251,0.7926207,0.10278913,2500.0,24,500.0,25000.0
-11.443194,130000.0,0.3833333333333333,0.19054097,0.16666666666666666,0.1391959,0.17785998,0.1878521,0.79415566,0.10319758,2600.0,25,520.0,26000.0
-10.515991,135000.0,0.4583333333333333,0.19041108,0.18666666666666665,0.18158674,0.1638452,0.18809229,0.7953318,0.10376423,2700.0,26,540.0,27000.0
-10.553354,140000.0,0.4583333333333333,0.19035144,0.205,0.22249548,0.17064075,0.18829493,0.79649067,0.10423121,2800.0,27,560.0,28000.0
