train/episode,stats_o/std,train/success_rate,test/mean_Q,test/reward_compute_count,stats_g/std,test/episode,stats_g/mean,train/critic_loss,test/success_rate,epoch,test/ag_g_dist,train/reward_compute_count,stats_o/mean
100.0,0.7686112,0.0016666666666666668,-2.4287956,1000.0,0.22831155,20.0,0.37885317,0.11365608,0.0,0,0.9558897,5000.0,0.20052506
200.0,0.7650359,0.0,-4.3912845,2000.0,0.23006643,40.0,0.3796985,0.10451901,0.0,1,0.96543354,10000.0,0.20161961
300.0,0.7589585,0.0,-6.419993,3000.0,0.23090701,60.0,0.3799595,0.08510985,0.0,2,0.96483666,15000.0,0.2015913
400.0,0.7542365,0.0016666666666666668,-8.313113,4000.0,0.23071611,80.0,0.38058034,0.09618858,0.0,3,1.0325001,20000.0,0.20061415
500.0,0.7540362,0.0,-10.01354,5000.0,0.23035796,100.0,0.37978008,0.08505931,0.0,4,0.96627617,25000.0,0.20038258
600.0,0.7538417,0.0016666666666666668,-11.67318,6000.0,0.23095243,120.0,0.38080004,0.09027558,0.0,5,0.9868272,30000.0,0.20044883
700.0,0.75449514,0.0033333333333333335,-13.353801,7000.0,0.23093951,140.0,0.38132134,0.10599198,0.0,6,1.0626664,35000.0,0.20059319
800.0,0.7553089,0.0,-14.545723,8000.0,0.23036359,160.0,0.38127384,0.11453105,0.0,7,0.9896488,40000.0,0.20061117
900.0,0.75709504,0.0033333333333333335,-15.843017,9000.0,0.2299509,180.0,0.38192844,0.11523969,0.0,8,0.9386079,45000.0,0.20064916
1000.0,0.7586396,0.0033333333333333335,-17.278894,10000.0,0.22989802,200.0,0.38184497,0.10012557,0.0,9,1.0159867,50000.0,0.20058882
1100.0,0.760801,0.0016666666666666668,-18.246443,11000.0,0.23015125,220.0,0.38164434,0.11396054,0.008333333333333333,10,1.0029656,55000.0,0.20069309
1200.0,0.7633993,0.0,-18.86824,12000.0,0.23048167,240.0,0.38140354,0.11048063,0.008333333333333333,11,1.0398335,60000.0,0.2007743
1300.0,0.76679945,0.0016666666666666668,-19.694847,13000.0,0.23067923,260.0,0.38101336,0.11953602,0.016666666666666666,12,0.9657252,65000.0,0.2005005
1400.0,0.7704482,0.006666666666666667,-20.810297,14000.0,0.23099609,280.0,0.38084498,0.12867549,0.016666666666666666,13,1.0631733,70000.0,0.20045193
1500.0,0.77421373,0.005,-21.754679,15000.0,0.23167567,300.0,0.38053158,0.1303524,0.016666666666666666,14,1.091571,75000.0,0.20012139
1600.0,0.7783153,0.0016666666666666668,-21.19948,16000.0,0.23228158,320.0,0.38045558,0.14333391,0.025000000000000005,15,0.9702651,80000.0,0.19979526
1700.0,0.7821374,0.006666666666666667,-21.577362,17000.0,0.23295505,340.0,0.38051224,0.14212869,0.016666666666666666,16,0.965195,85000.0,0.19925646
1800.0,0.78548104,0.0033333333333333335,-22.32004,18000.0,0.23338847,360.0,0.38038817,0.14654443,0.016666666666666666,17,0.99440855,90000.0,0.19879468
1900.0,0.78868467,0.005,-22.386526,19000.0,0.23395284,380.0,0.37972197,0.14663248,0.03333333333333333,18,0.9396758,95000.0,0.19837956
