train/reward_compute_count,stats_g/std,test/mean_Q,stats_g/mean,test/episode,test/ag_g_dist,train/success_rate,stats_o/mean,epoch,test/success_rate,test/reward_compute_count,train/critic_loss,train/episode,stats_o/std
5000.0,0.23144455,-2.7040718,0.37037006,20.0,0.9972453,0.0,0.19521435,0,0.0,1000.0,0.0022324377,100.0,0.7633092
10000.0,0.23267464,-4.7700896,0.37305728,40.0,1.0149444,0.0,0.19713347,1,0.0,2000.0,0.0019149669,200.0,0.7526271
15000.0,0.23312974,-6.8465657,0.37299243,60.0,0.9980121,0.0,0.1973232,2,0.0,3000.0,0.0011897897,300.0,0.7433657
20000.0,0.23293279,-8.81936,0.3722535,80.0,1.0588046,0.0,0.19672352,3,0.0,4000.0,0.0006778477,400.0,0.73581403
25000.0,0.23200266,-10.747475,0.37123862,100.0,0.9915816,0.0,0.19683425,4,0.0,5000.0,0.0005114758,500.0,0.7318924
30000.0,0.23241885,-12.571795,0.37207898,120.0,1.001273,0.0,0.19748151,5,0.0,6000.0,0.00063507335,600.0,0.7285997
35000.0,0.23233998,-14.328278,0.3724738,140.0,1.0873979,0.0,0.19775592,6,0.0,7000.0,0.00051727827,700.0,0.7262619
40000.0,0.23177452,-15.990654,0.3720139,160.0,1.0023252,0.0,0.1977353,7,0.0,8000.0,0.00069412263,800.0,0.72382003
45000.0,0.23131292,-17.602648,0.37257597,180.0,0.97628504,0.0,0.19794504,8,0.0,9000.0,0.00079536205,900.0,0.7228194
50000.0,0.23111756,-19.082474,0.3725758,200.0,1.0548186,0.0,0.19799475,9,0.0,10000.0,0.000612789,1000.0,0.7220013
55000.0,0.2312969,-20.594519,0.3726367,220.0,1.0224444,0.0,0.19824696,10,0.0,11000.0,0.0010005175,1100.0,0.7208135
60000.0,0.23127227,-21.989983,0.37244081,240.0,1.0738685,0.0,0.19842207,11,0.0,12000.0,0.0008404923,1200.0,0.72018677
65000.0,0.23130704,-23.30264,0.37215438,260.0,1.004876,0.0,0.1984572,12,0.0,13000.0,0.0010801065,1300.0,0.7196033
70000.0,0.23123409,-24.544737,0.37226596,280.0,1.0691228,0.0,0.19851631,13,0.0,14000.0,0.0013220952,1400.0,0.71878225
75000.0,0.2314372,-25.793634,0.37242374,300.0,1.1130304,0.0,0.19870098,14,0.0,15000.0,0.00088482146,1500.0,0.7183263
80000.0,0.23139085,-27.000534,0.37255892,320.0,1.0022503,0.0,0.19872461,15,0.0,16000.0,0.0016292357,1600.0,0.7180566
85000.0,0.23144428,-28.06616,0.3730227,340.0,1.0104369,0.0,0.19881922,16,0.0,17000.0,0.0019885513,1700.0,0.7172753
90000.0,0.23129928,-29.10557,0.37312397,360.0,1.0422373,0.0,0.19874547,17,0.0,18000.0,0.0021983667,1800.0,0.71698266
95000.0,0.23129393,-30.105791,0.37293577,380.0,1.0006818,0.0,0.19876899,18,0.0,19000.0,0.0007531699,1900.0,0.7164664
100000.0,0.23119195,-31.08326,0.3730589,400.0,1.0212911,0.0,0.19875486,19,0.0,20000.0,0.0016391716,2000.0,0.71635747
105000.0,0.23129211,-32.02325,0.3729684,420.0,0.99491435,0.0,0.19884212,20,0.0,21000.0,0.0016512993,2100.0,0.71608096
110000.0,0.23129578,-32.852085,0.3728982,440.0,1.0295945,0.0,0.19890465,21,0.0,22000.0,0.001892015,2200.0,0.71580523
115000.0,0.2312447,-33.574512,0.37312558,460.0,1.0650192,0.0,0.1990865,22,0.008333333333333333,23000.0,0.008047229,2300.0,0.7155401
120000.0,0.23134632,-34.374878,0.37325287,480.0,1.0313276,0.0,0.19912846,23,0.0,24000.0,0.005573245,2400.0,0.71543497
