test/ag_g_dist,train/reward_compute_count,stats_o/std,stats_o/mean,test/mean_Q,test/episode,stats_g/std,stats_g/mean,train/critic_loss,test/reward_compute_count,train/episode,test/success_rate,train/success_rate,epoch
0.98260164,5000.0,0.7710884,0.19683342,-2.7285664,20.0,0.23239212,0.3688483,0.09742609,1000.0,100.0,0.0,0.0,0
0.99073786,10000.0,0.76389194,0.19843681,-4.5362906,40.0,0.23277344,0.3721474,0.10380775,2000.0,200.0,0.0,0.0,1
0.97368693,15000.0,0.75912446,0.19847262,-6.546725,60.0,0.23306407,0.37276742,0.092264764,3000.0,300.0,0.0,0.0,2
1.044598,20000.0,0.7556456,0.19780399,-8.512755,80.0,0.23309104,0.3729143,0.0908851,4000.0,400.0,0.0,0.0,3
0.96731085,25000.0,0.7574063,0.1979301,-9.92591,100.0,0.23247862,0.37264767,0.08951103,5000.0,500.0,0.0,0.0,4
0.9846349,30000.0,0.75906974,0.19833843,-11.251025,120.0,0.23317142,0.37373045,0.108524226,6000.0,600.0,0.008333333333333333,0.0,5
1.0698594,35000.0,0.7608183,0.19846278,-13.167488,140.0,0.23351254,0.37426233,0.113804884,7000.0,700.0,0.008333333333333333,0.0,6
0.9811368,40000.0,0.7638683,0.19824307,-14.290787,160.0,0.2336647,0.3736476,0.108551465,8000.0,800.0,0.0,0.0016666666666666668,7
0.935945,45000.0,0.76772475,0.19853882,-15.051009,180.0,0.23388259,0.37374124,0.10691819,9000.0,900.0,0.016666666666666666,0.0,8
0.996408,50000.0,0.7723635,0.1983444,-16.37509,200.0,0.23425366,0.37362728,0.11264891,10000.0,1000.0,0.008333333333333333,0.008333333333333333,9
0.9728305,55000.0,0.7772692,0.19818215,-16.771652,220.0,0.2348666,0.37335423,0.13359791,11000.0,1100.0,0.016666666666666666,0.0033333333333333335,10
0.99536115,60000.0,0.78198856,0.19830316,-17.598026,240.0,0.23505451,0.37320432,0.13973673,12000.0,1200.0,0.03333333333333333,0.006666666666666667,11
0.9247294,65000.0,0.7879546,0.19788997,-17.876925,260.0,0.23505221,0.37294254,0.15555948,13000.0,1300.0,0.025000000000000005,0.006666666666666667,12
0.97480494,70000.0,0.7923522,0.19791253,-18.808558,280.0,0.23507242,0.37298775,0.15434255,14000.0,1400.0,0.05833333333333333,0.011666666666666667,13
1.0016626,75000.0,0.7978185,0.1979578,-19.543785,300.0,0.23533116,0.37305698,0.16474773,15000.0,1500.0,0.025000000000000005,0.013333333333333334,14
0.8754261,80000.0,0.80368257,0.19756728,-19.233122,320.0,0.23519965,0.37324056,0.17350928,16000.0,1600.0,0.016666666666666666,0.021666666666666667,15
0.86758286,85000.0,0.80884725,0.19736914,-18.845888,340.0,0.23526911,0.37335578,0.16176778,17000.0,1700.0,0.041666666666666664,0.01,16
0.8847356,90000.0,0.8139592,0.19706066,-19.042168,360.0,0.23517461,0.37340596,0.19686592,18000.0,1800.0,0.075,0.015,17
0.8248453,95000.0,0.8186994,0.19661231,-19.256516,380.0,0.23519973,0.37321422,0.2076009,19000.0,1900.0,0.06666666666666667,0.02666666666666667,18
0.7960661,100000.0,0.8245689,0.19600636,-18.996552,400.0,0.23498924,0.37331292,0.19725792,20000.0,2000.0,0.05833333333333334,0.03166666666666667,19
0.78988296,105000.0,0.82966834,0.1955846,-18.840391,420.0,0.23485522,0.37345114,0.23456584,21000.0,2100.0,0.10000000000000002,0.018333333333333333,20
0.78747106,110000.0,0.83472615,0.19519855,-18.547232,440.0,0.23465319,0.37338066,0.22470208,22000.0,2200.0,0.1416666666666667,0.03,21
0.7795038,115000.0,0.84031177,0.19475739,-18.349922,460.0,0.23424695,0.37382224,0.25939843,23000.0,2300.0,0.10833333333333332,0.043333333333333335,22
0.7371294,120000.0,0.84527034,0.1942602,-18.751041,480.0,0.23394482,0.3741031,0.28821042,24000.0,2400.0,0.11666666666666668,0.028333333333333335,23
0.69249624,125000.0,0.8503899,0.19369532,-16.970125,500.0,0.23352034,0.37417045,0.26912916,25000.0,2500.0,0.13333333333333333,0.04,24
0.7856495,130000.0,0.85511684,0.19341104,-19.784838,520.0,0.23326077,0.37440023,0.2958171,26000.0,2600.0,0.10833333333333334,0.05000000000000001,25
0.6973489,135000.0,0.85976434,0.19305356,-17.042532,540.0,0.23292716,0.37472692,0.28197792,27000.0,2700.0,0.125,0.041666666666666664,26
0.680922,140000.0,0.86426574,0.19271694,-17.225527,560.0,0.23254108,0.37483826,0.28154477,28000.0,2800.0,0.13333333333333333,0.03333333333333333,27
0.701015,145000.0,0.8685731,0.19233857,-17.406616,580.0,0.2322274,0.37522253,0.27211726,29000.0,2900.0,0.15,0.03833333333333333,28
0.73225147,150000.0,0.8725698,0.1922103,-18.183723,600.0,0.23207305,0.37532154,0.2783825,30000.0,3000.0,0.18333333333333335,0.043333333333333335,29
0.56251955,155000.0,0.8766355,0.19194329,-15.059234,620.0,0.23188214,0.37525296,0.27136686,31000.0,3100.0,0.20000000000000004,0.041666666666666664,30
0.6309175,160000.0,0.8804626,0.19184624,-15.888737,640.0,0.23170435,0.3754157,0.25084567,32000.0,3200.0,0.1416666666666667,0.05833333333333333,31
0.65367454,165000.0,0.88415855,0.1914738,-16.380323,660.0,0.23150904,0.3756968,0.3145304,33000.0,3300.0,0.10833333333333334,0.03833333333333334,32
0.69431704,170000.0,0.8874392,0.19123079,-17.430773,680.0,0.23115481,0.37587634,0.33848011,34000.0,3400.0,0.125,0.06500000000000002,33
0.7140841,175000.0,0.8907976,0.19096212,-16.644142,700.0,0.23089086,0.37599316,0.35275325,35000.0,3500.0,0.09166666666666667,0.05833333333333334,34
0.57784927,180000.0,0.89415175,0.19061927,-14.793945,720.0,0.23064546,0.3760105,0.28989205,36000.0,3600.0,0.18333333333333335,0.043333333333333335,35
0.53603595,185000.0,0.89739615,0.1904047,-13.152405,740.0,0.23034227,0.37616515,0.3807135,37000.0,3700.0,0.24166666666666667,0.05000000000000001,36
0.6008678,190000.0,0.90065503,0.19021672,-14.997482,760.0,0.23006456,0.37625536,0.30584314,38000.0,3800.0,0.14166666666666666,0.065,37
0.64251703,195000.0,0.9036886,0.18987922,-15.959766,780.0,0.22983356,0.37630138,0.3896037,39000.0,3900.0,0.15833333333333335,0.056666666666666664,38
0.67756194,200000.0,0.90646476,0.18962519,-16.329802,800.0,0.22964947,0.37631187,0.33937654,40000.0,4000.0,0.13333333333333333,0.03833333333333334,39
0.58257747,205000.0,0.90923566,0.18933554,-13.539891,820.0,0.22935407,0.3764318,0.39476848,41000.0,4100.0,0.225,0.06166666666666667,40
0.62829334,210000.0,0.91189426,0.18913142,-14.258868,840.0,0.22911625,0.3766667,0.38575184,42000.0,4200.0,0.20000000000000004,0.06333333333333334,41
0.5824309,215000.0,0.9143014,0.18894894,-13.570831,860.0,0.22901075,0.37665868,0.3298544,43000.0,4300.0,0.20833333333333334,0.05833333333333333,42
0.63963,220000.0,0.91672444,0.18870358,-14.589375,880.0,0.22879083,0.37670207,0.3225871,44000.0,4400.0,0.13333333333333333,0.06333333333333334,43
0.54341114,225000.0,0.9191186,0.18850829,-12.881767,900.0,0.22854729,0.3768337,0.3689258,45000.0,4500.0,0.16666666666666666,0.06333333333333334,44
0.55059814,230000.0,0.9212015,0.18836491,-12.708165,920.0,0.22841717,0.37684175,0.43851754,46000.0,4600.0,0.17500000000000002,0.06666666666666667,45
0.55758363,235000.0,0.92319417,0.18811429,-12.938713,940.0,0.228303,0.3767976,0.33677474,47000.0,4700.0,0.16666666666666666,0.05166666666666667,46
0.61345005,240000.0,0.9251273,0.1878737,-14.038606,960.0,0.22809644,0.37690368,0.59151226,48000.0,4800.0,0.20833333333333334,0.07166666666666667,47
0.5913957,245000.0,0.9269069,0.18771534,-14.259628,980.0,0.22790499,0.3770558,0.39985737,49000.0,4900.0,0.19999999999999998,0.07,48
0.56087875,250000.0,0.9287822,0.18757033,-12.784657,1000.0,0.22779681,0.3770018,0.34948918,50000.0,5000.0,0.21666666666666667,0.07333333333333333,49
0.62785643,255000.0,0.93041056,0.18748416,-13.443864,1020.0,0.2276449,0.37720188,0.38762793,51000.0,5100.0,0.2333333333333333,0.07333333333333333,50
0.55055916,260000.0,0.93213016,0.18728544,-12.361153,1040.0,0.22748597,0.37730268,0.4411614,52000.0,5200.0,0.17499999999999996,0.07833333333333332,51
0.6428829,265000.0,0.9337914,0.18713947,-15.031081,1060.0,0.2273864,0.37741533,0.41296777,53000.0,5300.0,0.19166666666666668,0.05833333333333333,52
0.5861925,270000.0,0.93533784,0.18695201,-13.2172165,1080.0,0.22723104,0.37745523,0.40099835,54000.0,5400.0,0.26666666666666666,0.06166666666666667,53
0.50912225,275000.0,0.93688995,0.18682969,-11.42158,1100.0,0.22706263,0.37758544,0.38257232,55000.0,5500.0,0.2833333333333334,0.09166666666666667,54
0.5589923,280000.0,0.9383593,0.18669267,-12.878978,1120.0,0.22690205,0.3776764,0.4050512,56000.0,5600.0,0.18333333333333335,0.07333333333333333,55
0.5920581,285000.0,0.9397026,0.1865952,-13.009007,1140.0,0.22676735,0.3778576,0.41287485,57000.0,5700.0,0.17500000000000002,0.07166666666666666,56
0.5507765,290000.0,0.9411328,0.18649805,-12.603883,1160.0,0.22670113,0.37803045,0.32127813,58000.0,5800.0,0.20833333333333334,0.08333333333333333,57
0.46452963,295000.0,0.94252485,0.18636875,-11.156632,1180.0,0.22658865,0.37804142,0.40790072,59000.0,5900.0,0.25,0.07333333333333335,58
0.55880165,300000.0,0.9439435,0.18625419,-13.502692,1200.0,0.22651558,0.3781426,0.45837995,60000.0,6000.0,0.19166666666666665,0.09333333333333334,59
0.5366462,305000.0,0.94528335,0.18611705,-12.41245,1220.0,0.22642775,0.37826452,0.43588448,61000.0,6100.0,0.225,0.075,60
0.48408386,310000.0,0.9465658,0.18594117,-10.739511,1240.0,0.226282,0.3782672,0.43702945,62000.0,6200.0,0.2583333333333333,0.06833333333333334,61
0.51566964,315000.0,0.9477415,0.18580665,-11.473729,1260.0,0.22621147,0.37821364,0.34727857,63000.0,6300.0,0.20833333333333334,0.07166666666666667,62
0.5240938,320000.0,0.94888395,0.18568327,-11.666062,1280.0,0.22613855,0.3782077,0.42199874,64000.0,6400.0,0.20833333333333334,0.06999999999999999,63
0.48806176,325000.0,0.9499693,0.18555881,-10.685451,1300.0,0.22606449,0.37826476,0.37868047,65000.0,6500.0,0.3,0.09833333333333333,64
0.47352585,330000.0,0.95104223,0.18551625,-10.732638,1320.0,0.22601783,0.3783535,0.42941704,66000.0,6600.0,0.25833333333333336,0.08333333333333333,65
0.4668398,335000.0,0.95221895,0.18535097,-10.20407,1340.0,0.22591458,0.37839606,0.3097249,67000.0,6700.0,0.325,0.07833333333333332,66
