test/reward_compute_count,test/episode,train/success_rate,train/reward_compute_count,test/ag_g_dist,stats_o/std,stats_g/mean,stats_g/std,train/critic_loss,test/mean_Q,test/success_rate,stats_o/mean,train/episode,epoch
1000.0,20.0,0.0,5000.0,0.9833832,0.719677,0.3581791,0.14196894,0.028513314,-2.760683,0.0,0.20442544,100.0,0
2000.0,40.0,0.0,10000.0,0.98404866,0.7125179,0.35770163,0.14186603,0.022681855,-4.830489,0.0,0.2062511,200.0,1
3000.0,60.0,0.0,15000.0,0.9309182,0.7090704,0.35770646,0.14274603,0.022455888,-6.5980415,0.0,0.20580094,300.0,2
4000.0,80.0,0.0,20000.0,0.94412184,0.70678186,0.35767666,0.14335015,0.027021656,-8.673846,0.0,0.20552099,400.0,3
5000.0,100.0,0.0,25000.0,0.9233196,0.7077262,0.3580966,0.142792,0.025748974,-10.254222,0.008333333333333333,0.20539974,500.0,4
6000.0,120.0,0.0,30000.0,0.86977035,0.7108194,0.3582522,0.14350507,0.029837564,-11.3155775,0.0,0.20528902,600.0,5
7000.0,140.0,0.0016666666666666668,35000.0,0.9892462,0.7176563,0.35845336,0.14444757,0.04203059,-13.204862,0.0,0.20567288,700.0,6
8000.0,160.0,0.0016666666666666668,40000.0,0.9492578,0.7221615,0.35865662,0.14582764,0.035782907,-14.603779,0.008333333333333333,0.20600915,800.0,7
9000.0,180.0,0.006666666666666667,45000.0,0.857876,0.7282613,0.35905996,0.14690788,0.04356282,-15.257046,0.025000000000000005,0.20593876,900.0,8
10000.0,200.0,0.01,50000.0,0.8263429,0.7352617,0.3594598,0.14807257,0.051232625,-15.767068,0.06666666666666667,0.20569451,1000.0,9
11000.0,220.0,0.006666666666666667,55000.0,0.926585,0.7422139,0.35985592,0.14871284,0.052999377,-16.575499,0.025000000000000005,0.20541538,1100.0,10
12000.0,240.0,0.0016666666666666668,60000.0,0.9332204,0.7470937,0.36029363,0.14919898,0.06268665,-18.763882,0.016666666666666666,0.20556872,1200.0,11
13000.0,260.0,0.006666666666666667,65000.0,0.8260692,0.7527979,0.36059895,0.14984019,0.06497514,-17.847094,0.08333333333333333,0.20544545,1300.0,12
14000.0,280.0,0.0016666666666666668,70000.0,0.90545636,0.7582541,0.36094037,0.15033267,0.06668762,-19.312899,0.03333333333333333,0.20511307,1400.0,13
15000.0,300.0,0.006666666666666667,75000.0,0.9141647,0.7627962,0.36135438,0.15076466,0.078185,-20.372473,0.041666666666666664,0.20486587,1500.0,14
16000.0,320.0,0.006666666666666667,80000.0,0.88790464,0.7670806,0.3616942,0.15134832,0.09348532,-20.724863,0.05833333333333334,0.20482032,1600.0,15
17000.0,340.0,0.015,85000.0,0.838254,0.77202255,0.36227074,0.15224193,0.08526204,-20.080132,0.05000000000000001,0.20452887,1700.0,16
18000.0,360.0,0.015,90000.0,0.74525744,0.7771599,0.36262682,0.15312769,0.09076926,-19.985092,0.10000000000000002,0.20432101,1800.0,17
19000.0,380.0,0.015,95000.0,0.80675477,0.78180575,0.36302033,0.15401788,0.12122295,-21.263166,0.09999999999999999,0.20400174,1900.0,18
20000.0,400.0,0.015,100000.0,0.8726671,0.7856689,0.3634931,0.15480186,0.096806966,-21.396841,0.125,0.20378117,2000.0,19
21000.0,420.0,0.023333333333333334,105000.0,0.81731415,0.788271,0.3637379,0.15529244,0.0803949,-20.713179,0.15,0.2037126,2100.0,20
22000.0,440.0,0.011666666666666665,110000.0,0.8531718,0.7910668,0.363943,0.15565602,0.08022516,-21.990051,0.10833333333333334,0.20368318,2200.0,21
23000.0,460.0,0.016666666666666666,115000.0,0.827244,0.79414105,0.3641778,0.15614793,0.09972042,-21.721003,0.10833333333333334,0.20384537,2300.0,22
24000.0,480.0,0.013333333333333334,120000.0,0.87428015,0.7962914,0.36429605,0.15657532,0.10475246,-23.071045,0.075,0.20394112,2400.0,23
25000.0,500.0,0.036666666666666674,125000.0,0.81889707,0.7988699,0.3645954,0.15706228,0.10385997,-23.559183,0.09999999999999999,0.20387359,2500.0,24
26000.0,520.0,0.015,130000.0,0.7517333,0.8017331,0.3648704,0.15770529,0.09817028,-21.113886,0.19166666666666665,0.20388551,2600.0,25
27000.0,540.0,0.023333333333333334,135000.0,0.77601194,0.8047022,0.36502925,0.15840225,0.110691845,-23.162012,0.10833333333333332,0.20385139,2700.0,26
28000.0,560.0,0.013333333333333334,140000.0,0.7551312,0.80782515,0.3652672,0.15900004,0.1395847,-22.123892,0.16666666666666666,0.20391685,2800.0,27
29000.0,580.0,0.02,145000.0,0.7633298,0.8106256,0.3654597,0.15941148,0.121267885,-22.182922,0.15,0.20384067,2900.0,28
30000.0,600.0,0.011666666666666665,150000.0,0.7709829,0.81294507,0.36572018,0.15971778,0.14190517,-22.633017,0.15833333333333333,0.20371093,3000.0,29
31000.0,620.0,0.024999999999999998,155000.0,0.77230555,0.8151664,0.36600462,0.15993924,0.10674556,-23.05414,0.125,0.2036496,3100.0,30
32000.0,640.0,0.018333333333333337,160000.0,0.7564509,0.816951,0.36615577,0.16026057,0.13316868,-22.95553,0.15,0.20363049,3200.0,31
33000.0,660.0,0.013333333333333334,165000.0,0.856798,0.8188792,0.36622277,0.16048706,0.12805055,-24.717772,0.09999999999999999,0.20350742,3300.0,32
34000.0,680.0,0.018333333333333337,170000.0,0.8163876,0.8208963,0.36638185,0.16078714,0.11314226,-24.082453,0.09166666666666667,0.20352565,3400.0,33
35000.0,700.0,0.01,175000.0,0.76653165,0.8228671,0.36651015,0.16105914,0.16041277,-23.272827,0.18333333333333335,0.20357423,3500.0,34
36000.0,720.0,0.023333333333333334,180000.0,0.7489292,0.8243193,0.36658403,0.16137561,0.12087071,-22.807693,0.17500000000000004,0.20355196,3600.0,35
37000.0,740.0,0.030000000000000002,185000.0,0.7017565,0.8257296,0.36667767,0.16161397,0.3239597,-23.008034,0.19999999999999998,0.20349348,3700.0,36
38000.0,760.0,0.016666666666666666,190000.0,0.81995726,0.82704455,0.36683312,0.16188525,0.15078479,-25.398321,0.13333333333333333,0.2035063,3800.0,37
39000.0,780.0,0.016666666666666666,195000.0,0.9457491,0.82843584,0.36688724,0.16207302,0.16185248,-28.188894,0.09166666666666667,0.20351835,3900.0,38
40000.0,800.0,0.02,200000.0,0.81335634,0.82975024,0.36702004,0.16223164,0.14717545,-25.043718,0.13333333333333333,0.203507,4000.0,39
41000.0,820.0,0.015000000000000001,205000.0,0.84598374,0.8309769,0.3671515,0.16246042,0.17022157,-27.377975,0.11666666666666665,0.203533,4100.0,40
