test/success_rate,train/reward_compute_count,test/mean_Q,train/success_rate,train/episode,stats_g/mean,test/ag_g_dist,test/reward_compute_count,stats_o/mean,test/episode,epoch,stats_o/std,train/critic_loss,stats_g/std
0.0,5000.0,-2.6635997,0.0,100.0,0.6756666,0.15344502,1000.0,0.33780727,20.0,0,0.6885583,0.0019574107,0.019727714
0.0,10000.0,-4.319517,0.0,200.0,0.68191665,0.22219972,2000.0,0.3447596,40.0,1,0.68634874,0.0012510421,0.021838019
0.0,15000.0,-6.0085597,0.0,300.0,0.686713,0.22687721,3000.0,0.34233537,60.0,2,0.68388146,0.00085002574,0.023233103
0.0,20000.0,-7.771876,0.0,400.0,0.6887873,0.21877551,4000.0,0.33892608,80.0,3,0.6804926,0.00061400473,0.023172626
0.0,25000.0,-9.632954,0.0,500.0,0.689215,0.16050667,5000.0,0.3370575,100.0,4,0.67844754,0.00064992346,0.022553742
0.0,30000.0,-10.670682,0.0,600.0,0.68771243,0.15829025,6000.0,0.33528838,120.0,5,0.6835497,0.00081003533,0.02229116
0.0,35000.0,-12.050774,0.0,700.0,0.68609303,0.15976681,7000.0,0.3354725,140.0,6,0.6876147,0.0005761201,0.022236608
0.0,40000.0,-13.73771,0.0,800.0,0.6846617,0.13888963,8000.0,0.3348874,160.0,7,0.68842775,0.0008168206,0.022070324
0.0,45000.0,-15.324493,0.0,900.0,0.6833656,0.11058926,9000.0,0.33374926,180.0,8,0.6858781,0.00048245373,0.021849735
0.0,50000.0,-16.719492,0.0,1000.0,0.68219453,0.09810237,10000.0,0.3321469,200.0,9,0.68310213,0.00059356657,0.021855345
0.0,55000.0,-17.992186,0.0,1100.0,0.6813171,0.095851,11000.0,0.3309757,220.0,10,0.68080074,0.00089297374,0.021981142
0.0,60000.0,-19.155104,0.0,1200.0,0.68064624,0.11305257,12000.0,0.3294798,240.0,11,0.6795284,0.0005653787,0.022291565
0.0,65000.0,-19.983826,0.0,1300.0,0.68051314,0.13862516,13000.0,0.32785267,260.0,12,0.67845184,0.00041629994,0.022971386
0.0,70000.0,-21.212622,0.0,1400.0,0.6806342,0.13631551,14000.0,0.32647663,280.0,13,0.6778293,0.00044475007,0.02336154
0.0,75000.0,-22.490028,0.0,1500.0,0.6808345,0.1303591,15000.0,0.3254643,300.0,14,0.6767178,0.00030304093,0.023485668
0.0,80000.0,-23.819794,0.0,1600.0,0.6808664,0.10332039,16000.0,0.32477692,320.0,15,0.6749964,0.00026211658,0.02332552
0.0,85000.0,-25.062601,0.0,1700.0,0.68073624,0.100809656,17000.0,0.32453504,340.0,16,0.6730625,0.00026699822,0.02297982
0.0,90000.0,-26.249893,0.0,1800.0,0.6805716,0.108708,18000.0,0.32448235,360.0,17,0.6712367,0.00028865872,0.022627736
0.0,95000.0,-27.377665,0.0,1900.0,0.6804579,0.10954102,19000.0,0.32461655,380.0,18,0.6698088,0.00010101339,0.02231282
0.0,100000.0,-28.464485,0.0,2000.0,0.6803891,0.11411645,20000.0,0.32478955,400.0,19,0.6682067,8.052273e-05,0.02202321
0.0,105000.0,-29.478254,0.0,2100.0,0.680356,0.12120801,21000.0,0.3250247,420.0,20,0.66706204,0.000100031255,0.021770589
0.0,110000.0,-30.467905,0.0,2200.0,0.6803523,0.120654814,22000.0,0.32526433,440.0,21,0.6657405,4.116014e-05,0.02154149
0.0,115000.0,-31.405909,0.0,2300.0,0.6803388,0.12085271,23000.0,0.3254659,460.0,22,0.6648467,8.366364e-05,0.021330811
0.0,120000.0,-32.288265,0.0,2400.0,0.6803271,0.12108084,24000.0,0.32562777,480.0,23,0.6636055,8.62618e-05,0.0211282
0.0,125000.0,-33.153286,0.0,2500.0,0.68031293,0.11817665,25000.0,0.32573345,500.0,24,0.6625057,2.3278175e-05,0.020943543
0.0,130000.0,-33.965694,0.0,2600.0,0.68028283,0.11869478,26000.0,0.3258425,520.0,25,0.6617032,5.6885115e-06,0.020768343
0.0,135000.0,-34.7395,0.0,2700.0,0.6802597,0.11854181,27000.0,0.3259673,540.0,26,0.6608678,4.7889498e-05,0.020600347
0.0,140000.0,-35.462658,0.0,2800.0,0.6802345,0.11940307,28000.0,0.32600778,560.0,27,0.6601769,4.376167e-05,0.020444494
0.0,145000.0,-36.158978,0.0,2900.0,0.6802109,0.11863047,29000.0,0.32606328,580.0,28,0.6595272,1.3869292e-05,0.020289756
0.0,150000.0,-36.817947,0.0,3000.0,0.68018335,0.11749757,30000.0,0.32613122,600.0,29,0.65880036,2.2263748e-05,0.020151474
