test/episode,train/episode,train/reward_compute_count,stats_g/mean,test/success_rate,stats_o/std,train/success_rate,train/critic_loss,test/mean_Q,test/ag_g_dist,stats_o/mean,epoch,test/reward_compute_count,stats_g/std
20.0,100.0,5000.0,0.67435056,0.8083333333333332,0.6995296,0.09666666666666666,0.042371582,-1.8574394,0.044219654,0.32375756,0,1000.0,0.019053956
40.0,200.0,10000.0,0.6739586,1.0,0.76892954,0.5816666666666667,0.046619758,-1.461083,0.02538308,0.31597567,1,2000.0,0.018521164
60.0,300.0,15000.0,0.6737643,0.9916666666666667,0.7978223,0.5933333333333333,0.04657972,-1.6648291,0.028438643,0.3129438,2,3000.0,0.0182816
80.0,400.0,20000.0,0.67369336,0.875,0.8109862,0.5216666666666666,0.04444329,-2.103913,0.029722862,0.3114023,3,4000.0,0.018097753
100.0,500.0,25000.0,0.6741094,0.7083333333333334,0.8143169,0.46666666666666673,0.04329009,-2.6904767,0.04672228,0.31104943,4,5000.0,0.01807871
120.0,600.0,30000.0,0.6742143,0.775,0.81592387,0.4333333333333333,0.051560145,-2.8815758,0.033128127,0.31008878,5,6000.0,0.018103493
140.0,700.0,35000.0,0.67438203,0.8000000000000002,0.81711864,0.4166666666666667,0.049384337,-2.8637798,0.039884783,0.31020182,6,7000.0,0.01827725
160.0,800.0,40000.0,0.6743519,0.7166666666666667,0.81915826,0.3933333333333333,0.045798894,-3.7963886,0.050000567,0.31070957,7,8000.0,0.018420232
180.0,900.0,45000.0,0.6743901,0.775,0.82002944,0.4033333333333333,0.047393855,-3.5706823,0.050437137,0.31112602,8,9000.0,0.018446418
200.0,1000.0,50000.0,0.67429227,0.8083333333333332,0.8197243,0.4216666666666667,0.049755234,-3.5790608,0.035384715,0.31071913,9,10000.0,0.018477943
220.0,1100.0,55000.0,0.67441535,0.775,0.81945246,0.375,0.045461584,-4.16433,0.03193628,0.31053567,10,11000.0,0.01849189
240.0,1200.0,60000.0,0.6744387,0.8083333333333332,0.8203643,0.4216666666666667,0.047881562,-4.0545206,0.030176774,0.3099334,11,12000.0,0.018507075
260.0,1300.0,65000.0,0.6744533,0.7666666666666666,0.81977576,0.41333333333333333,0.0465268,-5.0147634,0.04139893,0.30970958,12,13000.0,0.018514996
280.0,1400.0,70000.0,0.6745997,0.8416666666666667,0.819547,0.41,0.048874885,-3.945821,0.033426642,0.3098036,13,14000.0,0.018545484
300.0,1500.0,75000.0,0.674774,0.775,0.81921357,0.37666666666666665,0.050566327,-5.5506988,0.04344764,0.3098753,14,15000.0,0.018553337
320.0,1600.0,80000.0,0.6749432,0.8083333333333332,0.81876546,0.385,0.043803632,-5.341495,0.039045263,0.30990475,15,16000.0,0.018550597
340.0,1700.0,85000.0,0.67503065,0.7833333333333333,0.81825995,0.395,0.046305478,-5.937243,0.038676813,0.3099318,16,17000.0,0.018520202
360.0,1800.0,90000.0,0.6751031,0.725,0.8180389,0.37000000000000005,0.042991657,-7.260588,0.046467263,0.30994982,17,18000.0,0.018516336
380.0,1900.0,95000.0,0.6751976,0.775,0.81785005,0.3566666666666667,0.04495122,-6.8562202,0.042281736,0.31009984,18,19000.0,0.018528495
400.0,2000.0,100000.0,0.67530376,0.7833333333333333,0.8177417,0.34333333333333327,0.053734,-6.9640903,0.040652607,0.3101496,19,20000.0,0.018539064
420.0,2100.0,105000.0,0.6753592,0.7250000000000001,0.8173637,0.37666666666666665,0.04132384,-8.856525,0.04760015,0.3102408,20,21000.0,0.0185472
440.0,2200.0,110000.0,0.6753531,0.775,0.8173029,0.425,0.046933506,-7.5532813,0.031252306,0.31018922,21,22000.0,0.018576467
460.0,2300.0,115000.0,0.67534214,0.7916666666666666,0.8175896,0.4083333333333334,0.046290074,-7.175368,0.031955067,0.30995813,22,23000.0,0.018532833
480.0,2400.0,120000.0,0.6753414,0.7250000000000001,0.81775165,0.42,0.050807115,-9.207469,0.02922841,0.30972913,23,24000.0,0.018496549
500.0,2500.0,125000.0,0.6753691,0.875,0.81765074,0.355,0.048198104,-6.049605,0.02514649,0.30955896,24,25000.0,0.018468538
520.0,2600.0,130000.0,0.6753809,0.7416666666666666,0.81756455,0.34833333333333333,0.042201925,-7.618811,0.030586487,0.3095379,25,26000.0,0.018443717
540.0,2700.0,135000.0,0.67542624,0.75,0.81740254,0.36999999999999994,0.045650277,-8.429296,0.031933103,0.30955285,26,27000.0,0.01840514
560.0,2800.0,140000.0,0.67547566,0.7250000000000001,0.81729573,0.39333333333333337,0.041508995,-10.198911,0.038450424,0.30952537,27,28000.0,0.018373482
580.0,2900.0,145000.0,0.67552775,0.75,0.81711197,0.36999999999999994,0.04869764,-9.706992,0.0351782,0.30958197,28,29000.0,0.018344434
600.0,3000.0,150000.0,0.67557067,0.7666666666666666,0.817097,0.3466666666666667,0.047930893,-9.008683,0.03351673,0.30959612,29,30000.0,0.01833243
