train/reward_compute_count,train/critic_loss,epoch,stats_g/mean,stats_g/std,train/success_rate,test/success_rate,stats_o/std,test/ag_g_dist,stats_o/mean,test/mean_Q,train/episode,test/reward_compute_count,test/episode
5000.0,0.00089139026,0,0.67442244,0.01916883,0.0,0.0,0.6810611,0.14841036,0.33449888,-2.1043098,100.0,1000.0,20.0
10000.0,0.0004634241,1,0.6794391,0.020618998,0.0,0.0,0.68482924,0.18317287,0.34618023,-4.112349,200.0,2000.0,40.0
15000.0,0.00019196652,2,0.68252856,0.020976715,0.0,0.0,0.6796796,0.19049644,0.34724477,-6.2357383,300.0,3000.0,60.0
20000.0,0.00016006811,3,0.6843744,0.02100397,0.0,0.0,0.67684036,0.1703686,0.3471286,-8.033702,400.0,4000.0,80.0
25000.0,0.00016468488,4,0.6847612,0.0204476,0.0,0.0,0.6735039,0.14112683,0.34641656,-10.011985,500.0,5000.0,100.0
30000.0,0.00014851468,5,0.68411046,0.0199196,0.0,0.0,0.6708031,0.118302345,0.34455955,-11.821567,600.0,6000.0,120.0
35000.0,0.00015277941,6,0.68273896,0.019779509,0.0,0.0,0.66957116,0.10527009,0.3414745,-13.458931,700.0,7000.0,140.0
40000.0,0.00015837316,7,0.68148327,0.019717397,0.0,0.0,0.6686905,0.09871656,0.33793,-15.090581,800.0,8000.0,160.0
45000.0,0.00011816892,8,0.680542,0.019602066,0.0016666666666666668,0.0,0.66685253,0.093878746,0.33522925,-16.664211,900.0,9000.0,180.0
50000.0,0.00012544618,9,0.6797977,0.019480284,0.0,0.0,0.665048,0.09342513,0.33337435,-18.188477,1000.0,10000.0,200.0
55000.0,0.00010919016,10,0.67929083,0.01930824,0.0,0.0,0.66315883,0.09382049,0.3321403,-19.603975,1100.0,11000.0,220.0
60000.0,0.00013366718,11,0.6789157,0.019106628,0.0,0.0,0.6618397,0.09638084,0.33118886,-21.021135,1200.0,12000.0,240.0
65000.0,8.4545754e-05,12,0.6786179,0.018902909,0.0,0.0,0.6599527,0.09562987,0.33049813,-22.374018,1300.0,13000.0,260.0
70000.0,0.00012946538,13,0.6784238,0.018681217,0.0,0.0,0.6586772,0.09785732,0.33004496,-23.69731,1400.0,14000.0,280.0
75000.0,0.00010818215,14,0.67833203,0.018471861,0.0,0.0,0.65748876,0.10312257,0.32962668,-24.975143,1500.0,15000.0,300.0
80000.0,4.2725533e-05,15,0.6783096,0.018285679,0.0,0.0,0.6562031,0.108760394,0.32933533,-26.1629,1600.0,16000.0,320.0
85000.0,4.3802615e-05,16,0.67834336,0.018130554,0.0,0.0,0.65508443,0.11181911,0.3292665,-27.280884,1700.0,17000.0,340.0
90000.0,2.4857645e-05,17,0.67840034,0.018002497,0.0,0.0,0.65412325,0.11686548,0.32923126,-28.352137,1800.0,18000.0,360.0
95000.0,2.0107675e-05,18,0.678492,0.01790332,0.0,0.0,0.65351886,0.11941891,0.32929626,-29.414598,1900.0,19000.0,380.0
100000.0,7.1740425e-05,19,0.6785973,0.017817156,0.0,0.0,0.6526473,0.120577075,0.32934827,-30.376013,2000.0,20000.0,400.0
105000.0,2.9209486e-05,20,0.6786942,0.017737914,0.0,0.0,0.6521687,0.12016272,0.3294235,-31.321259,2100.0,21000.0,420.0
110000.0,9.2844966e-05,21,0.6787774,0.017664257,0.0,0.0,0.65143186,0.1171965,0.32948646,-32.223404,2200.0,22000.0,440.0
115000.0,2.044675e-05,22,0.6788328,0.017587211,0.0,0.0,0.6510798,0.11727867,0.329506,-33.065945,2300.0,23000.0,460.0
120000.0,2.3388697e-05,23,0.67887765,0.017512487,0.0,0.0,0.6503299,0.114595115,0.32948843,-33.885185,2400.0,24000.0,480.0
125000.0,1.129037e-05,24,0.6789077,0.017445823,0.0,0.0,0.64968467,0.116469584,0.32941207,-34.673576,2500.0,25000.0,500.0
130000.0,1.7964185e-05,25,0.6789252,0.017377697,0.0,0.0,0.6493033,0.11671471,0.3293606,-35.41611,2600.0,26000.0,520.0
135000.0,1.737777e-05,26,0.6789482,0.01731455,0.0,0.0,0.64886546,0.11795107,0.32933724,-36.117992,2700.0,27000.0,540.0
140000.0,1.8151528e-05,27,0.67896825,0.017261047,0.0,0.0,0.6485538,0.118637525,0.32925394,-36.780773,2800.0,28000.0,560.0
145000.0,2.7531118e-05,28,0.6789865,0.017204743,0.0,0.0,0.6482537,0.11884003,0.32919165,-37.41429,2900.0,29000.0,580.0
150000.0,1.4050766e-05,29,0.6789997,0.017156664,0.0,0.0,0.64785665,0.11782056,0.32914892,-38.003822,3000.0,30000.0,600.0
