train/critic_loss,stats_g/mean,test/reward_compute_count,stats_o/std,train/episode,test/success_rate,train/reward_compute_count,stats_o/mean,stats_g/std,test/mean_Q,test/episode,epoch,test/ag_g_dist,train/success_rate
0.02580992,0.6718069,1000.0,0.7500623,100.0,0.9916666666666667,5000.0,0.31416723,0.019650718,-0.6011604,20.0,0,0.038372252,0.31000000000000005
0.01899854,0.6723922,2000.0,0.7678432,200.0,1.0,10000.0,0.31276336,0.017280988,-0.42415094,40.0,1,0.046822872,0.5783333333333334
0.017945362,0.6724976,3000.0,0.7664713,300.0,1.0,15000.0,0.31052652,0.016290208,-0.48649147,60.0,2,0.048341747,0.5716666666666667
0.014889911,0.67257327,4000.0,0.76543736,400.0,1.0,20000.0,0.3090028,0.015808277,-0.38551795,80.0,3,0.04703021,0.5466666666666666
0.014617547,0.67263824,5000.0,0.7659924,500.0,1.0,25000.0,0.30800727,0.0155233955,-0.4034207,100.0,4,0.047649503,0.5233333333333333
0.012392368,0.67267877,6000.0,0.7662502,600.0,1.0,30000.0,0.3071598,0.015343305,-0.3883328,120.0,5,0.047349315,0.4716666666666667
0.017516648,0.67266876,7000.0,0.7662166,700.0,1.0,35000.0,0.30720773,0.015231389,-0.36844358,140.0,6,0.048409015,0.4549999999999999
0.016632093,0.67267567,8000.0,0.76599574,800.0,1.0,40000.0,0.3069728,0.015132268,-0.28601173,160.0,7,0.047887105,0.45999999999999996
0.014708,0.6727031,9000.0,0.76590186,900.0,1.0,45000.0,0.30693388,0.015053759,-0.3095573,180.0,8,0.047501534,0.47666666666666674
0.015545676,0.6727161,10000.0,0.76627594,1000.0,1.0,50000.0,0.30670336,0.014989819,-0.28634468,200.0,9,0.049468655,0.4666666666666666
0.01147752,0.6727591,11000.0,0.7662849,1100.0,1.0,55000.0,0.3066341,0.0149494605,-0.25377214,220.0,10,0.049389016,0.425
0.016226653,0.6727493,12000.0,0.76621276,1200.0,1.0,60000.0,0.30648988,0.01490436,-0.22593619,240.0,11,0.048818786,0.4666666666666666
0.016917119,0.672743,13000.0,0.7658183,1300.0,1.0,65000.0,0.3063236,0.0148690045,-0.20358269,260.0,12,0.047675297,0.46166666666666667
0.015344352,0.6727517,14000.0,0.7658734,1400.0,1.0,70000.0,0.30633658,0.014843364,-0.1594757,280.0,13,0.048538905,0.4483333333333333
0.011922121,0.6727627,15000.0,0.765863,1500.0,1.0,75000.0,0.30618396,0.014815782,-0.14576536,300.0,14,0.048671067,0.47833333333333333
0.017703213,0.6727763,16000.0,0.7656086,1600.0,1.0,80000.0,0.30608526,0.014797155,-0.12994806,320.0,15,0.048728716,0.43
0.01408052,0.6727862,17000.0,0.7651283,1700.0,1.0,85000.0,0.30603966,0.0147748785,-0.070036955,340.0,16,0.04804709,0.4283333333333334
0.014757601,0.6727994,18000.0,0.76528,1800.0,1.0,90000.0,0.3059544,0.014758169,-0.063490056,360.0,17,0.04861,0.4633333333333334
0.012074758,0.6728144,19000.0,0.7654875,1900.0,1.0,95000.0,0.30599648,0.014751364,-0.07076802,380.0,18,0.049427062,0.36000000000000004
0.012328562,0.6728316,20000.0,0.76558393,2000.0,1.0,100000.0,0.30603164,0.014744311,-0.03151084,400.0,19,0.048725635,0.4216666666666667
0.012460738,0.6728468,21000.0,0.7660044,2100.0,1.0,105000.0,0.3060355,0.014736318,-0.02437242,420.0,20,0.04896212,0.44999999999999996
0.012113139,0.67286354,22000.0,0.76596624,2200.0,1.0,110000.0,0.30601385,0.014729124,-0.044780042,440.0,21,0.04914081,0.4566666666666666
0.0126930745,0.67285603,23000.0,0.7660875,2300.0,1.0,115000.0,0.30594465,0.0147130005,-0.031286087,460.0,22,0.049059957,0.4483333333333334
0.011649166,0.6728573,24000.0,0.76570386,2400.0,1.0,120000.0,0.30592024,0.01470155,-0.034978915,480.0,23,0.049132377,0.42
0.015035577,0.6728604,25000.0,0.7656042,2500.0,1.0,125000.0,0.3058567,0.01469664,-0.027121456,500.0,24,0.049239814,0.43999999999999995
0.011777337,0.6728565,26000.0,0.7655156,2600.0,1.0,130000.0,0.30584982,0.014690642,-0.014057215,520.0,25,0.048886236,0.44333333333333336
0.011683772,0.6728638,27000.0,0.76550895,2700.0,1.0,135000.0,0.30586767,0.014684509,-0.0008046956,540.0,26,0.04872133,0.43
0.01268791,0.67287093,28000.0,0.7656023,2800.0,1.0,140000.0,0.30579224,0.014675841,-0.02790068,560.0,27,0.048891786,0.4316666666666667
0.015890153,0.6728826,29000.0,0.76572293,2900.0,1.0,145000.0,0.30581763,0.014670993,-0.019106107,580.0,28,0.04905458,0.4066666666666667
0.009905275,0.67289025,30000.0,0.76555675,3000.0,1.0,150000.0,0.3058519,0.01466434,0.0071082558,600.0,29,0.04901022,0.38166666666666665
