test/episode,epoch,train/reward_compute_count,stats_g/mean,test/ag_g_dist,stats_g/std,test/mean_Q,test/reward_compute_count,train/success_rate,train/critic_loss,train/episode,test/success_rate,stats_o/std,stats_o/mean
20.0,0,5000.0,0.67147654,0.043683752,0.019248625,-1.1417079,1000.0,0.11,0.1246391,100.0,0.9416666666666668,0.7074813,0.31452352
40.0,1,10000.0,0.67218375,0.035968285,0.018024255,-0.6415048,2000.0,0.645,0.10373378,200.0,1.0,0.7613085,0.30938217
60.0,2,15000.0,0.672239,0.04376017,0.016949082,-0.707493,3000.0,0.6083333333333333,0.09215667,300.0,0.9916666666666667,0.76619047,0.30812472
80.0,3,20000.0,0.67216706,0.0462811,0.01636939,-0.6314298,4000.0,0.5766666666666667,0.09489257,400.0,1.0,0.7666232,0.30707306
100.0,4,25000.0,0.672159,0.046810985,0.01602003,-0.6248769,5000.0,0.5616666666666666,0.0976051,500.0,1.0,0.76742154,0.30653724
120.0,5,30000.0,0.67221135,0.047908794,0.015766867,-0.61893445,6000.0,0.5116666666666666,0.09511751,600.0,1.0,0.76782995,0.3060643
140.0,6,35000.0,0.67224747,0.04806542,0.015604622,-0.55075353,7000.0,0.4749999999999999,0.09662942,700.0,1.0,0.76791936,0.30656058
160.0,7,40000.0,0.6723297,0.04820986,0.015469759,-0.47693753,8000.0,0.5116666666666666,0.08340722,800.0,1.0,0.7681475,0.30678177
180.0,8,45000.0,0.67240673,0.04804642,0.015369107,-0.41410136,9000.0,0.48500000000000004,0.08711105,900.0,1.0,0.7678707,0.307135
200.0,9,50000.0,0.6724407,0.04792866,0.015278694,-0.30395237,10000.0,0.5016666666666666,0.09589102,1000.0,1.0,0.76842165,0.3071466
220.0,10,55000.0,0.67248493,0.04792552,0.01521328,-0.2617185,11000.0,0.4633333333333334,0.09121976,1100.0,1.0,0.76847476,0.3071836
240.0,11,60000.0,0.67247933,0.04886486,0.015152187,-0.24350019,12000.0,0.48,0.09590001,1200.0,1.0,0.76851875,0.3069495
260.0,12,65000.0,0.6724693,0.047162205,0.015103516,-0.13821088,13000.0,0.45999999999999996,0.08603704,1300.0,1.0,0.7678997,0.30672073
280.0,13,70000.0,0.6724909,0.048467178,0.015067798,-0.09677994,14000.0,0.4549999999999999,0.09077165,1400.0,1.0,0.76781493,0.30674773
300.0,14,75000.0,0.6725073,0.048563447,0.01502703,-0.07822599,15000.0,0.4916666666666667,0.09006085,1500.0,1.0,0.76778,0.30661964
320.0,15,80000.0,0.67253155,0.04786231,0.014995399,-0.0467795,16000.0,0.4266666666666667,0.08794428,1600.0,1.0,0.76753706,0.30654013
340.0,16,85000.0,0.6725572,0.048744965,0.01496153,-0.05303831,17000.0,0.43333333333333335,0.09541652,1700.0,1.0,0.7672383,0.30649054
360.0,17,90000.0,0.6725877,0.048972636,0.014935807,-0.036362637,18000.0,0.4716666666666667,0.08855143,1800.0,1.0,0.76731414,0.30648717
380.0,18,95000.0,0.6726118,0.04889099,0.014917103,-0.03630075,19000.0,0.39166666666666666,0.09060339,1900.0,1.0,0.76758987,0.30659196
400.0,19,100000.0,0.67263794,0.047490675,0.014902375,-0.04182248,20000.0,0.4366666666666667,0.09250911,2000.0,1.0,0.76760834,0.30658528
420.0,20,105000.0,0.67266273,0.048329365,0.014884856,-0.008078513,21000.0,0.4433333333333333,0.0938556,2100.0,1.0,0.7677888,0.30660006
440.0,21,110000.0,0.672684,0.049154773,0.014868811,-0.03589486,22000.0,0.43999999999999995,0.0984477,2200.0,1.0,0.7678456,0.30651337
460.0,22,115000.0,0.67268544,0.048373327,0.014847861,-0.02325905,23000.0,0.4566666666666666,0.090794094,2300.0,1.0,0.7677899,0.3064641
480.0,23,120000.0,0.6726946,0.048914026,0.014826628,-0.03660898,24000.0,0.44333333333333336,0.09649647,2400.0,1.0,0.7673839,0.306398
500.0,24,125000.0,0.67270404,0.04901431,0.014810161,-0.03010348,25000.0,0.4383333333333333,0.093325876,2500.0,1.0,0.76729494,0.3062712
520.0,25,130000.0,0.6727047,0.049250025,0.014798236,-0.0075277123,26000.0,0.44333333333333336,0.09396547,2600.0,1.0,0.767296,0.30628246
540.0,26,135000.0,0.6727156,0.047969196,0.014784454,0.00064033066,27000.0,0.43,0.08910737,2700.0,1.0,0.7674036,0.3063004
560.0,27,140000.0,0.6727244,0.048401114,0.014766886,0.00459096,28000.0,0.435,0.0927519,2800.0,1.0,0.76750326,0.30621517
580.0,28,145000.0,0.6727417,0.049182255,0.014752266,-0.04112921,29000.0,0.42,0.10101387,2900.0,1.0,0.7676358,0.30622292
600.0,29,150000.0,0.67275196,0.048708737,0.01473559,-0.01379364,30000.0,0.38166666666666665,0.088400416,3000.0,1.0,0.76750416,0.30625588
