stats_o/mean,stats_g/mean,test/reward_compute_count,train/reward_compute_count,test/mean_Q,test/success_rate,stats_o/std,stats_g/std,train/episode,test/ag_g_dist,train/success_rate,train/critic_loss,test/episode,epoch
0.20289953,0.84261733,1000.0,5000.0,-2.5230398,0.041666666666666664,0.05357191,0.09266993,100.0,0.23722331,0.03666666666666667,0.00034824733,20.0,0
0.2030919,0.84477264,2000.0,10000.0,-4.5911946,0.05000000000000001,0.049955588,0.09288434,200.0,0.22205597,0.03833333333333334,0.0002087276,40.0,1
0.2034273,0.8454092,3000.0,15000.0,-6.649723,0.03333333333333333,0.049461007,0.09310859,300.0,0.21804138,0.04,0.00014444128,60.0,2
0.20355795,0.8458376,4000.0,20000.0,-8.663592,0.03333333333333333,0.04810391,0.09353947,400.0,0.22908126,0.043333333333333335,9.874839e-05,80.0,3
0.20348895,0.8455511,5000.0,25000.0,-10.583938,0.008333333333333333,0.048072487,0.09333285,500.0,0.23479688,0.045000000000000005,0.00017903461,100.0,4
0.2036506,0.84580904,6000.0,30000.0,-12.451785,0.008333333333333333,0.047672268,0.09317366,600.0,0.24052651,0.03666666666666667,0.00015627388,120.0,5
0.20376934,0.84608895,7000.0,35000.0,-14.246365,0.016666666666666666,0.046924744,0.09293857,700.0,0.25057986,0.03333333333333333,0.00028495968,140.0,6
0.20382065,0.8461139,8000.0,40000.0,-15.941821,0.05833333333333334,0.04672848,0.09288057,800.0,0.23442797,0.03666666666666667,0.00011444711,160.0,7
0.20380066,0.8457761,9000.0,45000.0,-17.56405,0.041666666666666664,0.047343697,0.09342075,900.0,0.21736972,0.02666666666666667,0.00022333207,180.0,8
0.20380585,0.84571034,10000.0,50000.0,-19.1165,0.075,0.04750623,0.0934613,1000.0,0.23028259,0.041666666666666664,0.00013233181,200.0,9
0.20390475,0.84600276,11000.0,55000.0,-20.602211,0.05833333333333334,0.047176432,0.09357581,1100.0,0.21915145,0.03166666666666667,0.00020608008,220.0,10
0.2039382,0.845995,12000.0,60000.0,-22.037256,0.016666666666666666,0.04680158,0.09343057,1200.0,0.24513145,0.03333333333333333,0.00021456361,240.0,11
0.20393097,0.84589577,13000.0,65000.0,-23.385185,0.025000000000000005,0.046887297,0.093406916,1300.0,0.2352608,0.043333333333333335,0.0001529686,260.0,12
