test/mean_Q,stats_o/std,epoch,stats_o/mean,train/critic_loss,stats_g/std,train/episode,train/reward_compute_count,test/ag_g_dist,stats_g/mean,test/episode,test/success_rate,test/reward_compute_count,train/success_rate
-2.8183448,0.050896507,0,0.20308353,0.08645308,0.0924184,100.0,5000.0,0.237217,0.8424136,20.0,0.041666666666666664,1000.0,0.03333333333333333
-4.6147776,0.050146624,1,0.20351966,0.08310507,0.09239859,200.0,10000.0,0.22227186,0.84478515,40.0,0.05000000000000001,2000.0,0.043333333333333335
-6.4929843,0.051030368,2,0.20388694,0.07576848,0.09287894,300.0,15000.0,0.21881942,0.8454247,60.0,0.03333333333333333,3000.0,0.041666666666666664
-8.096941,0.056212272,3,0.20397836,0.084715374,0.094237864,400.0,20000.0,0.2334613,0.8458589,80.0,0.041666666666666664,4000.0,0.045000000000000005
-10.130736,0.058908533,4,0.20395558,0.0906479,0.0949376,500.0,25000.0,0.23618583,0.84549624,100.0,0.008333333333333333,5000.0,0.04833333333333334
-11.584591,0.06427032,5,0.20398514,0.08997951,0.09857779,600.0,30000.0,0.24271302,0.8458945,120.0,0.041666666666666664,6000.0,0.055
-12.322787,0.068353854,6,0.20391606,0.112518646,0.10046906,700.0,35000.0,0.24655652,0.84613013,140.0,0.07500000000000001,7000.0,0.05333333333333334
-12.9745865,0.07353889,7,0.20405634,0.115018286,0.10178984,800.0,40000.0,0.23073246,0.84625095,160.0,0.10833333333333334,8000.0,0.09500000000000001
-12.372533,0.07896297,8,0.2040195,0.14729346,0.1027387,900.0,45000.0,0.20571369,0.8461601,180.0,0.19166666666666665,9000.0,0.11666666666666668
-11.76386,0.08211576,9,0.20407742,0.14712435,0.10308063,1000.0,50000.0,0.2071526,0.84596443,200.0,0.3416666666666666,10000.0,0.125
-12.19083,0.08618852,10,0.20407622,0.17804645,0.10438863,1100.0,55000.0,0.18941943,0.8455518,220.0,0.26666666666666666,11000.0,0.17833333333333332
-13.622555,0.08980259,11,0.20397662,0.15372832,0.10564644,1200.0,60000.0,0.21206994,0.84522206,240.0,0.25833333333333336,12000.0,0.255
-12.345029,0.09232205,12,0.20396294,0.14416386,0.1055345,1300.0,65000.0,0.18813519,0.84501606,260.0,0.42500000000000004,13000.0,0.26
-11.859772,0.09462098,13,0.20392221,0.15509428,0.10602638,1400.0,70000.0,0.17723632,0.8449517,280.0,0.4416666666666667,14000.0,0.2866666666666667
