stats_g/mean,test/mean_Q,stats_o/std,test/ag_g_dist,epoch,test/episode,test/success_rate,train/success_rate,stats_g/std,train/reward_compute_count,test/reward_compute_count,train/episode,stats_o/mean,train/critic_loss
0.37973037,-2.715524,0.76401573,0.97980696,0,20.0,0.0,0.0,0.22920005,5000.0,1000.0,100.0,0.20073931,0.0024138584
0.38008484,-4.791951,0.7536672,0.9785667,1,40.0,0.0,0.0,0.23020445,10000.0,2000.0,200.0,0.20253152,0.002038883
0.37973413,-6.8451123,0.7440193,0.9753911,2,60.0,0.0,0.0,0.23136766,15000.0,3000.0,300.0,0.20202768,0.0012569366
0.3802609,-8.8558235,0.7358778,1.0406537,3,80.0,0.0,0.0,0.2308441,20000.0,4000.0,400.0,0.20128809,0.0007192238
0.37949467,-10.745349,0.731725,0.9812415,4,100.0,0.0,0.0,0.23027559,25000.0,5000.0,500.0,0.20125107,0.00046628373
0.38038984,-12.5789385,0.72827405,0.9940087,5,120.0,0.0,0.0,0.23063527,30000.0,6000.0,600.0,0.20157397,0.0005371846
0.38081256,-14.344275,0.725813,1.0702797,6,140.0,0.0,0.0,0.23050518,35000.0,7000.0,700.0,0.2016802,0.00042850198
0.3806158,-16.024345,0.72327584,0.9879484,7,160.0,0.0,0.0,0.22979198,40000.0,8000.0,800.0,0.20169325,0.0006200128
0.3813313,-17.602686,0.7222433,0.95080215,8,180.0,0.0,0.0,0.22926472,45000.0,9000.0,900.0,0.20196266,0.00053424324
0.38128868,-19.116991,0.72138375,1.031691,9,200.0,0.0,0.0,0.22898044,50000.0,10000.0,1000.0,0.20194228,0.0006348004
0.38125476,-20.618212,0.72012836,1.0037357,10,220.0,0.0,0.0,0.22899504,55000.0,11000.0,1100.0,0.20212202,0.0006045772
0.38121107,-22.011099,0.7195259,1.0567352,11,240.0,0.0,0.0,0.22898722,60000.0,12000.0,1200.0,0.2022798,0.0009311942
0.38093302,-23.332212,0.7188837,0.9971587,12,260.0,0.0,0.0,0.22897768,65000.0,13000.0,1300.0,0.20212786,0.00079056644
0.38092414,-24.556404,0.7180333,1.0662307,13,280.0,0.0,0.0,0.2288593,70000.0,14000.0,1400.0,0.20209749,0.0025656119
0.38087258,-25.786684,0.7175258,1.1085738,14,300.0,0.0,0.0,0.22908978,75000.0,15000.0,1500.0,0.2021283,0.000908484
