stats_g/mean,test/reward_compute_count,epoch,train/reward_compute_count,train/success_rate,train/critic_loss,test/mean_Q,stats_o/std,stats_g/std,stats_o/mean,train/episode,test/ag_g_dist,test/success_rate,test/episode
0.3771317,1000.0,0,5000.0,0.0,0.061240207,-2.5474985,0.7545695,0.22949232,0.20022887,100.0,0.97303754,0.0,20.0
0.3779637,2000.0,1,10000.0,0.0,0.0750727,-4.5261083,0.755498,0.231086,0.19970228,200.0,0.9780736,0.0,40.0
0.3779386,3000.0,2,15000.0,0.0,0.08124104,-6.295546,0.76008123,0.232229,0.1973065,300.0,0.9834466,0.0,60.0
0.37820247,4000.0,3,20000.0,0.0,0.08863749,-8.042598,0.7678718,0.23170875,0.19574416,400.0,1.0379614,0.0,80.0
0.37742424,5000.0,4,25000.0,0.0016666666666666668,0.091849186,-9.026462,0.7763591,0.2314883,0.1946307,500.0,0.9743905,0.0,100.0
0.3779191,6000.0,5,30000.0,0.0,0.093148,-10.191428,0.7815607,0.23284988,0.19425954,600.0,1.0016832,0.0,120.0
0.37794086,7000.0,6,35000.0,0.0,0.10342064,-11.900212,0.7859344,0.23431765,0.19286041,700.0,1.0865976,0.0,140.0
0.37746373,8000.0,7,40000.0,0.0,0.111883886,-12.88731,0.7881951,0.2342871,0.19215436,800.0,0.9790569,0.0,160.0
0.37819362,9000.0,8,45000.0,0.0,0.10885012,-13.976701,0.7901924,0.23400736,0.19210778,900.0,0.94866467,0.0,180.0
0.37824723,10000.0,9,50000.0,0.0,0.11984044,-15.808339,0.79179686,0.23390174,0.19200845,1000.0,1.0211014,0.0,200.0
0.37817526,11000.0,10,55000.0,0.0,0.12568228,-16.589087,0.79304975,0.23409534,0.19215244,1100.0,0.9796505,0.0,220.0
0.3781561,12000.0,11,60000.0,0.0,0.12625085,-18.144339,0.79480153,0.23418535,0.19276088,1200.0,1.0265177,0.0,240.0
0.37766364,13000.0,12,65000.0,0.0016666666666666668,0.121195756,-18.788828,0.79813224,0.2346317,0.19284916,1300.0,0.9773086,0.0,260.0
0.37751833,14000.0,13,70000.0,0.0016666666666666668,0.13908456,-19.298668,0.8017685,0.23486124,0.1926107,1400.0,1.0245546,0.0,280.0
0.37754306,15000.0,14,75000.0,0.0,0.14066762,-20.556654,0.80505115,0.23512864,0.19257148,1500.0,1.0462046,0.0,300.0
0.37752166,16000.0,15,80000.0,0.0,0.14578155,-20.160656,0.80904484,0.23536666,0.19256438,1600.0,0.9185205,0.0,320.0
0.3776815,17000.0,16,85000.0,0.0,0.16614032,-21.848198,0.81249636,0.23566103,0.19269533,1700.0,0.9551514,0.0,340.0
0.37770477,18000.0,17,90000.0,0.0,0.15791775,-22.5729,0.8158038,0.23577629,0.1924699,1800.0,0.9854409,0.0,360.0
0.37725997,19000.0,18,95000.0,0.0,0.1522377,-22.386377,0.8191002,0.23605151,0.192315,1900.0,0.9301979,0.0,380.0
0.37696728,20000.0,19,100000.0,0.0,0.17381932,-22.148733,0.8232419,0.23601885,0.19209199,2000.0,0.91066736,0.0,400.0
0.3769056,21000.0,20,105000.0,0.0,0.17415778,-21.506317,0.8272185,0.23617278,0.19188412,2100.0,0.89314526,0.016666666666666666,420.0
0.37684843,22000.0,21,110000.0,0.0,0.17460896,-22.883413,0.8309374,0.2361319,0.19183393,2200.0,0.9304337,0.0,440.0
0.37696436,23000.0,22,115000.0,0.0,0.17742388,-24.684835,0.83495516,0.23603173,0.19179286,2300.0,0.96595496,0.008333333333333333,460.0
0.3769864,24000.0,23,120000.0,0.0,0.16764987,-23.204826,0.8387154,0.23607062,0.19189851,2400.0,0.8813381,0.016666666666666666,480.0
0.37690187,25000.0,24,125000.0,0.0,0.22123122,-23.206556,0.84257764,0.23593111,0.19207847,2500.0,0.8778004,0.0,500.0
