train/success_rate,test/episode,stats_o/mean,epoch,stats_g/mean,train/critic_loss,train/reward_compute_count,test/mean_Q,train/episode,stats_o/std,stats_g/std,test/reward_compute_count,test/ag_g_dist,test/success_rate
0.0,20.0,0.19958977,0,0.38024354,0.0007884942,5000.0,-2.1104271,100.0,0.75109977,0.22971483,1000.0,0.9847738,0.0
0.0,40.0,0.20215039,1,0.3803526,0.00063285645,10000.0,-4.2432942,200.0,0.74972296,0.2315626,2000.0,0.9798851,0.0
0.0,60.0,0.20249586,2,0.38005272,0.00039529896,15000.0,-6.3319955,300.0,0.74196887,0.23230098,3000.0,0.97238284,0.0
0.0,80.0,0.20254914,3,0.38053533,0.00022520155,20000.0,-8.362607,400.0,0.7347227,0.23172359,4000.0,1.0340294,0.0
0.0,100.0,0.20274556,4,0.37987658,0.00019306286,25000.0,-10.277165,500.0,0.7309217,0.23095147,5000.0,0.978327,0.0
0.0,120.0,0.20308228,5,0.38075605,0.00022405824,30000.0,-12.125691,600.0,0.7276878,0.23121874,6000.0,0.9935892,0.0
0.0,140.0,0.2031451,6,0.3813025,0.00012331583,35000.0,-13.892278,700.0,0.7254465,0.23096891,7000.0,1.0714998,0.0
0.0,160.0,0.2029819,7,0.38104132,0.00017817365,40000.0,-15.606612,800.0,0.72296405,0.23020077,8000.0,0.9852168,0.0
0.0,180.0,0.20322569,8,0.3817133,0.00025778465,45000.0,-17.225925,900.0,0.72195745,0.22967236,9000.0,0.9507219,0.0
0.0,200.0,0.20316619,9,0.38164654,0.00023843285,50000.0,-18.73805,1000.0,0.72112775,0.2293426,10000.0,1.0303715,0.0
0.0,220.0,0.20334204,10,0.38160184,0.00024392414,55000.0,-20.226336,1100.0,0.7199233,0.22932781,11000.0,1.0028056,0.0
0.0,240.0,0.20350729,11,0.38157463,0.00021581301,60000.0,-21.665474,1200.0,0.7193579,0.22925143,12000.0,1.0580422,0.0
0.0,260.0,0.2034295,12,0.3812572,0.0002961954,65000.0,-23.033613,1300.0,0.71874785,0.22920029,13000.0,0.99522716,0.0
0.0,280.0,0.20329918,13,0.38120857,0.0002548909,70000.0,-24.289743,1400.0,0.7179186,0.22904725,14000.0,1.0649512,0.0
