epoch,test/episode,stats_o/mean,stats_o/std,stats_g/std,test/ag_g_dist,train/success_rate,train/reward_compute_count,stats_g/mean,test/success_rate,train/critic_loss,train/episode,test/mean_Q,test/reward_compute_count
0,20.0,0.1955853,0.755213,0.23128903,0.9984083,0.0,5000.0,0.3707007,0.0,0.00090878597,100.0,-2.2344983,1000.0
1,40.0,0.1990289,0.75215006,0.23212723,1.0061666,0.0,10000.0,0.3734254,0.0,0.0006862636,200.0,-4.2136183,2000.0
2,60.0,0.2015727,0.7475207,0.23229016,0.9865172,0.0,15000.0,0.37388822,0.0,0.00041125505,300.0,-6.2438684,3000.0
3,80.0,0.20274551,0.7412687,0.23197293,1.0479228,0.0,20000.0,0.37391356,0.0,0.00021762993,400.0,-8.24501,4000.0
4,100.0,0.20324783,0.73758525,0.23126893,0.9881064,0.0,25000.0,0.37305155,0.0,0.00017946788,500.0,-10.205195,5000.0
5,120.0,0.20369153,0.734091,0.2317512,1.0004361,0.0,30000.0,0.3739182,0.0,0.00015339091,600.0,-12.059402,6000.0
6,140.0,0.20368676,0.7314274,0.23171063,1.0866336,0.0,35000.0,0.37417355,0.0,0.00015175206,700.0,-13.849258,7000.0
7,160.0,0.20350043,0.72866106,0.23115492,1.001279,0.0,40000.0,0.3734903,0.0,0.00028619403,800.0,-15.515896,8000.0
8,180.0,0.20353507,0.7273645,0.23072957,0.97624826,0.0,45000.0,0.3739214,0.0,0.00019034027,900.0,-17.15464,9000.0
9,200.0,0.20334083,0.7262457,0.23056328,1.0550343,0.0,50000.0,0.37393618,0.0,0.0002836882,1000.0,-18.681314,10000.0
10,220.0,0.20326431,0.72479033,0.23074055,1.0223924,0.0,55000.0,0.3740553,0.0,0.00021871104,1100.0,-20.16812,11000.0
11,240.0,0.20318203,0.7239612,0.2307405,1.0722774,0.0,60000.0,0.3739008,0.0,0.00024314341,1200.0,-21.602411,12000.0
12,260.0,0.20291169,0.7231514,0.23077343,1.0027505,0.0,65000.0,0.37359676,0.0,0.00023422671,1300.0,-22.944647,13000.0
13,280.0,0.20267399,0.7221274,0.23071742,1.0667373,0.0,70000.0,0.37375697,0.0,0.00033349133,1400.0,-24.215311,14000.0
14,300.0,0.20261855,0.7214977,0.23092024,1.1125983,0.0,75000.0,0.37390384,0.0,0.00022361083,1500.0,-25.419266,15000.0
15,320.0,0.20241769,0.721093,0.23088415,1.0009952,0.0,80000.0,0.37397423,0.0,0.00019180651,1600.0,-26.633005,16000.0
16,340.0,0.20233141,0.72016543,0.23096938,1.0134546,0.0,85000.0,0.37428477,0.0,0.0006451921,1700.0,-27.70719,17000.0
17,360.0,0.20209451,0.71972865,0.23084028,1.0426952,0.0,90000.0,0.37422308,0.0,0.00085613364,1800.0,-28.801964,18000.0
18,380.0,0.20197825,0.7191054,0.23082535,0.9987486,0.0,95000.0,0.37397465,0.0,0.00017859689,1900.0,-29.834845,19000.0
19,400.0,0.20187557,0.71889,0.23074873,1.021644,0.0,100000.0,0.37398914,0.0,0.00036860778,2000.0,-30.806482,20000.0
20,420.0,0.20182915,0.7185252,0.23087645,0.9943869,0.0,105000.0,0.373852,0.0,0.0010144404,2100.0,-31.786964,21000.0
21,440.0,0.20163955,0.7181341,0.23089044,1.0288361,0.0,110000.0,0.37376103,0.0,0.0015536033,2200.0,-32.61875,22000.0
22,460.0,0.20164692,0.7177498,0.23083071,1.0623006,0.0,115000.0,0.3739774,0.0,0.0006181822,2300.0,-33.390747,23000.0
23,480.0,0.20160283,0.71753806,0.23094405,1.0311848,0.0,120000.0,0.37408838,0.0,0.00096473144,2400.0,-34.19642,24000.0
