stats_o/mean,train/success_rate,stats_o/std,test/episode,test/mean_Q,test/reward_compute_count,epoch,stats_g/std,train/critic_loss,stats_g/mean,train/episode,test/ag_g_dist,train/reward_compute_count,test/success_rate
0.19938342,0.0,0.7682576,20.0,-2.7033246,1000.0,0,0.23269403,0.07313519,0.3679916,100.0,0.9895368,5000.0,0.0
0.1998928,0.0,0.76384395,40.0,-4.7298493,2000.0,1,0.23271294,0.07629999,0.371881,200.0,0.9969044,10000.0,0.0
0.20012408,0.0,0.7589167,60.0,-6.3335724,3000.0,2,0.23317249,0.06963694,0.3726438,300.0,0.97530097,15000.0,0.0
0.20013942,0.0,0.75847703,80.0,-8.394105,4000.0,3,0.2330401,0.088853024,0.37285736,400.0,1.0295682,20000.0,0.0
0.20032053,0.0,0.75901675,100.0,-9.762157,5000.0,4,0.23241337,0.09126303,0.37233737,500.0,0.9708987,25000.0,0.0
0.20036261,0.0,0.75972587,120.0,-11.301175,6000.0,5,0.23316526,0.08426789,0.37302002,600.0,0.99923915,30000.0,0.0
0.20062713,0.0,0.76139265,140.0,-13.005092,7000.0,6,0.2336586,0.10468808,0.37324604,700.0,1.0640692,35000.0,0.0
0.20046012,0.0,0.7640502,160.0,-13.943744,8000.0,7,0.23408568,0.102594055,0.3723143,800.0,0.9704545,40000.0,0.0
0.20034043,0.0,0.7679002,180.0,-14.617234,9000.0,8,0.23420973,0.10149229,0.3727778,900.0,0.9290636,45000.0,0.008333333333333333
0.20030086,0.0,0.7720215,200.0,-16.35261,10000.0,9,0.23447119,0.108994424,0.37278822,1000.0,1.0296007,50000.0,0.0
0.20032473,0.0,0.7767324,220.0,-17.290121,11000.0,10,0.23505385,0.12699181,0.37244305,1100.0,0.97395563,55000.0,0.016666666666666666
0.20062952,0.0,0.781188,240.0,-17.772186,12000.0,11,0.23551323,0.11908126,0.37207136,1200.0,0.9944398,60000.0,0.016666666666666666
0.20026879,0.0,0.7864712,260.0,-18.33858,13000.0,12,0.23575024,0.12671576,0.3717526,1300.0,0.9527631,65000.0,0.016666666666666666
0.20009588,0.0016666666666666668,0.79042554,280.0,-19.17303,14000.0,13,0.2357208,0.14488146,0.37153172,1400.0,0.99290705,70000.0,0.008333333333333333
0.20011954,0.0016666666666666668,0.79508716,300.0,-20.547672,15000.0,14,0.23589961,0.15321739,0.37169918,1500.0,1.0349007,75000.0,0.008333333333333333
0.20003553,0.0033333333333333335,0.80097467,320.0,-19.00995,16000.0,15,0.23585427,0.17848329,0.37171116,1600.0,0.8662364,80000.0,0.016666666666666666
0.19987516,0.0033333333333333335,0.8068759,340.0,-19.758356,17000.0,16,0.23600166,0.17222615,0.37182638,1700.0,0.8776515,85000.0,0.016666666666666666
