test/ag_g_dist,train/reward_compute_count,stats_o/mean,train/critic_loss,test/episode,stats_g/mean,test/mean_Q,train/success_rate,stats_g/std,stats_o/std,test/success_rate,epoch,train/episode,test/reward_compute_count
0.15344502,5000.0,0.33780727,0.0019574107,20.0,0.6756666,-2.6635997,0.0,0.019727714,0.6885583,0.0,0,100.0,1000.0
0.22219972,10000.0,0.3447596,0.0012510421,40.0,0.68191665,-4.319517,0.0,0.021838019,0.68634874,0.0,1,200.0,2000.0
0.22687721,15000.0,0.34233537,0.00085002574,60.0,0.686713,-6.0085597,0.0,0.023233103,0.68388146,0.0,2,300.0,3000.0
0.21877551,20000.0,0.33892608,0.00061400473,80.0,0.6887873,-7.771876,0.0,0.023172626,0.6804926,0.0,3,400.0,4000.0
0.16050667,25000.0,0.3370575,0.00064992346,100.0,0.689215,-9.632954,0.0,0.022553742,0.67844754,0.0,4,500.0,5000.0
0.15829025,30000.0,0.33528838,0.00081003533,120.0,0.68771243,-10.670682,0.0,0.02229116,0.6835497,0.0,5,600.0,6000.0
0.15976681,35000.0,0.3354725,0.0005761201,140.0,0.68609303,-12.050774,0.0,0.022236608,0.6876147,0.0,6,700.0,7000.0
0.13888963,40000.0,0.3348874,0.0008168206,160.0,0.6846617,-13.73771,0.0,0.022070324,0.68842775,0.0,7,800.0,8000.0
0.11058926,45000.0,0.33374926,0.00048245373,180.0,0.6833656,-15.324493,0.0,0.021849735,0.6858781,0.0,8,900.0,9000.0
0.09810237,50000.0,0.3321469,0.00059356657,200.0,0.68219453,-16.719492,0.0,0.021855345,0.68310213,0.0,9,1000.0,10000.0
0.095851,55000.0,0.3309757,0.00089297374,220.0,0.6813171,-17.992186,0.0,0.021981142,0.68080074,0.0,10,1100.0,11000.0
0.11305257,60000.0,0.3294798,0.0005653787,240.0,0.68064624,-19.155104,0.0,0.022291565,0.6795284,0.0,11,1200.0,12000.0
0.13862516,65000.0,0.32785267,0.00041629994,260.0,0.68051314,-19.983826,0.0,0.022971386,0.67845184,0.0,12,1300.0,13000.0
0.13631551,70000.0,0.32647663,0.00044475007,280.0,0.6806342,-21.212622,0.0,0.02336154,0.6778293,0.0,13,1400.0,14000.0
0.1303591,75000.0,0.3254643,0.00030304093,300.0,0.6808345,-22.490028,0.0,0.023485668,0.6767178,0.0,14,1500.0,15000.0
0.10332039,80000.0,0.32477692,0.00026211658,320.0,0.6808664,-23.819794,0.0,0.02332552,0.6749964,0.0,15,1600.0,16000.0
0.100809656,85000.0,0.32453504,0.00026699822,340.0,0.68073624,-25.062601,0.0,0.02297982,0.6730625,0.0,16,1700.0,17000.0
0.108708,90000.0,0.32448235,0.00028865872,360.0,0.6805716,-26.249893,0.0,0.022627736,0.6712367,0.0,17,1800.0,18000.0
