test/episode,epoch,train/success_rate,train/episode,train/reward_compute_count,stats_g/std,train/critic_loss,stats_g/mean,test/success_rate,stats_o/std,test/reward_compute_count,stats_o/mean,test/mean_Q,test/ag_g_dist
20.0,0,0.0,100.0,5000.0,0.019053956,0.042371582,0.67435056,0.09166666666666667,0.6995296,1000.0,0.32375756,-1.8574394,0.044219654
40.0,1,0.0033333333333333335,200.0,10000.0,0.018521164,0.046619758,0.6739586,0.14166666666666666,0.76892954,2000.0,0.31597567,-1.461083,0.02538308
60.0,2,0.005,300.0,15000.0,0.0182816,0.04657972,0.6737643,0.08333333333333333,0.7978223,3000.0,0.3129438,-1.6648291,0.028438643
80.0,3,0.0016666666666666668,400.0,20000.0,0.018097753,0.04444329,0.67369336,0.15,0.8109862,4000.0,0.3114023,-2.103913,0.029722862
100.0,4,0.006666666666666667,500.0,25000.0,0.01807871,0.04329009,0.6741094,0.13333333333333333,0.8143169,5000.0,0.31104943,-2.6904767,0.04672228
120.0,5,0.0033333333333333335,600.0,30000.0,0.018103493,0.051560145,0.6742143,0.08333333333333333,0.81592387,6000.0,0.31008878,-2.8815758,0.033128127
140.0,6,0.005,700.0,35000.0,0.01827725,0.049384337,0.67438203,0.09166666666666667,0.81711864,7000.0,0.31020182,-2.8637798,0.039884783
160.0,7,0.005,800.0,40000.0,0.018420232,0.045798894,0.6743519,0.20833333333333334,0.81915826,8000.0,0.31070957,-3.7963886,0.050000567
180.0,8,0.0033333333333333335,900.0,45000.0,0.018446418,0.047393855,0.6743901,0.11666666666666665,0.82002944,9000.0,0.31112602,-3.5706823,0.050437137
200.0,9,0.0033333333333333335,1000.0,50000.0,0.018477943,0.049755234,0.67429227,0.21666666666666667,0.8197243,10000.0,0.31071913,-3.5790608,0.035384715
220.0,10,0.015,1100.0,55000.0,0.01849189,0.045461584,0.67441535,0.2333333333333333,0.81945246,11000.0,0.31053567,-4.16433,0.03193628
240.0,11,0.013333333333333334,1200.0,60000.0,0.018507075,0.047881562,0.6744387,0.275,0.8203643,12000.0,0.3099334,-4.0545206,0.030176774
260.0,12,0.0016666666666666668,1300.0,65000.0,0.018514996,0.0465268,0.6744533,0.25,0.81977576,13000.0,0.30970958,-5.0147634,0.04139893
280.0,13,0.006666666666666667,1400.0,70000.0,0.018545484,0.048874885,0.6745997,0.2833333333333334,0.819547,14000.0,0.3098036,-3.945821,0.033426642
300.0,14,0.005,1500.0,75000.0,0.018553337,0.050566327,0.674774,0.17500000000000002,0.81921357,15000.0,0.3098753,-5.5506988,0.04344764
320.0,15,0.006666666666666667,1600.0,80000.0,0.018550597,0.043803632,0.6749432,0.2916666666666667,0.81876546,16000.0,0.30990475,-5.341495,0.039045263
340.0,16,0.011666666666666665,1700.0,85000.0,0.018520202,0.046305478,0.67503065,0.31666666666666665,0.81825995,17000.0,0.3099318,-5.937243,0.038676813
360.0,17,0.011666666666666665,1800.0,90000.0,0.018516336,0.042991657,0.6751031,0.3333333333333333,0.8180389,18000.0,0.30994982,-7.260588,0.046467263
380.0,18,0.0033333333333333335,1900.0,95000.0,0.018528495,0.04495122,0.6751976,0.225,0.81785005,19000.0,0.31009984,-6.8562202,0.042281736
400.0,19,0.0016666666666666668,2000.0,100000.0,0.018539064,0.053734,0.67530376,0.2333333333333333,0.8177417,20000.0,0.3101496,-6.9640903,0.040652607
420.0,20,0.006666666666666667,2100.0,105000.0,0.0185472,0.04132384,0.6753592,0.21666666666666667,0.8173637,21000.0,0.3102408,-8.856525,0.04760015
440.0,21,0.0033333333333333335,2200.0,110000.0,0.018576467,0.046933506,0.6753531,0.2333333333333333,0.8173029,22000.0,0.31018922,-7.5532813,0.031252306
460.0,22,0.0016666666666666668,2300.0,115000.0,0.018532833,0.046290074,0.67534214,0.27499999999999997,0.8175896,23000.0,0.30995813,-7.175368,0.031955067
480.0,23,0.01,2400.0,120000.0,0.018496549,0.050807115,0.6753414,0.2916666666666667,0.81775165,24000.0,0.30972913,-9.207469,0.02922841
500.0,24,0.016666666666666666,2500.0,125000.0,0.018468538,0.048198104,0.6753691,0.45,0.81765074,25000.0,0.30955896,-6.049605,0.02514649
520.0,25,0.005,2600.0,130000.0,0.018443717,0.042201925,0.6753809,0.3833333333333333,0.81756455,26000.0,0.3095379,-7.618811,0.030586487
540.0,26,0.005,2700.0,135000.0,0.01840514,0.045650277,0.67542624,0.3666666666666667,0.81740254,27000.0,0.30955285,-8.429296,0.031933103
560.0,27,0.01,2800.0,140000.0,0.018373482,0.041508995,0.67547566,0.2333333333333333,0.81729573,28000.0,0.30952537,-10.198911,0.038450424
580.0,28,0.006666666666666667,2900.0,145000.0,0.018344434,0.04869764,0.67552775,0.18333333333333332,0.81711197,29000.0,0.30958197,-9.706992,0.0351782
600.0,29,0.008333333333333333,3000.0,150000.0,0.01833243,0.047930893,0.67557067,0.2916666666666667,0.817097,30000.0,0.30959612,-9.008683,0.03351673
620.0,30,0.005,3100.0,155000.0,0.018306602,0.045449678,0.6755969,0.3416666666666666,0.81682664,31000.0,0.3095776,-8.569911,0.036826685
640.0,31,0.006666666666666667,3200.0,160000.0,0.018299697,0.045066033,0.6756384,0.35000000000000003,0.8165485,32000.0,0.30964383,-9.975194,0.040379424
660.0,32,0.011666666666666667,3300.0,165000.0,0.018274698,0.041714877,0.6756775,0.3416666666666666,0.8164299,33000.0,0.30974117,-8.553219,0.033758458
680.0,33,0.011666666666666667,3400.0,170000.0,0.018261353,0.048680753,0.6757074,0.325,0.81646055,34000.0,0.30982977,-8.501873,0.035969596
700.0,34,0.016666666666666666,3500.0,175000.0,0.018291501,0.04152828,0.67576194,0.20833333333333334,0.8164218,35000.0,0.3098598,-10.80529,0.04336111
720.0,35,0.005,3600.0,180000.0,0.01829463,0.044764906,0.6758022,0.18333333333333335,0.81610465,36000.0,0.30994117,-13.298932,0.054723542
740.0,36,0.005,3700.0,185000.0,0.018286211,0.043125898,0.67583996,0.325,0.81597155,37000.0,0.3100624,-12.128628,0.049765125
760.0,37,0.0016666666666666668,3800.0,190000.0,0.018272895,0.046034306,0.6758702,0.25,0.81581444,38000.0,0.3101337,-11.500047,0.043555576
780.0,38,0.005,3900.0,195000.0,0.018257983,0.044070855,0.6758835,0.3333333333333333,0.815749,39000.0,0.31014758,-9.971339,0.039330795
800.0,39,0.021666666666666667,4000.0,200000.0,0.01824353,0.048194204,0.6759017,0.3666666666666667,0.81552523,40000.0,0.31022364,-12.584195,0.04511362
820.0,40,0.008333333333333333,4100.0,205000.0,0.018231388,0.05187133,0.6759158,0.35833333333333334,0.8153866,41000.0,0.3102704,-10.054114,0.035770413
840.0,41,0.005,4200.0,210000.0,0.01821348,0.03908812,0.6759252,0.21666666666666665,0.81533796,42000.0,0.31029204,-14.878886,0.051449
860.0,42,0.006666666666666667,4300.0,215000.0,0.01820409,0.043138046,0.6759464,0.2416666666666667,0.8154304,43000.0,0.31033808,-10.217492,0.039500926
880.0,43,0.018333333333333337,4400.0,220000.0,0.01818839,0.04295951,0.6759651,0.225,0.8156168,44000.0,0.31033352,-11.397422,0.04252109
900.0,44,0.006666666666666667,4500.0,225000.0,0.018180687,0.04829109,0.67598313,0.26666666666666666,0.8153303,45000.0,0.310401,-10.812106,0.040702585
920.0,45,0.008333333333333333,4600.0,230000.0,0.018173164,0.04130565,0.6760003,0.26666666666666666,0.81519526,46000.0,0.31048813,-11.960605,0.043610036
940.0,46,0.0016666666666666668,4700.0,235000.0,0.018166702,0.04008184,0.6760127,0.3499999999999999,0.8149829,47000.0,0.3105075,-12.404042,0.04273994
960.0,47,0.006666666666666667,4800.0,240000.0,0.018156776,0.04328139,0.6760245,0.375,0.8148828,48000.0,0.3105284,-12.7130785,0.044729207
980.0,48,0.008333333333333333,4900.0,245000.0,0.018147437,0.040721778,0.6760405,0.3416666666666666,0.8148872,49000.0,0.31051287,-11.9995165,0.042778928
1000.0,49,0.008333333333333333,5000.0,250000.0,0.01814481,0.04481064,0.67605525,0.2333333333333333,0.8149064,50000.0,0.31055784,-11.963595,0.0434538
1020.0,50,0.008333333333333333,5100.0,255000.0,0.018138088,0.045485616,0.67606515,0.3416666666666666,0.8147051,51000.0,0.31054634,-13.935097,0.0455223
1040.0,51,0.005,5200.0,260000.0,0.018129906,0.045477536,0.6760749,0.24166666666666667,0.81459045,52000.0,0.31056377,-15.010898,0.048395474
1060.0,52,0.008333333333333333,5300.0,265000.0,0.018123306,0.045427132,0.6760862,0.225,0.8144329,53000.0,0.31057927,-11.576299,0.04201517
1080.0,53,0.0016666666666666668,5400.0,270000.0,0.018120658,0.04520457,0.67609024,0.2833333333333333,0.8140929,54000.0,0.31056446,-12.09739,0.043883342
1100.0,54,0.011666666666666665,5500.0,275000.0,0.018110178,0.04628255,0.6760861,0.2916666666666667,0.8138165,55000.0,0.31055704,-13.209836,0.043563336
1120.0,55,0.006666666666666667,5600.0,280000.0,0.01810494,0.044966295,0.6760916,0.20833333333333334,0.81351966,56000.0,0.31051284,-12.397647,0.042098086
1140.0,56,0.0033333333333333335,5700.0,285000.0,0.018091388,0.046723854,0.67609954,0.425,0.8134878,57000.0,0.31049728,-14.110786,0.043198515
1160.0,57,0.008333333333333333,5800.0,290000.0,0.018092133,0.04401645,0.6761063,0.3083333333333333,0.813222,58000.0,0.31045663,-9.832376,0.03864863
1180.0,58,0.005,5900.0,295000.0,0.01808714,0.04355435,0.67612046,0.225,0.81310886,59000.0,0.31048602,-10.585101,0.0397809
