stats_g/mean,test/ag_g_dist,test/mean_Q,train/success_rate,train/critic_loss,train/reward_compute_count,test/success_rate,test/episode,stats_o/std,stats_o/mean,stats_g/std,train/episode,test/reward_compute_count,epoch
0.67442244,0.14841036,-2.1043098,0.0,0.00089139026,5000.0,0.0,20.0,0.6810611,0.33449888,0.01916883,100.0,1000.0,0
0.6794391,0.18317287,-4.112349,0.0,0.0004634241,10000.0,0.0,40.0,0.68482924,0.34618023,0.020618998,200.0,2000.0,1
0.68252856,0.19049644,-6.2357383,0.0,0.00019196652,15000.0,0.0,60.0,0.6796796,0.34724477,0.020976715,300.0,3000.0,2
0.6843744,0.1703686,-8.033702,0.0,0.00016006811,20000.0,0.0,80.0,0.67684036,0.3471286,0.02100397,400.0,4000.0,3
0.6847612,0.14112683,-10.011985,0.0,0.00016468488,25000.0,0.0,100.0,0.6735039,0.34641656,0.0204476,500.0,5000.0,4
0.68411046,0.118302345,-11.821567,0.0,0.00014851468,30000.0,0.0,120.0,0.6708031,0.34455955,0.0199196,600.0,6000.0,5
0.68273896,0.10527009,-13.458931,0.0,0.00015277941,35000.0,0.0,140.0,0.66957116,0.3414745,0.019779509,700.0,7000.0,6
0.68148327,0.09871656,-15.090581,0.0,0.00015837316,40000.0,0.0,160.0,0.6686905,0.33793,0.019717397,800.0,8000.0,7
0.680542,0.093878746,-16.664211,0.0,0.00011816892,45000.0,0.0,180.0,0.66685253,0.33522925,0.019602066,900.0,9000.0,8
0.6797977,0.09342513,-18.188477,0.0,0.00012544618,50000.0,0.0,200.0,0.665048,0.33337435,0.019480284,1000.0,10000.0,9
0.67929083,0.09382049,-19.603975,0.0,0.00010919016,55000.0,0.0,220.0,0.66315883,0.3321403,0.01930824,1100.0,11000.0,10
0.6789157,0.09638084,-21.021135,0.0,0.00013366718,60000.0,0.0,240.0,0.6618397,0.33118886,0.019106628,1200.0,12000.0,11
0.6786179,0.09562987,-22.374018,0.0,8.4545754e-05,65000.0,0.0,260.0,0.6599527,0.33049813,0.018902909,1300.0,13000.0,12
0.6784238,0.09785732,-23.69731,0.0,0.00012946538,70000.0,0.0,280.0,0.6586772,0.33004496,0.018681217,1400.0,14000.0,13
0.67833203,0.10312257,-24.975143,0.0,0.00010818215,75000.0,0.0,300.0,0.65748876,0.32962668,0.018471861,1500.0,15000.0,14
0.6783096,0.108760394,-26.1629,0.0,4.2725533e-05,80000.0,0.0,320.0,0.6562031,0.32933533,0.018285679,1600.0,16000.0,15
0.67834336,0.11181911,-27.280884,0.0,4.3802615e-05,85000.0,0.0,340.0,0.65508443,0.3292665,0.018130554,1700.0,17000.0,16
0.67840034,0.11686548,-28.352137,0.0,2.4857645e-05,90000.0,0.0,360.0,0.65412325,0.32923126,0.018002497,1800.0,18000.0,17
0.678492,0.11941891,-29.414598,0.0,2.0107675e-05,95000.0,0.0,380.0,0.65351886,0.32929626,0.01790332,1900.0,19000.0,18
0.6785973,0.120577075,-30.376013,0.0,7.1740425e-05,100000.0,0.0,400.0,0.6526473,0.32934827,0.017817156,2000.0,20000.0,19
0.6786942,0.12016272,-31.321259,0.0,2.9209486e-05,105000.0,0.0,420.0,0.6521687,0.3294235,0.017737914,2100.0,21000.0,20
