stats_g/mean,stats_g/std,train/success_rate,stats_o/std,stats_o/mean,test/mean_Q,epoch,train/critic_addnl_loss,test/success_rate,train/critic_loss,test/episode,train/episode
0.8388899,0.06201211,0.05333333333333334,0.03925386,0.20124407,-2.003831,0,0.05286197,0.10000000000000002,0.05979212,20.0,100.0
0.8390105,0.061551046,0.07833333333333334,0.03920531,0.20106256,-4.108467,1,0.041285817,0.016666666666666666,0.050462514,40.0,200.0
0.8391831,0.06113909,0.065,0.038056504,0.2010081,-5.8282533,2,0.055158872,0.041666666666666664,0.07119281,60.0,300.0
0.83921915,0.061099347,0.06666666666666667,0.038966447,0.20124654,-7.372537,3,0.08972808,0.06666666666666667,0.10492327,80.0,400.0
0.8396826,0.06122978,0.07333333333333333,0.040248767,0.20139456,-9.119991,4,0.18868913,0.05833333333333333,0.21164346,100.0,500.0
0.8394308,0.061157197,0.065,0.039861616,0.20146064,-10.415784,5,0.18534727,0.075,0.20936508,120.0,600.0
0.83916426,0.06091324,0.05166666666666667,0.039762996,0.20145293,-11.671532,6,0.2822394,0.09166666666666667,0.30975732,140.0,700.0
0.83912665,0.060996667,0.07833333333333334,0.039639648,0.20154601,-12.7005415,7,0.3587662,0.09999999999999999,0.4201773,160.0,800.0
0.83925086,0.06107181,0.06166666666666667,0.039709926,0.2015558,-14.613564,8,0.49892437,0.075,0.5635037,180.0,900.0
0.8392935,0.061068043,0.08166666666666667,0.0399948,0.20154314,-15.978081,9,0.48490056,0.08333333333333333,0.5561367,200.0,1000.0
0.8389778,0.060982037,0.08166666666666667,0.03974585,0.20146357,-16.452436,10,1.1783204,0.08333333333333333,1.2254168,220.0,1100.0
0.8389077,0.060956355,0.075,0.039585568,0.2014457,-17.680498,11,0.9016552,0.10000000000000002,0.97973365,240.0,1200.0
0.83884126,0.06093822,0.06666666666666667,0.03970137,0.20148252,-19.110098,12,0.8205702,0.06666666666666667,0.88537,260.0,1300.0
0.8386631,0.060935903,0.06999999999999999,0.039751824,0.2014667,-20.939545,13,0.8056832,0.03333333333333333,0.8917845,280.0,1400.0
0.8385408,0.060935605,0.06333333333333334,0.039816655,0.20143493,-21.501093,14,1.0519706,0.041666666666666664,1.1386462,300.0,1500.0
0.83858484,0.06085745,0.08,0.040012475,0.20139708,-21.275084,15,1.5752584,0.09166666666666667,1.6662544,320.0,1600.0
0.8386302,0.06089826,0.05000000000000001,0.040501937,0.20140785,-21.807322,16,0.89067507,0.05833333333333333,0.96554536,340.0,1700.0
