epoch,test/episode,test/mean_Q,test/success_rate,train/success_rate,stats_o/mean,stats_o/std,stats_g/std,train/critic_addnl_loss,train/critic_loss,stats_g/mean,train/episode
0,20.0,-2.5246575,0.10000000000000002,0.05499999999999999,0.20088512,0.043841075,0.06201211,0.0,0.0013767319,0.8388899,100.0
1,40.0,-4.809049,0.016666666666666666,0.08,0.20089585,0.043819245,0.061551046,0.0,0.002118592,0.8390105,200.0
2,60.0,-6.5530305,0.041666666666666664,0.06333333333333334,0.20087333,0.0424505,0.06113909,0.0,0.0024907228,0.8391831,300.0
3,80.0,-8.258498,0.06666666666666667,0.065,0.20102113,0.0424863,0.061099347,0.0,0.005200469,0.83921915,400.0
4,100.0,-10.150578,0.049999999999999996,0.07,0.20124926,0.042599276,0.06122978,0.0,0.0060080583,0.8396826,500.0
5,120.0,-11.5467,0.075,0.06166666666666667,0.20131363,0.042153914,0.061157197,0.0,0.008620475,0.8394308,600.0
6,140.0,-12.8265085,0.09999999999999999,0.05833333333333333,0.20131601,0.042725082,0.06091324,0.0,0.00901058,0.83916426,700.0
7,160.0,-14.149163,0.09166666666666667,0.08,0.20140791,0.04356252,0.060996667,0.0,0.012963857,0.83912665,800.0
8,180.0,-16.091433,0.075,0.060000000000000005,0.20140998,0.04352026,0.06107181,0.0,0.013554451,0.83925086,900.0
9,200.0,-17.487938,0.08333333333333333,0.08,0.20137422,0.043366652,0.061068043,0.0,0.021178825,0.8392935,1000.0
10,220.0,-18.36144,0.08333333333333333,0.085,0.20132522,0.043421764,0.060982037,0.0,0.058215898,0.8389778,1100.0
11,240.0,-19.426249,0.10000000000000002,0.07333333333333335,0.2012919,0.0437265,0.060956355,0.0,0.0361312,0.8389077,1200.0
12,260.0,-20.73924,0.06666666666666667,0.065,0.20132898,0.04452036,0.06093822,0.0,0.035332385,0.83884126,1300.0
13,280.0,-22.942595,0.03333333333333333,0.07666666666666667,0.20131318,0.044996932,0.060935903,0.0,0.028988034,0.8386631,1400.0
14,300.0,-23.274979,0.041666666666666664,0.06833333333333334,0.20127909,0.045430962,0.060935605,0.0,0.041037653,0.8385408,1500.0
15,320.0,-22.538025,0.09999999999999999,0.075,0.20127283,0.046064805,0.06085745,0.0,0.028250113,0.83858484,1600.0
16,340.0,-23.2786,0.05833333333333333,0.05000000000000001,0.2012744,0.04673821,0.06089826,0.0,0.047049284,0.8386302,1700.0
17,360.0,-25.145945,0.041666666666666664,0.08166666666666667,0.20130998,0.047084976,0.060941186,0.0,0.057095427,0.83881027,1800.0
18,380.0,-24.350563,0.06666666666666667,0.08666666666666667,0.2012952,0.047746975,0.060979728,0.0,0.089731686,0.8388295,1900.0
19,400.0,-24.032822,0.09166666666666667,0.07666666666666667,0.20127867,0.04824524,0.06101134,0.0,0.05571643,0.8387902,2000.0
20,420.0,-23.211304,0.06666666666666667,0.06,0.20126395,0.048950534,0.061012056,0.0,0.0915263,0.8387435,2100.0
21,440.0,-24.18981,0.08333333333333333,0.06,0.20126908,0.050130833,0.06105673,0.0,0.07981216,0.83879095,2200.0
22,460.0,-24.926977,0.05833333333333334,0.06333333333333334,0.20119952,0.05076362,0.06101723,0.0,0.12380435,0.83868414,2300.0
23,480.0,-25.948908,0.06666666666666667,0.06166666666666667,0.2011618,0.05132857,0.060978685,0.0,0.1022132,0.8387187,2400.0
24,500.0,-23.52674,0.09999999999999999,0.06333333333333334,0.2011972,0.051903356,0.060978327,0.0,0.08769876,0.83875275,2500.0
25,520.0,-24.172455,0.05000000000000001,0.05833333333333333,0.2011984,0.052400243,0.060986713,0.0,0.14756344,0.8387305,2600.0
26,540.0,-24.477026,0.075,0.085,0.20119266,0.05292887,0.061009318,0.0,0.07329944,0.83866245,2700.0
27,560.0,-22.863897,0.11666666666666665,0.06833333333333333,0.20116313,0.053290505,0.06098129,0.0,0.1031697,0.83873636,2800.0
28,580.0,-26.705267,0.041666666666666664,0.051666666666666666,0.2011605,0.053512525,0.06097986,0.0,0.14710058,0.83869046,2900.0
29,600.0,-28.028006,0.041666666666666664,0.08,0.20115332,0.053714484,0.061005678,0.0,0.14616878,0.83861727,3000.0
30,620.0,-26.895767,0.041666666666666664,0.07333333333333332,0.20115443,0.054049537,0.06099895,0.0,0.18126945,0.83863115,3100.0
31,640.0,-27.74827,0.05000000000000001,0.06833333333333334,0.20116967,0.054172203,0.0610235,0.0,0.06566381,0.8385404,3200.0
32,660.0,-27.366858,0.075,0.08166666666666668,0.20119597,0.054402903,0.061006784,0.0,0.08032031,0.838562,3300.0
33,680.0,-29.076792,0.049999999999999996,0.06333333333333334,0.2012385,0.054799482,0.06100264,0.0,0.08992535,0.83855265,3400.0
34,700.0,-28.270926,0.07500000000000001,0.07166666666666667,0.20125274,0.055149388,0.06099768,0.0,0.10506951,0.8385777,3500.0
35,720.0,-29.015028,0.075,0.08333333333333333,0.20125894,0.055436622,0.06104864,0.0,0.08213372,0.83862066,3600.0
36,740.0,-30.118078,0.06666666666666667,0.07333333333333335,0.20128351,0.055670265,0.06107754,0.0,0.09540004,0.83868307,3700.0
37,760.0,-30.67656,0.10000000000000002,0.06166666666666667,0.20130382,0.055935193,0.061048154,0.0,0.072371714,0.838636,3800.0
