test/episode,train/episode,stats_o/std,epoch,stats_o/mean,test/mean_Q,train/critic_addnl_loss,stats_g/std,stats_g/mean,train/critic_loss,test/success_rate,train/success_rate
20.0,100.0,0.041723505,0,0.20089191,-2.1791618,0.027504146,0.06201211,0.8388899,0.034176793,0.10000000000000002,0.05333333333333334
40.0,200.0,0.04150241,1,0.20083326,-4.3171544,0.032521803,0.061551046,0.8390105,0.04238175,0.016666666666666666,0.07666666666666667
60.0,300.0,0.042065382,2,0.20087092,-5.9968185,0.044761106,0.06113909,0.8391831,0.054130036,0.041666666666666664,0.06333333333333334
80.0,400.0,0.04224288,3,0.2010891,-7.6440473,0.05043928,0.061099347,0.83921915,0.062882505,0.06666666666666667,0.06333333333333334
100.0,500.0,0.04266143,4,0.20130634,-9.499983,0.10663586,0.06122978,0.8396826,0.12598528,0.05833333333333333,0.07166666666666666
120.0,600.0,0.04264359,5,0.20138276,-10.984546,0.22465163,0.061157197,0.8394308,0.24953036,0.075,0.06333333333333334
140.0,700.0,0.04299225,6,0.20137483,-12.211976,0.33073863,0.06091324,0.83916426,0.36254606,0.09166666666666667,0.051666666666666666
160.0,800.0,0.043032255,7,0.20148079,-13.39032,0.19737191,0.060996667,0.83912665,0.25770476,0.09999999999999999,0.07666666666666667
180.0,900.0,0.043528542,8,0.20149215,-15.203827,0.5548946,0.06107181,0.83925086,0.5954913,0.075,0.06
200.0,1000.0,0.043367784,9,0.20143537,-16.731112,0.41834953,0.061068043,0.8392935,0.4927849,0.08333333333333333,0.07666666666666667
220.0,1100.0,0.043340597,10,0.20135845,-17.147728,0.74327916,0.060982037,0.8389778,0.7771079,0.08333333333333333,0.08166666666666667
240.0,1200.0,0.04311843,11,0.20132971,-18.3039,0.91996473,0.060956355,0.8389077,1.002299,0.10000000000000002,0.07333333333333335
260.0,1300.0,0.04327547,12,0.20138328,-19.710808,0.7700362,0.06093822,0.83884126,0.8339107,0.06666666666666667,0.06333333333333334
