addnl_loss_term,confname,distance_threshold,env,gitrev,goal_noise,intermediate_sampling,loss_term,loss_term_weights,loss_term_weights_json,n_cycles,num_cpu,recompute_rewards,replay_strategy,reward_type,dir,epoch_test/success_rate,epoch_test/ag_g_dist,reward_computes_test/success_rate,reward_computes_test/ag_g_dist
NULL,NULL,0.05,FetchReach-v1,04a8fc6,NULL,NULL,fwrl,NULL,NULL,10,NULL,NULL,future,,04a8fc6-5400beff-FetchReach-v1-fwrl-future,0.0031462585034013595,0.000885722948979592,0.003146258503401359,0.0008857229489795919
NULL,NULL,0.05,FetchSlide-v1,04a8fc6,NULL,NULL,fwrl,"[0.6, 0.2, 0.2]","[0.6, 0.2, 0.2]",50,NULL,NULL,future,,04a8fc6-814a3d24-FetchSlide-v1-fwrl-future,0.02355442176870749,0.009992087448979592,0.023554421768707492,0.009992087448979592
NULL,NULL,0.05,FetchSlide-v1,04a8fc6,NULL,NULL,fwrl,"[0.4, 0.3, 0.3]","[0.4, 0.3, 0.3]",50,NULL,NULL,future,,04a8fc6-923e5525-FetchSlide-v1-fwrl-future,0.027380952380952374,0.009934748979591837,0.027380952380952377,0.009934748979591835
NULL,NULL,0.05,FetchSlide-v1,04a8fc6,NULL,NULL,fwrl,"[0.8, 0.1, 0.1]","[0.8, 0.1, 0.1]",50,NULL,NULL,future,,04a8fc6-c26d68c1-FetchSlide-v1-fwrl-future,0.028741496598639463,0.009433456530612245,0.028741496598639456,0.009433456530612247
NULL,NULL,0.05,FetchReach-v1,04a8fc6,NULL,NULL,ddpg,NULL,NULL,10,NULL,NULL,future,,04a8fc6-c8ae64a7-FetchReach-v1-ddpg-future,0.005017006802721085,0.001187803255102041,0.005017006802721085,0.001187803255102041
NULL,NULL,0.05,FetchSlide-v1,04a8fc6,NULL,NULL,fwrl,"[0.2, 0.4, 0.4]","[0.2, 0.4, 0.4]",50,NULL,NULL,future,,04a8fc6-cc7daced-FetchSlide-v1-fwrl-future,0.023894557823129253,0.009413053775510204,0.023894557823129256,0.009413053775510202
NULL,NULL,0.05,FetchSlidePR-v1,0c29724,zero,uniform,dqst,[],[],50,NULL,True,future,NULL,0c29724-path_reward_fetch_slide-FetchSlidePR-v1-dqst,0.027240368509212735,0.01111084256281407,0.02724036850921273,0.011110842562814072
NULL,NULL,0.05,FetchSlide-v1,0c29724,zero,uniform,ddpg,[],[],50,NULL,True,future,NULL,0c29724-path_reward_fetch_slide-FetchSlide-v1-ddpg,0.03180485762144054,0.007522048090452261,0.03180485762144052,0.007522048090452265
NULL,NULL,0.05,FetchSlide-v1,0c29724,zero,uniform,dqst,[],[],50,NULL,True,future,NULL,0c29724-path_reward_fetch_slide-FetchSlide-v1-dqst,0.032600502512562815,0.00776753351758794,0.032600502512562815,0.007767533517587937
NULL,NULL,0.05,FetchSlide-v1,0c29724,zero,uniform,fwrl,[],[],50,NULL,True,future,NULL,0c29724-path_reward_fetch_slide-FetchSlide-v1-fwrl,0.03205611390284757,0.009253196683417083,0.032056113902847544,0.009253196683417085
NULL,NULL,0.01,FetchPushPR-v1,11cefff,NULL,uniform,ddpg,[],[],50,NULL,True,future,NULL,11cefff-path_reward_low_thresh-FetchPushPR-v1-ddpg,0.0022988505747126436,0.004312351379310347,0.0022988505747126436,0.004312351379310346
NULL,NULL,0.01,FetchPushPR-v1,11cefff,NULL,uniform,dqst,[],[],50,NULL,True,future,NULL,11cefff-path_reward_low_thresh-FetchPushPR-v1-dqst,0.025,0.0037581717758620693,0.025,0.0037581717758620693
NULL,NULL,0.01,FetchPushPR-v1,11cefff,NULL,uniform,fwrl,[],[],50,NULL,True,future,NULL,11cefff-path_reward_low_thresh-FetchPushPR-v1-fwrl,0.0022988505747126436,0.004313417586206901,0.0022988505747126436,0.004313417586206899
NULL,NULL,0.01,FetchPush-v1,11cefff,NULL,uniform,ddpg,[],[],50,NULL,True,future,NULL,11cefff-path_reward_low_thresh-FetchPush-v1-ddpg,0.02241379310344828,0.0037684322586206886,0.022413793103448286,0.0037684322586206886
NULL,NULL,0.01,FetchPush-v1,11cefff,NULL,uniform,dqst,[],[],50,NULL,True,future,NULL,11cefff-path_reward_low_thresh-FetchPush-v1-dqst,0.024425287356321854,0.004068979379310346,0.024425287356321844,0.004068979379310346
NULL,NULL,0.01,FetchReachPR-v1,11cefff,NULL,uniform,ddpg,[],[],10,NULL,True,future,NULL,11cefff-path_reward_low_thresh-FetchReachPR-v1-ddpg,0.0,0.0031401705555555593,0.0,0.0031401705555555593
NULL,NULL,0.01,FetchReachPR-v1,11cefff,NULL,uniform,dqst,[],[],10,NULL,True,future,NULL,11cefff-path_reward_low_thresh-FetchReachPR-v1-dqst,0.053703703703703684,0.009276189722222224,0.053703703703703684,0.009276189722222224
NULL,NULL,0.01,FetchReachSparse-v1,11cefff,NULL,uniform,dqst,[],[],10,NULL,True,future,NULL,11cefff-path_reward_low_thresh-FetchReachSparse-v1-dqst,0.0,0.0,0.0,0.0
NULL,NULL,0.01,FetchReach-v1,11cefff,NULL,uniform,ddpg,[],[],10,NULL,True,future,NULL,11cefff-path_reward_low_thresh-FetchReach-v1-ddpg,0.04166666666666668,0.0074022716111111116,0.04166666666666667,0.0074022716111111116
NULL,NULL,0.01,FetchReach-v1,11cefff,NULL,uniform,dqst,[],[],10,NULL,True,future,NULL,11cefff-path_reward_low_thresh-FetchReach-v1-dqst,0.05972222222222223,0.0098482985,0.05972222222222223,0.009848298500000002
noop,NULL,0.05,FetchReach-v1,15a453d,NULL,NULL,NULL,NULL,NULL,10,NULL,NULL,future,NULL,15a453d-FetchReach-v1-noop-future,0.00578231292517007,0,0.00578231292517007,0
